county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee,mail_in
PHILADELPHIA,01-03,General Assembly,184,DEM,Write-ins,2,0,0,1,1
PHILADELPHIA,01-03,General Assembly,184,REP,LOU MENNA IV,16,10,0,1,5
PHILADELPHIA,01-04,Registered Voters,,,Registered Voters,677,,,,
PHILADELPHIA,01-04,Registered Voters,,DEM,Registered Voters,485,,,,
PHILADELPHIA,01-04,Registered Voters,,GRN,Registered Voters,3,,,,
PHILADELPHIA,01-04,Registered Voters,,LIB,Registered Voters,1,,,,
PHILADELPHIA,01-04,Registered Voters,,NPA,Registered Voters,77,,,,
PHILADELPHIA,01-04,Registered Voters,,REP,Registered Voters,111,,,,
PHILADELPHIA,01-04,Ballots Cast,,,Ballots Cast,280,75,7,34,164
PHILADELPHIA,01-04,Ballots Cast,,DEM,Ballots Cast,241,50,5,28,158
PHILADELPHIA,01-04,Ballots Cast,,NPA,Ballots Cast,4,3,1,0,0
PHILADELPHIA,01-04,Ballots Cast,,REP,Ballots Cast,35,22,1,6,6
PHILADELPHIA,01-04,President,,DEM,BERNIE SANDERS,93,19,1,10,63
PHILADELPHIA,01-04,President,,DEM,Joseph R. Biden,130,22,4,15,89
PHILADELPHIA,01-04,President,,DEM,TULSI GABBARD,6,1,0,1,4
PHILADELPHIA,01-04,President,,DEM,Write-ins,6,3,0,2,1
PHILADELPHIA,01-04,President,,REP,BILL WELD,2,1,0,1,0
PHILADELPHIA,01-04,President,,REP,Donald J. Trump,29,20,1,4,4
PHILADELPHIA,01-04,President,,REP,ROQUE ROCKY DE LA FUENTE,0,0,0,0,0
PHILADELPHIA,01-04,President,,REP,Write-ins,4,1,0,1,2
PHILADELPHIA,01-04,Attorney General,,DEM,JOSH SHAPIRO,188,33,4,25,126
PHILADELPHIA,01-04,Attorney General,,DEM,Write-ins,1,1,0,0,0
PHILADELPHIA,01-04,Attorney General,,REP,HEATHER HEIDELBAUGH,31,18,1,6,6
PHILADELPHIA,01-04,Attorney General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-04,Auditor General,,DEM,CHRISTINA M HARTMAN,7,0,0,1,6
PHILADELPHIA,01-04,Auditor General,,DEM,H SCOTT CONKLIN,4,2,0,0,2
PHILADELPHIA,01-04,Auditor General,,DEM,MICHAEL LAMB,11,1,0,4,6
PHILADELPHIA,01-04,Auditor General,,DEM,NINA AHMAD,183,35,5,18,125
PHILADELPHIA,01-04,Auditor General,,DEM,ROSE ROSIE MARIE DAVIS,5,1,0,2,2
PHILADELPHIA,01-04,Auditor General,,DEM,TRACIE FOUNTAIN,10,3,0,1,6
PHILADELPHIA,01-04,Auditor General,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-04,Auditor General,,REP,TIMOTHY DEFOOR,31,18,1,6,6
PHILADELPHIA,01-04,Auditor General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-04,State Treasurer,,DEM,JOE TORSELLA,189,38,4,23,124
PHILADELPHIA,01-04,State Treasurer,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-04,State Treasurer,,REP,STACY L GARRITY,31,18,1,6,6
PHILADELPHIA,01-04,State Treasurer,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-04,U.S. House,3,DEM,DWIGHT EVANS,193,31,4,27,131
PHILADELPHIA,01-04,U.S. House,3,DEM,Write-ins,2,0,0,0,2
PHILADELPHIA,01-04,U.S. House,3,REP,MICHAEL HARVEY,32,19,1,6,6
PHILADELPHIA,01-04,State Senate,1,DEM,LARRY FARNESE,72,14,0,8,50
PHILADELPHIA,01-04,State Senate,1,DEM,NIKIL SAVAL,157,33,5,20,99
PHILADELPHIA,01-04,General Assembly,184,DEM,ELIZABETH FIEDLER,220,43,4,27,146
PHILADELPHIA,01-04,General Assembly,184,REP,LOU MENNA IV,27,17,0,4,6
PHILADELPHIA,01-05,Registered Voters,,,Registered Voters,403,,,,
PHILADELPHIA,01-05,Registered Voters,,DEM,Registered Voters,308,,,,
PHILADELPHIA,01-05,Registered Voters,,GRN,Registered Voters,1,,,,
PHILADELPHIA,01-05,Registered Voters,,LIB,Registered Voters,2,,,,
PHILADELPHIA,01-05,Registered Voters,,NPA,Registered Voters,48,,,,
