county,precinct,office,district,candidate,party,votes
Carson City,113,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,1101
Carson City,113,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,431
Carson City,113,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,797
Carson City,113,"Supreme Court Justice, Seat D",,None Of These Candidates,,209
Carson City,113,U.S. House,2,"ACKERMAN, PATRICIA",DEM,549
Carson City,113,U.S. House,2,"Amodei, Mark E.",REP,906
Carson City,113,U.S. House,2,JANINE HANSEN,IAP,31
Carson City,201,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,543
Carson City,201,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,426
Carson City,201,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,363
Carson City,201,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,378
Carson City,201,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,236
Carson City,201,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,892
Carson City,201,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,890
Carson City,201,President,,"BIDEN, JOSEPH R.",DEM,468
Carson City,201,President,,"BLANKENSHIP, DON",,4
Carson City,201,President,,"JORGENSEN, JO",LIB,14
Carson City,201,President,,None Of These Candidates,,13
Carson City,201,President,,"TRUMP, DONALD J.",REP,563
Carson City,201,"School Trustee, District 7",,"CACIOPPO, JOE",,580
Carson City,201,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,362
Carson City,201,State Assembly,40,"LOYD, SENA",,436
Carson City,201,State Assembly,40,"O'Neill, Philip ""PK""",,593
Carson City,201,STATE QUESTION NO. 1,,No,,592
Carson City,201,STATE QUESTION NO. 1,,Yes,,412
Carson City,201,STATE QUESTION NO. 2,,No,,410
Carson City,201,STATE QUESTION NO. 2,,Yes,,621
Carson City,201,STATE QUESTION NO. 3,,No,,446
Carson City,201,STATE QUESTION NO. 3,,Yes,,573
Carson City,201,STATE QUESTION NO. 4,,No,,436
Carson City,201,STATE QUESTION NO. 4,,Yes,,590
Carson City,201,STATE QUESTION NO. 6,,No,,488
Carson City,201,STATE QUESTION NO. 6,,Yes,,534
Carson City,201,"Supreme Court Justice, Seat B",,None Of These Candidates,,209
Carson City,201,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,757
Carson City,201,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,356
Carson City,201,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,462
Carson City,201,"Supreme Court Justice, Seat D",,None Of These Candidates,,185
Carson City,201,U.S. House,2,"ACKERMAN, PATRICIA",DEM,427
Carson City,201,U.S. House,2,"Amodei, Mark E.",REP,579
Carson City,201,U.S. House,2,JANINE HANSEN,IAP,38
Carson City,203,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,685
Carson City,203,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,573
Carson City,203,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,545
Carson City,203,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,435
Carson City,203,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,283
Carson City,203,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,1136
Carson City,203,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,1143
Carson City,203,President,,"BIDEN, JOSEPH R.",DEM,661
Carson City,203,President,,"BLANKENSHIP, DON",,2
Carson City,203,President,,"JORGENSEN, JO",LIB,20
Carson City,203,President,,None Of These Candidates,,18
Carson City,203,President,,"TRUMP, DONALD J.",REP,676
Carson City,203,"School Trustee, District 7",,"CACIOPPO, JOE",,787
Carson City,203,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,438
Carson City,203,State Assembly,40,"LOYD, SENA",,637
Carson City,203,State Assembly,40,"O'Neill, Philip ""PK""",,687
Carson City,203,STATE QUESTION NO. 1,,No,,800
Carson City,203,STATE QUESTION NO. 1,,Yes,,485
Carson City,203,STATE QUESTION NO. 2,,No,,515
Carson City,203,STATE QUESTION NO. 2,,Yes,,821
Carson City,203,STATE QUESTION NO. 3,,No,,586
Carson City,203,STATE QUESTION NO. 3,,Yes,,734
Carson City,203,STATE QUESTION NO. 4,,No,,512
Carson City,203,STATE QUESTION NO. 4,,Yes,,812
Carson City,203,STATE QUESTION NO. 6,,No,,624
Carson City,203,STATE QUESTION NO. 6,,Yes,,703
Carson City,203,"Supreme Court Justice, Seat B",,None Of These Candidates,,265
Carson City,203,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,988
Carson City,203,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,461
Carson City,203,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,615
Carson City,203,"Supreme Court Justice, Seat D",,None Of These Candidates,,227
Carson City,203,U.S. House,2,"ACKERMAN, PATRICIA",DEM,616
Carson City,203,U.S. House,2,"Amodei, Mark E.",REP,694
Carson City,203,U.S. House,2,JANINE HANSEN,IAP,35
Carson City,205,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,743
Carson City,205,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,541
Carson City,205,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,489
Carson City,205,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,488
Carson City,205,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,301
Carson City,205,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,1162
Carson City,205,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,1160
Carson City,205,President,,"BIDEN, JOSEPH R.",DEM,646
Carson City,205,President,,"BLANKENSHIP, DON",,6
Carson City,205,President,,"JORGENSEN, JO",LIB,15
Carson City,205,President,,None Of These Candidates,,18
Carson City,205,President,,"TRUMP, DONALD J.",REP,722
Carson City,205,"School Trustee, District 7",,"CACIOPPO, JOE",,818
Carson City,205,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,431
Carson City,205,State Assembly,40,"LOYD, SENA",,610
Carson City,205,State Assembly,40,"O'Neill, Philip ""PK""",,743
Carson City,205,STATE QUESTION NO. 1,,No,,781
Carson City,205,STATE QUESTION NO. 1,,Yes,,530
Carson City,205,STATE QUESTION NO. 2,,No,,562
Carson City,205,STATE QUESTION NO. 2,,Yes,,781
Carson City,205,STATE QUESTION NO. 3,,No,,601
Carson City,205,STATE QUESTION NO. 3,,Yes,,726
Carson City,205,STATE QUESTION NO. 4,,No,,575
Carson City,205,STATE QUESTION NO. 4,,Yes,,765
Carson City,205,STATE QUESTION NO. 6,,No,,657
Carson City,205,STATE QUESTION NO. 6,,Yes,,683
Carson City,205,"Supreme Court Justice, Seat B",,None Of These Candidates,,244
Carson City,205,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,1017
Carson City,205,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,418
Carson City,205,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,689
Carson City,205,"Supreme Court Justice, Seat D",,None Of These Candidates,,213
Carson City,205,U.S. House,2,"ACKERMAN, PATRICIA",DEM,606
Carson City,205,U.S. House,2,"Amodei, Mark E.",REP,738
Carson City,205,U.S. House,2,JANINE HANSEN,IAP,31
Carson City,207,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,668
Carson City,207,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,440
Carson City,207,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,444
Carson City,207,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,416
Carson City,207,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,262
Carson City,207,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,1000
Carson City,207,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,995
Carson City,207,President,,"BIDEN, JOSEPH R.",DEM,489
Carson City,207,President,,"BLANKENSHIP, DON",,3
Carson City,207,President,,"JORGENSEN, JO",LIB,8
Carson City,207,President,,None Of These Candidates,,8
Carson City,207,President,,"TRUMP, DONALD J.",REP,698
Carson City,207,"School Trustee, District 7",,"CACIOPPO, JOE",,639
Carson City,207,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,454
Carson City,207,State Assembly,40,"LOYD, SENA",,461
Carson City,207,State Assembly,40,"O'Neill, Philip ""PK""",,710
Carson City,207,STATE QUESTION NO. 1,,No,,715
Carson City,207,STATE QUESTION NO. 1,,Yes,,412
Carson City,207,STATE QUESTION NO. 2,,No,,521
Carson City,207,STATE QUESTION NO. 2,,Yes,,631
Carson City,207,STATE QUESTION NO. 3,,No,,534
Carson City,207,STATE QUESTION NO. 3,,Yes,,609
Carson City,207,STATE QUESTION NO. 4,,No,,487
Carson City,207,STATE QUESTION NO. 4,,Yes,,662
Carson City,207,STATE QUESTION NO. 6,,No,,591
Carson City,207,STATE QUESTION NO. 6,,Yes,,566
Carson City,207,"Supreme Court Justice, Seat B",,None Of These Candidates,,262
Carson City,207,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,840
Carson City,207,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,354
Carson City,207,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,588
Carson City,207,"Supreme Court Justice, Seat D",,None Of These Candidates,,197
Carson City,207,U.S. House,2,"ACKERMAN, PATRICIA",DEM,453
Carson City,207,U.S. House,2,"Amodei, Mark E.",REP,695
Carson City,207,U.S. House,2,JANINE HANSEN,IAP,36
Carson City,209,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,502
Carson City,209,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,281
Carson City,209,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,316
Carson City,209,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,295
Carson City,209,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,,180
Carson City,209,"District Court Judge, District 1, Department 1",,"RUSSELL, JAMES TODD",,716
Carson City,209,"District Court Judge, District 1, Department 2",,"WILSON, JIM",,706
Carson City,209,President,,"BIDEN, JOSEPH R.",DEM,375
Carson City,209,President,,"BLANKENSHIP, DON",,5
Carson City,209,President,,"JORGENSEN, JO",LIB,15
Carson City,209,President,,None Of These Candidates,,14
Carson City,209,President,,"TRUMP, DONALD J.",REP,453
Carson City,209,"School Trustee, District 7",,"CACIOPPO, JOE",,453
Carson City,209,"School Trustee, District 7",,"TRUSHENSKI, JOY R.",,310
Carson City,209,State Assembly,40,"LOYD, SENA",,369
Carson City,209,State Assembly,40,"O'Neill, Philip ""PK""",,453
Carson City,209,STATE QUESTION NO. 1,,No,,479
Carson City,209,STATE QUESTION NO. 1,,Yes,,330
Carson City,209,STATE QUESTION NO. 2,,No,,343
Carson City,209,STATE QUESTION NO. 2,,Yes,,486
Carson City,209,STATE QUESTION NO. 3,,No,,358
Carson City,209,STATE QUESTION NO. 3,,Yes,,461
Carson City,209,STATE QUESTION NO. 4,,No,,329
Carson City,209,STATE QUESTION NO. 4,,Yes,,489
Carson City,209,STATE QUESTION NO. 6,,No,,368
Carson City,209,STATE QUESTION NO. 6,,Yes,,448
Carson City,209,"Supreme Court Justice, Seat B",,None Of These Candidates,,156
Carson City,209,"Supreme Court Justice, Seat B",,"Pickering, Kristina",,615
Carson City,209,"Supreme Court Justice, Seat D",,"FUMO, Ozzie",,282
Carson City,209,"Supreme Court Justice, Seat D",,"HERNDON, DOUGLAS",,395
Carson City,209,"Supreme Court Justice, Seat D",,None Of These Candidates,,125
Carson City,209,U.S. House,2,"ACKERMAN, PATRICIA",DEM,351
Carson City,209,U.S. House,2,"Amodei, Mark E.",REP,448
Carson City,209,U.S. House,2,JANINE HANSEN,IAP,34
Carson City,211,"Board of Supervisors, Ward 2",,"WHITE, MAURICE ""MO""",,557
Carson City,211,"Board of Supervisors, Ward 2",,"WILKE-MCCULLOCH, STACIE",,304
Carson City,211,"Court Of Appeals Judge, Dept. 3",,"BULLA, BONNIE",,339
Carson City,211,"Court Of Appeals Judge, Dept. 3",,"BUSH, SUSAN",,310
