county,gen_dem_BIDEN,gen_lib_JORGENSEN,gen_rep_TRUMP,pri_dem_BENNET,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BUTTIGIEG,pri_dem_DELANEY,pri_dem_GABBARD,pri_dem_KLOBUCHAR,pri_dem_PATRICK,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_WARREN,pri_dem_YANG,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Lumpkin,3126,242,12163,3,827,11,10,2,5,3,0,138,2,45,10,6109,15531,6109,1056
Macon,2857,22,1783,23,1226,13,9,5,18,8,2,84,4,24,16,406,4662,406,1432
Madison,3411,200,11326,8,1091,13,10,3,7,11,1,189,2,32,9,5594,14937,5594,1376
Marion,1311,38,2275,10,590,7,2,4,1,1,1,31,2,7,12,1113,3624,1113,668
Mcduffie,4168,118,6169,10,1321,7,2,0,1,10,0,98,18,15,3,2068,10455,2068,1485
Mcintosh,2612,68,4016,10,1213,11,3,5,2,7,1,92,10,22,9,2098,6696,2098,1385
Meriwether,4287,66,6524,37,1964,26,12,6,9,13,3,134,6,28,23,2569,10877,2569,2261
Miller,749,20,2066,19,334,9,4,6,9,7,2,57,1,19,23,634,2835,634,490
Mitchell,3995,33,4935,17,1532,15,7,5,1,3,2,106,2,21,17,2137,8963,2137,1728
Monroe,4384,148,11060,14,1737,12,5,3,3,6,2,126,0,25,11,4805,15592,4805,1944
Montgomery,979,27,2960,1,350,1,1,1,0,4,0,22,5,8,3,1711,3966,1711,396
Morgan,3355,122,8230,7,1196,14,5,1,0,5,1,87,1,27,4,4085,11707,4085,1348
Murray,2302,144,12943,6,516,7,6,4,3,3,0,109,1,8,1,6677,15389,6677,664
Muscogee,49529,965,30049,111,18984,188,97,29,96,86,16,1608,30,273,177,9287,80543,9287,21695
Newton,29794,576,23869,65,12924,112,33,17,29,26,17,909,11,128,62,10069,54239,10069,14333
Oconee,8162,411,16595,9,2443,11,39,2,15,25,1,414,3,124,30,8178,25168,8178,3116
Oglethorpe,2436,102,5593,4,864,12,5,2,4,2,1,120,2,30,2,3273,8131,3273,1048
Paulding,29704,1156,54525,25,10076,64,59,12,37,31,12,1039,9,138,93,19958,85385,19958,11595
Peach,5920,123,6502,13,2322,26,4,4,18,4,2,152,5,30,18,2068,12545,2068,2598
Pickens,2808,233,14075,4,787,3,9,0,3,8,1,81,0,22,7,7114,17116,7114,925
Pierce,1100,49,7899,6,360,3,1,1,4,2,1,28,1,8,2,4253,9048,4253,417
Pike,1505,88,9127,3,571,5,5,2,0,0,1,64,2,6,4,4210,10720,4210,663
Polk,3658,152,13589,15,1148,15,5,4,3,7,0,107,0,15,8,6432,17399,6432,1327
Pulaski,1217,37,2805,2,282,5,0,0,1,1,1,18,2,5,1,1525,4059,1525,318
Putnam,3448,116,8291,7,1365,21,7,2,3,7,2,103,2,18,7,3870,11855,3870,1544
Quitman,497,5,604,8,256,7,3,2,2,3,0,26,1,10,12,146,1106,146,330
Rabun,1984,110,7474,2,571,6,6,2,4,4,1,45,3,17,4,3295,9568,3295,665
Randolph,1671,12,1391,46,889,35,12,14,32,23,5,119,15,39,33,243,3074,243,1262
Richmond,59124,1111,26781,102,25646,160,78,26,69,46,21,1662,126,287,115,10678,87016,10678,28338
Rockdale,31244,430,13012,78,14115,114,57,29,84,64,19,1170,19,128,142,4421,44686,4421,16019
Schley,462,13,1800,2,174,2,0,1,3,0,1,9,1,4,2,1103,2275,1103,199
Screven,2661,51,3916,26,1088,19,7,11,38,11,14,90,37,36,34,1157,6628,1157,1411
Seminole,1254,19,2611,12,627,12,1,5,3,2,2,46,0,9,5,984,3884,984,724
Spalding,11784,275,18057,40,4481,26,17,4,17,12,1,395,1,57,22,7096,30116,7096,5073
Stephens,2385,132,9368,1,565,4,3,1,1,4,0,67,4,8,6,4461,11885,4461,664
Stewart,1182,7,801,11,476,10,2,3,4,3,1,34,1,5,8,214,1990,214,558
Sumter,6318,100,5732,51,2891,31,22,10,14,23,2,232,10,40,20,2449,12150,2449,3346
Talbot,2114,16,1392,18,1150,22,4,1,7,5,1,92,2,21,5,460,3522,460,1328
Taliaferro,561,7,360,3,297,2,1,5,2,4,1,26,1,4,3,90,928,90,349
Tattnall,2061,69,6053,11,673,6,1,2,1,2,0,51,8,12,2,3350,8183,3350,769
Taylor,1387,34,2418,5,587,12,1,0,2,1,0,45,1,8,9,1234,3839,1234,671
Telfair,1487,21,2825,29,868,17,6,10,14,14,3,77,7,26,21,1196,4333,1196,1092
Terrell,2376,36,2004,22,1004,14,4,9,14,3,4,95,2,18,15,680,4416,680,1204
Thomas,8708,191,12954,22,2448,25,19,9,3,7,1,173,3,31,14,3380,21853,3380,2755
Tift,5322,177,10784,13,1655,11,10,3,3,6,2,107,1,29,13,4964,16283,4964,1853
Toombs,2939,103,7872,6,796,12,3,4,6,8,0,71,15,13,7,4065,10914,4065,941
Towns,1550,45,6384,3,430,8,2,0,4,8,0,35,0,10,5,3244,7979,3244,505
Treutlen,952,24,2101,2,223,4,0,0,0,0,0,14,2,4,1,1062,3077,1062,250
Troup,11578,328,18143,43,4430,44,29,16,16,19,4,379,6,73,23,8652,30049,8652,5082
Turner,1410,33,2349,8,513,5,1,5,2,3,0,36,2,23,11,1107,3792,1107,609
Twiggs,2044,30,2370,42,1062,31,14,9,30,22,7,85,9,22,30,556,4444,556,1363
Union,2801,108,12651,6,908,13,9,2,8,7,1,62,0,17,5,5242,15560,5242,1038
Upson,4201,96,8608,24,1659,25,7,4,4,5,2,125,3,29,9,4256,12905,4256,1896
Walker,5769,411,23174,8,1689,24,17,6,8,7,1,207,2,27,15,10439,29354,10439,2011
Walton,12682,571,37842,30,4470,46,27,9,6,17,4,443,6,88,41,15253,51095,15253,5187
Ware,4211,116,9865,19,1437,22,8,8,9,4,3,99,2,29,11,4780,14192,4780,1651
Warren,1469,16,1166,22,720,11,6,7,14,7,1,77,17,14,23,326,2651,326,919
Washington,4730,66,4663,105,2755,113,36,41,69,72,16,378,26,76,138,588,9459,588,3825
Wayne,2687,104,9987,6,784,6,2,6,1,4,1,45,8,18,3,4964,12778,4964,884
Webster,639,3,748,13,277,11,10,0,8,7,1,25,7,8,12,70,1390,70,379
Wheeler,689,13,1583,5,360,10,2,2,5,3,0,24,4,12,7,626,2285,626,434
White,2411,183,12222,6,685,8,9,0,10,9,1,100,1,27,9,6475,14816,6475,865
Whitfield,10670,440,25636,13,2461,29,12,8,11,20,3,473,2,49,28,11335,36746,11335,3109
Wilcox,862,16,2403,8,264,5,0,4,0,1,1,18,0,4,2,1189,3281,1189,307
Wilkes,2160,46,2823,21,1031,24,7,7,18,26,6,107,20,21,30,915,5029,915,1318
Wilkinson,2075,31,2664,19,1130,28,5,7,12,10,3,109,7,11,29,890,4770,890,1370
Worth,2395,60,6830,13,949,7,7,4,0,2,1,73,4,9,5,3496,9285,3496,1074
