county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_ind_BALDWIN,gen_ind_BARR,gen_ind_JAY,gen_ind_MCKINNEY,gen_ind_MOORE,gen_ind_NADER,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,ind_general_total
CHEATHAM,10,2751,1,206,3,5,814,6,21,953,8,8,968,259,1053,0,118,5498,59,48,4,11,5,101,10702,3395,3811,10702,5498,228
CHESTER,6,832,0,48,0,2,299,2,16,484,3,4,393,54,217,0,31,1797,16,22,6,7,1,23,4587,1206,1199,4587,1797,75
CLAIBORNE,5,2139,3,128,1,1,276,5,24,894,4,2,770,81,438,0,59,3078,40,34,5,16,8,64,7175,2275,2564,7175,3078,167
CLAY,4,868,2,51,3,0,105,3,3,130,0,0,163,28,69,0,17,1248,23,14,0,10,2,21,1676,411,1038,1676,1248,70
COCKE,4,1835,2,103,1,2,440,8,31,1153,2,6,1372,141,479,0,144,3340,47,30,9,19,15,76,8945,3338,2400,8945,3340,196
COFFEE,28,4169,5,409,4,21,1114,24,31,1588,11,8,1626,263,1146,2,182,7132,114,94,10,30,21,139,13250,4868,5822,13250,7132,408
CROCKETT,4,1121,3,60,1,1,358,6,3,432,1,0,340,42,148,0,18,1967,14,19,1,10,3,29,3994,985,1559,3994,1967,76
CUMBERLAND,38,4550,12,826,10,27,1709,37,133,2376,12,15,3027,283,2028,1,356,7889,97,96,6,26,11,151,17436,8268,7377,17436,7889,387
DAVIDSON,127,32338,37,2146,46,154,50903,113,315,8442,57,58,12490,3000,13282,9,1129,158423,619,850,81,279,155,1164,102915,38844,86075,102915,158423,3148
DECATUR,7,1189,4,82,0,2,164,0,7,344,1,2,322,105,114,1,28,1566,24,19,3,7,5,38,3101,924,1449,3101,1566,96
DEKALB,7,2410,1,272,4,6,347,10,7,574,4,1,399,63,267,0,30,2832,34,33,4,15,5,57,4085,1349,3088,4085,2832,148
DICKSON,9,4166,4,254,1,3,975,4,20,1275,10,6,1173,241,1047,1,137,7506,90,65,14,23,19,125,11677,3917,5436,11677,7506,336
DYER,5,2009,1,133,0,2,651,9,16,1222,4,3,798,70,419,0,71,4411,45,36,2,15,10,72,9859,2604,2822,9859,4411,180
FAYETTE,7,1295,4,43,5,6,1646,7,23,1765,4,0,875,147,927,1,85,6892,38,65,11,27,10,38,12173,3830,3023,12173,6892,189
FENTRESS,4,1249,2,94,3,0,180,2,14,649,2,13,472,67,252,1,70,1831,27,23,6,14,7,42,4789,1542,1537,4789,1831,119
