county,precinct,office,district,candidate,party,votes
Aitkin,25,Judge - 9th District Court 2,9,Matthew Mallie,NP,24
Aitkin,25,Judge - 9th District Court 2,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 4,9,Benjamin T. Lindstrom,NP,16
Aitkin,25,Judge - 9th District Court 4,9,Charles D Halverson,NP,16
Aitkin,25,Judge - 9th District Court 4,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 5,9,D. Korey Wahwassuck,NP,24
Aitkin,25,Judge - 9th District Court 5,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 11,9,Anne M. Rasmusson,NP,23
Aitkin,25,Judge - 9th District Court 11,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 12,9,Sarah L. McBroom,NP,24
Aitkin,25,Judge - 9th District Court 12,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 14,9,Robert D. Tiffany,NP,25
Aitkin,25,Judge - 9th District Court 14,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 15,9,Tamara L. Yon,NP,24
Aitkin,25,Judge - 9th District Court 15,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 18,9,Jeffrey S. Remick,NP,25
Aitkin,25,Judge - 9th District Court 18,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 19,9,James Hughes,NP,12
Aitkin,25,Judge - 9th District Court 19,9,Jana M Austad,NP,18
Aitkin,25,Judge - 9th District Court 19,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 21,9,Patricia Aanes,NP,23
Aitkin,25,Judge - 9th District Court 21,9,WRITE-IN,WI,0
Aitkin,25,Judge - 9th District Court 22,9,Darlene Rivera Spalla,NP,23
Aitkin,25,Judge - 9th District Court 22,9,WRITE-IN,WI,0
Aitkin,30,President,,Donald J. Trump and Michael R. Pence,R,41
Aitkin,30,President,,Joseph R. Biden and Kamala Harris,DFL,40
Aitkin,30,President,,"Roque ""Rocky"" De La Fuente and Darcy Richardson",IA,0
Aitkin,30,President,,Howie Hawkins and Angela Walker,GP,0
Aitkin,30,President,,Kanye West and Michelle Tidball,IND,0
Aitkin,30,President,,Brock Pierce and Karla Ballard,IND,1
Aitkin,30,President,,Gloria La Riva and Leonard Peltier,SLP,0
Aitkin,30,President,,Alyson Kennedy and Malcolm Jarrett,SWP,0
Aitkin,30,President,,"Jo Jorgensen and Jeremy ""Spike"" Cohen",LIB,0
Aitkin,30,President,,WRITE-IN,WI,0
Aitkin,30,U.S. Senate,,Kevin O'Connor,LMN,5
Aitkin,30,U.S. Senate,,Oliver Steinberg,GLC,1
Aitkin,30,U.S. Senate,,Jason Lewis,R,38
Aitkin,30,U.S. Senate,,Tina Smith,DFL,35
Aitkin,30,U.S. Senate,,WRITE-IN,WI,0
Aitkin,30,U.S. House,8,Judith Schwartzbacker,GLC,3
Aitkin,30,U.S. House,8,Pete Stauber,R,43
Aitkin,30,U.S. House,8,Quinn Nystrom,DFL,32
Aitkin,30,U.S. House,8,WRITE-IN,WI,0
Aitkin,30,State Senate,10,Carrie Ruud,R,42
Aitkin,30,State Senate,10,Steve Samuelson,DFL,35
Aitkin,30,State Senate,10,WRITE-IN,WI,0
Aitkin,30,State House,10B,Dale K. Lueck,R,43
Aitkin,30,State House,10B,Gaylene Spolarich,DFL,36
Aitkin,30,State House,10B,WRITE-IN,WI,0
Aitkin,30,County Commissioner District 4,4,Bill Pratt,NP,28
Aitkin,30,County Commissioner District 4,4,Brian Napstad,NP,16
Aitkin,30,County Commissioner District 4,4,WRITE-IN,WI,34
Aitkin,30,Soil and Water Supervisor District 3,3001,Franklin Turnock,NP,68
Aitkin,30,Soil and Water Supervisor District 3,3001,WRITE-IN,WI,1
Aitkin,30,Soil and Water Supervisor District 4,3001,Bob Janzen,NP,70
Aitkin,30,Soil and Water Supervisor District 4,3001,WRITE-IN,WI,0
Aitkin,30,Soil and Water Supervisor District 5,3001,Robert Roseberg,NP,62
Aitkin,30,Soil and Water Supervisor District 5,3001,WRITE-IN,WI,0
Aitkin,30,Associate Justice - Supreme Court 4,,Michelle MacDonald,NP,25
Aitkin,30,Associate Justice - Supreme Court 4,,Paul Thissen,NP,31
Aitkin,30,Associate Justice - Supreme Court 4,,WRITE-IN,WI,0
Aitkin,30,Judge - Court of Appeals 3,,Carol Hooten,NP,43
Aitkin,30,Judge - Court of Appeals 3,,WRITE-IN,WI,0
Aitkin,30,Judge - Court of Appeals 9,,Randall J Slieter,NP,41
Aitkin,30,Judge - Court of Appeals 9,,WRITE-IN,WI,0
Aitkin,30,Judge - Court of Appeals 13,,Jeanne Cochran,NP,41
Aitkin,30,Judge - Court of Appeals 13,,WRITE-IN,WI,0
Aitkin,30,Judge - Court of Appeals 15,,Kevin G. Ross,NP,41
Aitkin,30,Judge - Court of Appeals 15,,WRITE-IN,WI,0
Aitkin,30,Judge - 9th District Court 2,9,Matthew Mallie,NP,42
Aitkin,30,Judge - 9th District Court 2,9,WRITE-IN,WI,0
Aitkin,30,Judge - 9th District Court 4,9,Benjamin T. Lindstrom,NP,16
Aitkin,30,Judge - 9th District Court 4,9,Charles D Halverson,NP,33
Aitkin,30,Judge - 9th District Court 4,9,WRITE-IN,WI,0
Aitkin,30,Judge - 9th District Court 5,9,D. Korey Wahwassuck,NP,42
Aitkin,30,Judge - 9th District Court 5,9,WRITE-IN,WI,0
Aitkin,30,Judge - 9th District Court 11,9,Anne M. Rasmusson,NP,42
Aitkin,30,Judge - 9th District Court 11,9,WRITE-IN,WI,0
Aitkin,30,Judge - 9th District Court 12,9,Sarah L. McBroom,NP,42
Aitkin,30,Judge - 9th District Court 12,9,WRITE-IN,WI,0
Aitkin,30,Judge - 9th District Court 14,9,Robert D. Tiffany,NP,42
Aitkin,30,Judge - 9th District Court 14,9,WRITE-IN,WI,0
Aitkin,30,Judge - 9th District Court 15,9,Tamara L. Yon,NP,42
Aitkin,30,Judge - 9th District Court 15,9,WRITE-IN,WI,0
Aitkin,30,Judge - 9th District Court 18,9,Jeffrey S. Remick,NP,42
Aitkin,30,Judge - 9th District Court 18,9,WRITE-IN,WI,0
Aitkin,30,Judge - 9th District Court 19,9,James Hughes,NP,20
