county,office,district,party,candidate,votes
Pittsburg,President,,R,JOHN McCAIN and SARAH PALIN,11752
Pittsburg,President,,D,BARACK OBAMA and JOE BIDEN,5457
Pontotoc,President,,R,JOHN McCAIN and SARAH PALIN,9750
Pontotoc,President,,D,BARACK OBAMA and JOE BIDEN,4512
Pottawatomie,President,,R,JOHN McCAIN and SARAH PALIN,17753
Pottawatomie,President,,D,BARACK OBAMA and JOE BIDEN,7910
Pushmataha,President,,R,JOHN McCAIN and SARAH PALIN,3208
Pushmataha,President,,D,BARACK OBAMA and JOE BIDEN,1265
Roger Mills,President,,R,JOHN McCAIN and SARAH PALIN,1502
Roger Mills,President,,D,BARACK OBAMA and JOE BIDEN,287
Rogers,President,,R,JOHN McCAIN and SARAH PALIN,27743
Rogers,President,,D,BARACK OBAMA and JOE BIDEN,10772
Seminole,President,,R,JOHN McCAIN and SARAH PALIN,5600
Seminole,President,,D,BARACK OBAMA and JOE BIDEN,2977
Sequoyah,President,,R,JOHN McCAIN and SARAH PALIN,9466
Sequoyah,President,,D,BARACK OBAMA and JOE BIDEN,4454
Stephens,President,,R,JOHN McCAIN and SARAH PALIN,14394
Stephens,President,,D,BARACK OBAMA and JOE BIDEN,4538
Texas,President,,R,JOHN McCAIN and SARAH PALIN,5336
Texas,President,,D,BARACK OBAMA and JOE BIDEN,923
Tillman,President,,R,JOHN McCAIN and SARAH PALIN,2195
Tillman,President,,D,BARACK OBAMA and JOE BIDEN,1042
Tulsa,President,,R,JOHN McCAIN and SARAH PALIN,158363
Tulsa,President,,D,BARACK OBAMA and JOE BIDEN,96133
Wagoner,President,,R,JOHN McCAIN and SARAH PALIN,21441
Wagoner,President,,D,BARACK OBAMA and JOE BIDEN,8810
Washington,President,,R,JOHN McCAIN and SARAH PALIN,16457
Washington,President,,D,BARACK OBAMA and JOE BIDEN,6308
Washita,President,,R,JOHN McCAIN and SARAH PALIN,3724
Washita,President,,D,BARACK OBAMA and JOE BIDEN,1052
Woods,President,,R,JOHN McCAIN and SARAH PALIN,3043
Woods,President,,D,BARACK OBAMA and JOE BIDEN,873
Woodward,President,,R,JOHN McCAIN and SARAH PALIN,6404
Woodward,President,,D,BARACK OBAMA and JOE BIDEN,1350
