county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_CORT,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_THOMPSON,pri_rep_TRAN,gen_dem_OBAMA,gen_lib_BARR,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_HILL,gen_wri_KEYES,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,lib_general_total,wri_general_total
JACK,2,492,1,30,241,7,2,3,264,2,4,254,18,2,9,0,470,18,2528,0,3,0,1,0,0,3,563,773,2528,470,18,7
JACKSON,8,1106,3,73,697,26,0,4,350,4,1,439,106,20,2,2,1301,24,3723,0,7,0,0,0,0,2,936,1913,3723,1301,24,9
JASPER,63,4086,64,536,2208,105,0,5,494,2,1,435,38,18,4,1,3658,85,9022,0,6,0,3,0,0,2,1005,7062,9022,3658,85,11
JEFF DAVIS,0,312,8,37,300,24,1,4,64,1,2,99,24,3,1,1,468,16,749,0,3,0,0,0,0,0,201,681,749,468,16,3
JEFFERSON,61,17262,46,447,24744,170,1,28,2772,19,111,4061,376,155,66,18,44888,436,42905,0,24,0,6,2,0,35,7655,42730,42905,44888,436,67
JIM HOGG,13,1726,6,44,470,22,0,0,7,0,0,5,0,0,0,0,1336,7,472,0,0,0,0,0,0,0,12,2281,472,1336,7,0
JIM WELLS,49,7033,16,221,2502,77,0,5,176,1,1,242,17,3,1,0,6706,53,4841,0,6,0,0,2,0,4,450,9898,4841,6706,53,12
JOHNSON,6,4857,5,56,2142,5,5,29,4937,42,69,4579,407,166,120,4,12912,355,36685,0,44,1,8,6,1,38,10452,7071,36685,12912,355,98
JONES,4,1452,4,57,523,16,0,7,556,0,4,460,37,14,12,1,1528,63,4203,0,9,0,0,0,0,5,1103,2056,4203,1528,63,14
KARNES,24,1615,23,153,1101,28,0,0,109,0,1,130,29,4,0,0,1760,21,2736,0,4,0,0,1,0,5,278,2944,2736,1760,21,10
KAUFMAN,5,5462,5,55,4176,20,2,36,3885,29,32,3604,181,89,69,2,11161,209,23735,0,20,0,1,2,0,17,8081,9723,23735,11161,209,40
KENDALL,4,1294,1,9,1577,2,0,34,2058,25,17,3507,276,174,59,2,3599,107,12971,0,16,33,6,2,0,12,6284,2887,12971,3599,107,69
KENEDY,1,121,0,9,50,4,0,0,2,0,0,7,0,0,0,0,108,0,94,0,0,0,0,0,0,0,10,185,94,108,0,0
KENT,8,152,1,29,52,8,0,0,0,0,0,0,0,0,0,0,99,7,342,0,0,0,0,0,0,0,0,250,342,99,7,0
KERR,5,2196,5,38,2303,11,0,25,2458,19,240,5096,411,146,58,2,5570,156,16752,1,22,0,13,1,0,41,8665,4558,16752,5570,156,78
KIMBLE,0,167,1,5,111,0,0,4,273,0,8,614,35,8,6,1,342,10,1487,0,0,0,1,1,0,2,991,284,1487,342,10,4
KING,1,36,3,15,27,2,1,1,10,0,0,8,0,0,0,0,8,3,151,0,1,0,0,0,0,0,20,84,151,8,3,1
KINNEY,4,502,7,35,412,16,1,0,83,0,2,103,7,0,5,0,633,11,907,0,0,0,0,0,0,0,201,976,907,633,11,0
KLEBERG,23,3815,18,136,1915,52,0,2,268,1,4,482,42,13,8,0,5256,69,4540,0,3,0,0,0,1,7,831,5959,4540,5256,69,11
KNOX,4,366,2,15,151,5,0,1,115,0,1,111,4,6,1,0,367,15,986,0,0,0,0,0,0,0,239,543,986,367,15,0
LAMAR,117,5566,52,421,2801,83,0,7,1172,8,14,993,82,40,12,0,5243,137,12952,0,18,0,1,0,0,11,2339,9040,12952,5243,137,30
LAMB,3,807,1,70,421,12,0,6,643,3,5,508,22,5,9,0,1156,18,3344,0,4,0,0,0,0,3,1209,1314,3344,1156,18,7
LAMPASAS,2,900,2,20,673,8,0,10,748,23,8,1479,125,49,23,0,1903,68,5651,0,2,0,3,1,0,6,2522,1605,5651,1903,68,12
LASALLE,4,845,5,48,467,23,0,0,0,0,0,0,0,0,0,0,1052,10,714,0,0,0,0,0,0,0,0,1392,714,1052,10,0
LAVACA,49,2541,19,261,1231,56,0,3,324,5,8,509,136,17,8,1,1869,51,6293,0,10,0,0,0,0,0,1014,4157,6293,1869,51,10
LEE,19,1535,6,155,1197,22,0,1,318,4,5,343,78,7,9,0,2000,53,4312,0,8,1,0,0,0,3,770,2934,4312,2000,53,12
LEON,16,1300,5,63,624,22,2,10,760,3,6,989,66,34,9,2,1418,52,5566,0,1,0,0,1,0,3,1896,2030,5566,1418,52,5
LIBERTY,49,5172,22,295,2837,62,0,4,1881,12,32,1365,151,37,21,0,5991,156,15448,0,13,0,1,1,0,16,3530,8437,15448,5991,156,31
LIMESTONE,43,1932,24,225,1537,68,0,9,493,5,6,572,38,13,17,0,2516,55,5079,0,0,0,0,0,0,2,1153,3829,5079,2516,55,2
LIPSCOMB,0,146,0,7,57,1,2,1,221,0,2,211,6,4,6,0,155,4,1093,0,4,0,0,0,0,0,460,211,1093,155,4,4
LIVE OAK,3,902,1,31,485,7,1,5,268,1,1,428,18,10,5,0,1048,25,3095,2,2,0,0,1,0,3,741,1429,3095,1048,25,8
LLANO,4,1206,0,23,856,4,1,28,1186,22,14,2785,206,63,24,1,2250,80,7281,0,12,0,1,0,0,5,4506,2093,7281,2250,80,18
LOVING,0,5,1,5,7,6,0,0,0,0,0,0,0,0,0,0,12,0,67,0,0,0,0,0,0,0,0,24,67,12,0,0
LUBBOCK,90,12638,27,161,10965,74,42,91,8856,49,202,12722,563,416,269,6,30486,644,66304,1,30,0,11,2,1,55,23430,23955,66304,30486,644,100
LYNN,1,431,0,27,178,10,0,4,209,0,5,226,11,2,3,0,627,16,1473,0,0,0,0,0,0,0,467,647,1473,627,16,0
MADISON,4,796,8,53,535,9,0,5,313,0,3,341,38,14,5,0,1146,23,2891,1,6,0,1,1,0,5,729,1405,2891,1146,23,14
MARION,17,1204,17,117,889,43,0,0,194,2,3,158,20,4,4,0,1644,27,2567,0,11,0,0,0,0,3,387,2287,2567,1644,27,14
MARTIN,2,284,1,13,148,10,0,6,257,4,3,298,14,8,9,2,314,12,1389,0,0,0,0,0,0,0,619,458,1389,314,12,0
MASON,0,201,5,6,198,2,2,6,316,5,25,669,57,13,10,1,546,28,1544,0,2,0,1,0,0,0,1134,412,1544,546,28,3
MATAGORDA,40,3353,34,244,2639,70,0,4,701,12,8,861,194,29,1,3,4440,81,7835,0,14,1,1,0,0,1,1820,6380,7835,4440,81,17
MAVERICK,60,6970,36,122,2393,80,0,0,0,0,0,0,0,0,0,0,8554,64,2316,0,3,0,0,1,0,1,0,9661,2316,8554,64,5
MCCULLOCH,0,523,2,20,239,2,1,6,314,4,0,529,30,15,13,0,728,19,2263,0,0,0,0,0,0,0,932,786,2263,728,19,0
MCLENNAN,21,12277,37,294,11862,35,3,81,7141,67,52,9935,489,371,128,1,29998,492,49044,0,69,0,9,4,6,52,18268,24526,49044,29998,492,140
MCMULLEN,5,170,5,33,140,6,0,2,11,0,1,22,1,1,0,0,132,5,400,0,0,0,0,0,0,0,38,359,400,132,5,0
MEDINA,12,2654,2,42,1610,24,1,30,1484,17,21,2674,152,129,46,0,5147,80,10480,0,22,0,2,2,0,4,4652,4344,10480,5147,80,30
MENARD,2,188,1,5,105,2,2,4,94,5,6,217,9,8,5,2,295,8,712,0,1,0,0,1,0,1,360,303,712,295,8,3
