county,precinct,office,district,party,candidate,votes
Davis,BO15:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO15:I-S-,President,,Democrat,ANDREW YANG,0
Davis,BO15:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO15:I-S-,President,,Democrat,PETE BUTTIGIEG,6
Davis,BO15:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO15:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,10
Davis,BO15:I-S-,President,,Democrat,JOSEPH R. BIDEN,15
Davis,BO15:I-S-,President,,Democrat,BERNIE SANDERS,28
Davis,BO15:I-S-,President,,Democrat,TOM STEYER,1
Davis,BO15:I-S-,President,,Democrat,ELIZABETH WARREN,8
Davis,BO15:I-S-,President,,Democrat,MARIANNE WILLIAMSON,1
Davis,BO15:I-S-,President,,Democrat,TULSI GABBARD,0
Davis,BO15:I-S-,President,,Democrat,AMY KLOBUCHAR,5
Davis,BO15:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO15:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO15:I-S-,President,,Republican,ROBERT ARDINI,3
Davis,BO15:I-S-,President,,Republican,MATTHEW JOHN MATERN,3
Davis,BO15:I-S-,President,,Republican,BOB ELY,1
Davis,BO15:I-S-,President,,Republican,JOE WALSH,5
Davis,BO15:I-S-,President,,Republican,BILL WELD,18
Davis,BO15:I-S-,President,,Republican,DONALD J. TRUMP,109
Davis,BO16:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO16:I-S-,President,,Democrat,ANDREW YANG,0
Davis,BO16:I-S-,President,,Democrat,CORY BOOKER,1
Davis,BO16:I-S-,President,,Democrat,PETE BUTTIGIEG,16
Davis,BO16:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO16:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,30
Davis,BO16:I-S-,President,,Democrat,JOSEPH R. BIDEN,24
Davis,BO16:I-S-,President,,Democrat,BERNIE SANDERS,39
Davis,BO16:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO16:I-S-,President,,Democrat,ELIZABETH WARREN,11
Davis,BO16:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO16:I-S-,President,,Democrat,TULSI GABBARD,2
Davis,BO16:I-S-,President,,Democrat,AMY KLOBUCHAR,3
Davis,BO16:I-S-,President,,Democrat,DEVAL PATRICK,1
Davis,BO16:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO16:I-S-,President,,Republican,ROBERT ARDINI,3
Davis,BO16:I-S-,President,,Republican,MATTHEW JOHN MATERN,5
Davis,BO16:I-S-,President,,Republican,BOB ELY,0
Davis,BO16:I-S-,President,,Republican,JOE WALSH,10
Davis,BO16:I-S-,President,,Republican,BILL WELD,39
Davis,BO16:I-S-,President,,Republican,DONALD J. TRUMP,210
Davis,BO17,President,,Democrat,JULIÁN CASTRO,0
Davis,BO17,President,,Democrat,ANDREW YANG,0
Davis,BO17,President,,Democrat,CORY BOOKER,0
Davis,BO17,President,,Democrat,PETE BUTTIGIEG,11
Davis,BO17,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO17,President,,Democrat,MICHAEL R. BLOOMBERG,22
Davis,BO17,President,,Democrat,JOSEPH R. BIDEN,20
Davis,BO17,President,,Democrat,BERNIE SANDERS,26
Davis,BO17,President,,Democrat,TOM STEYER,1
Davis,BO17,President,,Democrat,ELIZABETH WARREN,14
Davis,BO17,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO17,President,,Democrat,TULSI GABBARD,0
Davis,BO17,President,,Democrat,AMY KLOBUCHAR,4
Davis,BO17,President,,Democrat,DEVAL PATRICK,0
Davis,BO17,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO17,President,,Republican,ROBERT ARDINI,2
Davis,BO17,President,,Republican,MATTHEW JOHN MATERN,6
Davis,BO17,President,,Republican,BOB ELY,1
Davis,BO17,President,,Republican,JOE WALSH,12
Davis,BO17,President,,Republican,BILL WELD,28
Davis,BO17,President,,Republican,DONALD J. TRUMP,226
Davis,BO18,President,,Democrat,JULIÁN CASTRO,0
Davis,BO18,President,,Democrat,ANDREW YANG,0
Davis,BO18,President,,Democrat,CORY BOOKER,0
Davis,BO18,President,,Democrat,PETE BUTTIGIEG,19
Davis,BO18,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO18,President,,Democrat,MICHAEL R. BLOOMBERG,34
Davis,BO18,President,,Democrat,JOSEPH R. BIDEN,35
Davis,BO18,President,,Democrat,BERNIE SANDERS,25
Davis,BO18,President,,Democrat,TOM STEYER,0
Davis,BO18,President,,Democrat,ELIZABETH WARREN,22
Davis,BO18,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO18,President,,Democrat,TULSI GABBARD,1
Davis,BO18,President,,Democrat,AMY KLOBUCHAR,8
Davis,BO18,President,,Democrat,DEVAL PATRICK,0
Davis,BO18,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO18,President,,Republican,ROBERT ARDINI,4
Davis,BO18,President,,Republican,MATTHEW JOHN MATERN,4
Davis,BO18,President,,Republican,BOB ELY,0
Davis,BO18,President,,Republican,JOE WALSH,10
Davis,BO18,President,,Republican,BILL WELD,26
Davis,BO18,President,,Republican,DONALD J. TRUMP,201
Davis,BO19:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO19:I-S-,President,,Democrat,ANDREW YANG,0
Davis,BO19:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO19:I-S-,President,,Democrat,PETE BUTTIGIEG,10
Davis,BO19:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO19:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,15
Davis,BO19:I-S-,President,,Democrat,JOSEPH R. BIDEN,22
Davis,BO19:I-S-,President,,Democrat,BERNIE SANDERS,32
Davis,BO19:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO19:I-S-,President,,Democrat,ELIZABETH WARREN,18
Davis,BO19:I-S-,President,,Democrat,MARIANNE WILLIAMSON,1
Davis,BO19:I-S-,President,,Democrat,TULSI GABBARD,1
Davis,BO19:I-S-,President,,Democrat,AMY KLOBUCHAR,3
Davis,BO19:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO19:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO19:I-S-,President,,Republican,ROBERT ARDINI,6
Davis,BO19:I-S-,President,,Republican,MATTHEW JOHN MATERN,5
Davis,BO19:I-S-,President,,Republican,BOB ELY,0
Davis,BO19:I-S-,President,,Republican,JOE WALSH,9
Davis,BO19:I-S-,President,,Republican,BILL WELD,25
Davis,BO19:I-S-,President,,Republican,DONALD J. TRUMP,207
Davis,BO20:I-S-,President,,Democrat,JULIÁN CASTRO,0
Davis,BO20:I-S-,President,,Democrat,ANDREW YANG,0
Davis,BO20:I-S-,President,,Democrat,CORY BOOKER,0
Davis,BO20:I-S-,President,,Democrat,PETE BUTTIGIEG,15
Davis,BO20:I-S-,President,,Democrat,NATHAN BLOXHAM,0
Davis,BO20:I-S-,President,,Democrat,MICHAEL R. BLOOMBERG,14
Davis,BO20:I-S-,President,,Democrat,JOSEPH R. BIDEN,14
Davis,BO20:I-S-,President,,Democrat,BERNIE SANDERS,19
Davis,BO20:I-S-,President,,Democrat,TOM STEYER,0
Davis,BO20:I-S-,President,,Democrat,ELIZABETH WARREN,15
Davis,BO20:I-S-,President,,Democrat,MARIANNE WILLIAMSON,0
Davis,BO20:I-S-,President,,Democrat,TULSI GABBARD,3
Davis,BO20:I-S-,President,,Democrat,AMY KLOBUCHAR,9
Davis,BO20:I-S-,President,,Democrat,DEVAL PATRICK,0
Davis,BO20:I-S-,President,,Democrat,ROQUE DE LA FUENTE,0
Davis,BO20:I-S-,President,,Republican,ROBERT ARDINI,0
Davis,BO20:I-S-,President,,Republican,MATTHEW JOHN MATERN,5
Davis,BO20:I-S-,President,,Republican,BOB ELY,1
Davis,BO20:I-S-,President,,Republican,JOE WALSH,5
