county,precinct,office,district,party,candidate,votes
Box Elder,BC15,President,,Republican,JOE WALSH,6
Box Elder,BC15,President,,Republican,BILL WELD,10
Box Elder,BC15,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",0
Box Elder,BC15,President,,Republican,DONALD J. TRUMP,190
Box Elder,BCN,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BCN,President,,Democrat,ANDREW YANG,0
Box Elder,BCN,President,,Democrat,CORY BOOKER,0
Box Elder,BCN,President,,Democrat,PETE BUTTIGIEG,2
Box Elder,BCN,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BCN,President,,Democrat,MICHAEL R. BLOOMBERG,1
Box Elder,BCN,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BCN,President,,Democrat,JOSEPH R. BIDEN,7
Box Elder,BCN,President,,Democrat,BERNIE SANDERS,1
Box Elder,BCN,President,,Democrat,TOM STEYER,1
Box Elder,BCN,President,,Democrat,ELIZABETH WARREN,0
Box Elder,BCN,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,BCN,President,,Democrat,TULSI GABBARD,0
Box Elder,BCN,President,,Democrat,AMY KLOBUCHAR,1
Box Elder,BCN,President,,Democrat,DEVAL PATRICK,0
Box Elder,BCN,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BCN,President,,Republican,ROBERT ARDINI,0
Box Elder,BCN,President,,Republican,MATTHEW JOHN MATERN,1
Box Elder,BCN,President,,Republican,BOB ELY,0
Box Elder,BCN,President,,Republican,JOE WALSH,2
Box Elder,BCN,President,,Republican,BILL WELD,9
Box Elder,BCN,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",1
Box Elder,BCN,President,,Republican,DONALD J. TRUMP,87
Box Elder,BD/C,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BD/C,President,,Democrat,ANDREW YANG,0
Box Elder,BD/C,President,,Democrat,CORY BOOKER,0
Box Elder,BD/C,President,,Democrat,PETE BUTTIGIEG,0
Box Elder,BD/C,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BD/C,President,,Democrat,MICHAEL R. BLOOMBERG,2
Box Elder,BD/C,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BD/C,President,,Democrat,JOSEPH R. BIDEN,1
Box Elder,BD/C,President,,Democrat,BERNIE SANDERS,1
Box Elder,BD/C,President,,Democrat,TOM STEYER,0
Box Elder,BD/C,President,,Democrat,ELIZABETH WARREN,0
Box Elder,BD/C,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,BD/C,President,,Democrat,TULSI GABBARD,0
Box Elder,BD/C,President,,Democrat,AMY KLOBUCHAR,0
Box Elder,BD/C,President,,Democrat,DEVAL PATRICK,0
Box Elder,BD/C,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BD/C,President,,Republican,ROBERT ARDINI,1
Box Elder,BD/C,President,,Republican,MATTHEW JOHN MATERN,0
Box Elder,BD/C,President,,Republican,BOB ELY,0
Box Elder,BD/C,President,,Republican,JOE WALSH,0
Box Elder,BD/C,President,,Republican,BILL WELD,4
Box Elder,BD/C,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",0
Box Elder,BD/C,President,,Republican,DONALD J. TRUMP,94
Box Elder,BEAR,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BEAR,President,,Democrat,ANDREW YANG,2
Box Elder,BEAR,President,,Democrat,CORY BOOKER,0
Box Elder,BEAR,President,,Democrat,PETE BUTTIGIEG,4
Box Elder,BEAR,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BEAR,President,,Democrat,MICHAEL R. BLOOMBERG,3
Box Elder,BEAR,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BEAR,President,,Democrat,JOSEPH R. BIDEN,1
