county,precinct,office,district,party,candidate,votes
Utah,AF07,President,,Democrat,ELIZABETH WARREN,12
Utah,AF07,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF07,President,,Democrat,TULSI GABBARD,0
Utah,AF07,President,,Democrat,AMY KLOBUCHAR,5
Utah,AF07,President,,Democrat,DEVAL PATRICK,0
Utah,AF07,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF07,President,,Republican,ROBERT ARDINI,5
Utah,AF07,President,,Republican,MATTHEW JOHN MATERN,15
Utah,AF07,President,,Republican,BOB ELY,1
Utah,AF07,President,,Republican,JOE WALSH,8
Utah,AF07,President,,Republican,BILL WELD,52
Utah,AF07,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,1
Utah,AF07,President,,Republican,DONALD J. TRUMP,373
Utah,AF08,President,,Democrat,JULIÁN CASTRO,1
Utah,AF08,President,,Democrat,ANDREW YANG,0
Utah,AF08,President,,Democrat,CORY BOOKER,0
Utah,AF08,President,,Democrat,PETE BUTTIGIEG,7
Utah,AF08,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF08,President,,Democrat,MICHAEL R. BLOOMBERG,17
Utah,AF08,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF08,President,,Democrat,JOSEPH R. BIDEN,32
Utah,AF08,President,,Democrat,BERNIE SANDERS,34
Utah,AF08,President,,Democrat,TOM STEYER,0
Utah,AF08,President,,Democrat,ELIZABETH WARREN,21
Utah,AF08,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF08,President,,Democrat,TULSI GABBARD,1
Utah,AF08,President,,Democrat,AMY KLOBUCHAR,6
Utah,AF08,President,,Democrat,DEVAL PATRICK,0
Utah,AF08,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF08,President,,Republican,ROBERT ARDINI,5
Utah,AF08,President,,Republican,MATTHEW JOHN MATERN,7
Utah,AF08,President,,Republican,BOB ELY,3
Utah,AF08,President,,Republican,JOE WALSH,7
Utah,AF08,President,,Republican,BILL WELD,38
Utah,AF08,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,1
Utah,AF08,President,,Republican,DONALD J. TRUMP,357
Utah,AF08:UN,President,,Democrat,JULIÁN CASTRO,0
Utah,AF08:UN,President,,Democrat,ANDREW YANG,0
Utah,AF08:UN,President,,Democrat,CORY BOOKER,0
Utah,AF08:UN,President,,Democrat,PETE BUTTIGIEG,0
Utah,AF08:UN,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF08:UN,President,,Democrat,MICHAEL R. BLOOMBERG,0
Utah,AF08:UN,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF08:UN,President,,Democrat,JOSEPH R. BIDEN,0
Utah,AF08:UN,President,,Democrat,BERNIE SANDERS,0
Utah,AF08:UN,President,,Democrat,TOM STEYER,0
Utah,AF08:UN,President,,Democrat,ELIZABETH WARREN,0
Utah,AF08:UN,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF08:UN,President,,Democrat,TULSI GABBARD,0
Utah,AF08:UN,President,,Democrat,AMY KLOBUCHAR,0
Utah,AF08:UN,President,,Democrat,DEVAL PATRICK,0
Utah,AF08:UN,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF08:UN,President,,Republican,ROBERT ARDINI,0
Utah,AF08:UN,President,,Republican,MATTHEW JOHN MATERN,0
Utah,AF08:UN,President,,Republican,BOB ELY,0
Utah,AF08:UN,President,,Republican,JOE WALSH,0
Utah,AF08:UN,President,,Republican,BILL WELD,0
Utah,AF08:UN,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,0
Utah,AF08:UN,President,,Republican,DONALD J. TRUMP,0
Utah,AF09,President,,Democrat,JULIÁN CASTRO,0
Utah,AF09,President,,Democrat,ANDREW YANG,0
Utah,AF09,President,,Democrat,CORY BOOKER,0
Utah,AF09,President,,Democrat,PETE BUTTIGIEG,6
Utah,AF09,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF09,President,,Democrat,MICHAEL R. BLOOMBERG,12
Utah,AF09,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF09,President,,Democrat,JOSEPH R. BIDEN,11
Utah,AF09,President,,Democrat,BERNIE SANDERS,31
Utah,AF09,President,,Democrat,TOM STEYER,0
Utah,AF09,President,,Democrat,ELIZABETH WARREN,12
Utah,AF09,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF09,President,,Democrat,TULSI GABBARD,1
Utah,AF09,President,,Democrat,AMY KLOBUCHAR,2
Utah,AF09,President,,Democrat,DEVAL PATRICK,0
Utah,AF09,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF09,President,,Republican,ROBERT ARDINI,4
Utah,AF09,President,,Republican,MATTHEW JOHN MATERN,3
Utah,AF09,President,,Republican,BOB ELY,0
Utah,AF09,President,,Republican,JOE WALSH,7
Utah,AF09,President,,Republican,BILL WELD,37
