county,office,district,party,precinct,candidate,votes
Weber,President,,Republican,OGD024,MATTHEW JOHN MATERN,5
Weber,President,,Republican,OGD024,BOB ELY,0
Weber,President,,Republican,OGD024,JOE WALSH,4
Weber,President,,Republican,OGD024,BILL WELD,7
Weber,President,,Republican,OGD024,DONALD J. TRUMP,96
Weber,President,,Republican,OGD025,ROBERT ARDINI,1
Weber,President,,Republican,OGD025,MATTHEW JOHN MATERN,4
Weber,President,,Republican,OGD025,BOB ELY,0
Weber,President,,Republican,OGD025,JOE WALSH,3
Weber,President,,Republican,OGD025,BILL WELD,16
Weber,President,,Republican,OGD025,DONALD J. TRUMP,84
Weber,President,,Republican,OGD026,ROBERT ARDINI,1
Weber,President,,Republican,OGD026,MATTHEW JOHN MATERN,0
Weber,President,,Republican,OGD026,BOB ELY,0
Weber,President,,Republican,OGD026,JOE WALSH,4
Weber,President,,Republican,OGD026,BILL WELD,3
Weber,President,,Republican,OGD026,DONALD J. TRUMP,41
Weber,President,,Republican,OGD027,ROBERT ARDINI,4
Weber,President,,Republican,OGD027,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD027,BOB ELY,0
Weber,President,,Republican,OGD027,JOE WALSH,1
Weber,President,,Republican,OGD027,BILL WELD,7
Weber,President,,Republican,OGD027,DONALD J. TRUMP,47
Weber,President,,Republican,OGD028,ROBERT ARDINI,5
Weber,President,,Republican,OGD028,MATTHEW JOHN MATERN,0
Weber,President,,Republican,OGD028,BOB ELY,0
Weber,President,,Republican,OGD028,JOE WALSH,2
Weber,President,,Republican,OGD028,BILL WELD,11
Weber,President,,Republican,OGD028,DONALD J. TRUMP,49
Weber,President,,Republican,OGD029,ROBERT ARDINI,1
Weber,President,,Republican,OGD029,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD029,BOB ELY,2
Weber,President,,Republican,OGD029,JOE WALSH,2
Weber,President,,Republican,OGD029,BILL WELD,3
Weber,President,,Republican,OGD029,DONALD J. TRUMP,48
Weber,President,,Republican,OGD030,ROBERT ARDINI,1
Weber,President,,Republican,OGD030,MATTHEW JOHN MATERN,0
Weber,President,,Republican,OGD030,BOB ELY,3
Weber,President,,Republican,OGD030,JOE WALSH,1
Weber,President,,Republican,OGD030,BILL WELD,5
Weber,President,,Republican,OGD030,DONALD J. TRUMP,53
Weber,President,,Republican,OGD031,ROBERT ARDINI,0
Weber,President,,Republican,OGD031,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD031,BOB ELY,1
Weber,President,,Republican,OGD031,JOE WALSH,0
Weber,President,,Republican,OGD031,BILL WELD,3
Weber,President,,Republican,OGD031,DONALD J. TRUMP,36
Weber,President,,Republican,OGD032,ROBERT ARDINI,1
Weber,President,,Republican,OGD032,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD032,BOB ELY,0
Weber,President,,Republican,OGD032,JOE WALSH,3
Weber,President,,Republican,OGD032,BILL WELD,8
Weber,President,,Republican,OGD032,DONALD J. TRUMP,88
Weber,President,,Republican,OGD033,ROBERT ARDINI,1
Weber,President,,Republican,OGD033,MATTHEW JOHN MATERN,0
Weber,President,,Republican,OGD033,BOB ELY,0
Weber,President,,Republican,OGD033,JOE WALSH,3
Weber,President,,Republican,OGD033,BILL WELD,6
Weber,President,,Republican,OGD033,DONALD J. TRUMP,70
Weber,President,,Republican,OGD034,ROBERT ARDINI,0
Weber,President,,Republican,OGD034,MATTHEW JOHN MATERN,2
Weber,President,,Republican,OGD034,BOB ELY,0
Weber,President,,Republican,OGD034,JOE WALSH,7
Weber,President,,Republican,OGD034,BILL WELD,11
Weber,President,,Republican,OGD034,DONALD J. TRUMP,64
Weber,President,,Republican,OGD035,ROBERT ARDINI,2
Weber,President,,Republican,OGD035,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD035,BOB ELY,0
Weber,President,,Republican,OGD035,JOE WALSH,2
Weber,President,,Republican,OGD035,BILL WELD,2
Weber,President,,Republican,OGD035,DONALD J. TRUMP,84
Weber,President,,Republican,OGD036,ROBERT ARDINI,2
Weber,President,,Republican,OGD036,MATTHEW JOHN MATERN,5
Weber,President,,Republican,OGD036,BOB ELY,0
Weber,President,,Republican,OGD036,JOE WALSH,0
Weber,President,,Republican,OGD036,BILL WELD,14
Weber,President,,Republican,OGD036,DONALD J. TRUMP,144
Weber,President,,Republican,OGD037,ROBERT ARDINI,4
Weber,President,,Republican,OGD037,MATTHEW JOHN MATERN,0
Weber,President,,Republican,OGD037,BOB ELY,0
Weber,President,,Republican,OGD037,JOE WALSH,5
Weber,President,,Republican,OGD037,BILL WELD,21
Weber,President,,Republican,OGD037,DONALD J. TRUMP,69
Weber,President,,Republican,OGD038,ROBERT ARDINI,4
Weber,President,,Republican,OGD038,MATTHEW JOHN MATERN,5
Weber,President,,Republican,OGD038,BOB ELY,0
Weber,President,,Republican,OGD038,JOE WALSH,3
Weber,President,,Republican,OGD038,BILL WELD,16
Weber,President,,Republican,OGD038,DONALD J. TRUMP,104
Weber,President,,Republican,OGD039,ROBERT ARDINI,1
Weber,President,,Republican,OGD039,MATTHEW JOHN MATERN,3
Weber,President,,Republican,OGD039,BOB ELY,2
Weber,President,,Republican,OGD039,JOE WALSH,9
Weber,President,,Republican,OGD039,BILL WELD,14
Weber,President,,Republican,OGD039,DONALD J. TRUMP,103
Weber,President,,Republican,OGD040,ROBERT ARDINI,3
Weber,President,,Republican,OGD040,MATTHEW JOHN MATERN,0
Weber,President,,Republican,OGD040,BOB ELY,1
Weber,President,,Republican,OGD040,JOE WALSH,4
Weber,President,,Republican,OGD040,BILL WELD,13
Weber,President,,Republican,OGD040,DONALD J. TRUMP,96
Weber,President,,Republican,OGD041,ROBERT ARDINI,0
Weber,President,,Republican,OGD041,MATTHEW JOHN MATERN,4
Weber,President,,Republican,OGD041,BOB ELY,0
Weber,President,,Republican,OGD041,JOE WALSH,1
Weber,President,,Republican,OGD041,BILL WELD,13
Weber,President,,Republican,OGD041,DONALD J. TRUMP,48
Weber,President,,Republican,OGD042,ROBERT ARDINI,2
Weber,President,,Republican,OGD042,MATTHEW JOHN MATERN,3
Weber,President,,Republican,OGD042,BOB ELY,0
Weber,President,,Republican,OGD042,JOE WALSH,2
Weber,President,,Republican,OGD042,BILL WELD,18
Weber,President,,Republican,OGD042,DONALD J. TRUMP,109
Weber,President,,Republican,OGD043,ROBERT ARDINI,2
Weber,President,,Republican,OGD043,MATTHEW JOHN MATERN,1
Weber,President,,Republican,OGD043,BOB ELY,0
Weber,President,,Republican,OGD043,JOE WALSH,4
Weber,President,,Republican,OGD043,BILL WELD,13
Weber,President,,Republican,OGD043,DONALD J. TRUMP,137
Weber,President,,Republican,OGD044,ROBERT ARDINI,3
Weber,President,,Republican,OGD044,MATTHEW JOHN MATERN,3
Weber,President,,Republican,OGD044,BOB ELY,1
Weber,President,,Republican,OGD044,JOE WALSH,6
Weber,President,,Republican,OGD044,BILL WELD,13
Weber,President,,Republican,OGD044,DONALD J. TRUMP,164
Weber,President,,Republican,OGD045,ROBERT ARDINI,2
Weber,President,,Republican,OGD045,MATTHEW JOHN MATERN,0
Weber,President,,Republican,OGD045,BOB ELY,1
Weber,President,,Republican,OGD045,JOE WALSH,2
Weber,President,,Republican,OGD045,BILL WELD,17
Weber,President,,Republican,OGD045,DONALD J. TRUMP,169
Weber,President,,Republican,PLC001,ROBERT ARDINI,3
Weber,President,,Republican,PLC001,MATTHEW JOHN MATERN,7
Weber,President,,Republican,PLC001,BOB ELY,0
Weber,President,,Republican,PLC001,JOE WALSH,4
Weber,President,,Republican,PLC001,BILL WELD,8
Weber,President,,Republican,PLC001,DONALD J. TRUMP,277
Weber,President,,Republican,PLC002,ROBERT ARDINI,6
Weber,President,,Republican,PLC002,MATTHEW JOHN MATERN,7
Weber,President,,Republican,PLC002,BOB ELY,1
Weber,President,,Republican,PLC002,JOE WALSH,9
Weber,President,,Republican,PLC002,BILL WELD,17
Weber,President,,Republican,PLC002,DONALD J. TRUMP,337
Weber,President,,Republican,PLC003,ROBERT ARDINI,1
Weber,President,,Republican,PLC003,MATTHEW JOHN MATERN,2
Weber,President,,Republican,PLC003,BOB ELY,0
Weber,President,,Republican,PLC003,JOE WALSH,2
Weber,President,,Republican,PLC003,BILL WELD,5
Weber,President,,Republican,PLC003,DONALD J. TRUMP,100
Weber,President,,Republican,PLC004,ROBERT ARDINI,4
Weber,President,,Republican,PLC004,MATTHEW JOHN MATERN,3
Weber,President,,Republican,PLC004,BOB ELY,1
Weber,President,,Republican,PLC004,JOE WALSH,3
Weber,President,,Republican,PLC004,BILL WELD,13
Weber,President,,Republican,PLC004,DONALD J. TRUMP,249
Weber,President,,Republican,PLV001,ROBERT ARDINI,1
Weber,President,,Republican,PLV001,MATTHEW JOHN MATERN,2
Weber,President,,Republican,PLV001,BOB ELY,2
Weber,President,,Republican,PLV001,JOE WALSH,8
Weber,President,,Republican,PLV001,BILL WELD,11
Weber,President,,Republican,PLV001,DONALD J. TRUMP,245
Weber,President,,Republican,PLV002,ROBERT ARDINI,5
Weber,President,,Republican,PLV002,MATTHEW JOHN MATERN,5
Weber,President,,Republican,PLV002,BOB ELY,2
Weber,President,,Republican,PLV002,JOE WALSH,3
Weber,President,,Republican,PLV002,BILL WELD,12
Weber,President,,Republican,PLV002,DONALD J. TRUMP,262
Weber,President,,Republican,PLV003,ROBERT ARDINI,1
Weber,President,,Republican,PLV003,MATTHEW JOHN MATERN,2
Weber,President,,Republican,PLV003,BOB ELY,0
Weber,President,,Republican,PLV003,JOE WALSH,5
Weber,President,,Republican,PLV003,BILL WELD,29
