county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_BARR,gen_wri_BROWN,gen_wri_BYRNE,gen_wri_HARRIS,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,gen_wri_PEROUTKA,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,wri_general_total
Douglas,17,4014,4,215,12,11,11543,18,96,5368,15,21,3742,400,3807,3,38,27825,26812,1,16,419,0,0,0,2,0,8,0,13490,15834,26812,27825,446
Early,6,406,3,30,2,2,680,1,5,373,2,0,457,18,107,1,1,2603,2711,0,0,21,0,0,0,0,0,0,0,964,1130,2711,2603,21
Echols,0,80,1,5,0,0,49,3,0,83,0,1,66,7,54,1,4,201,981,0,0,5,0,0,0,0,0,0,0,216,138,981,201,5
Effingham,28,1991,7,172,11,14,1773,8,100,2414,6,7,3548,307,2137,4,37,4936,15230,0,15,132,0,0,0,0,0,3,0,8560,4004,15230,4936,150
Elbert,6,962,3,96,2,8,903,5,12,915,2,7,659,54,328,0,11,3366,4868,0,4,73,0,0,0,0,0,6,0,1988,1985,4868,3366,83
Emanuel,7,773,5,53,2,9,1003,8,7,695,1,5,901,45,298,1,9,3068,5110,0,0,56,0,0,0,2,0,6,0,1962,1860,5110,3068,64
Evans,3,413,2,38,0,4,481,4,6,386,0,0,421,21,185,1,2,1374,2462,0,0,19,0,0,0,0,0,0,0,1022,945,2462,1374,19
Fannin,12,1266,3,95,2,6,506,6,25,1820,4,6,1199,130,695,0,23,2611,7807,0,9,154,0,0,0,0,0,3,0,3902,1896,7807,2611,166
Fayette,30,4175,4,228,9,19,9226,18,150,6662,15,33,6190,409,7536,2,60,20313,38501,0,15,470,0,0,0,2,0,20,0,21057,13709,38501,20313,507
Floyd,39,3874,13,305,13,14,3454,29,63,3814,4,21,3226,345,2495,3,44,10691,23132,0,8,374,0,0,0,0,0,8,0,10015,7741,23132,10691,390
