county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-04,President and Vice President,,R,Donald J. Trump,0,17,50,67
County of Hawaii,01-04,President and Vice President,,AS,Brock Pierce,0,0,2,2
County of Hawaii,01-04,U.S. Representative,2,R,"AKANA, Joe",0,13,52,65
County of Hawaii,01-04,U.S. Representative,2,N,"BURRUS, Ron",0,0,1,1
County of Hawaii,01-04,U.S. Representative,2,AS,"GIUFFRE, John (Raghu)",0,1,1,2
County of Hawaii,01-04,U.S. Representative,2,A,"HOOMANAWANUI, Jonathan",0,3,1,4
County of Hawaii,01-04,U.S. Representative,2,D,"KAHELE, Kaiali'i (Kai)",0,8,154,162
County of Hawaii,01-04,U.S. Representative,2,L,"TIPPENS, Michelle Rose",0,0,10,10
County of Hawaii,01-04,State Representative,1,D,"NAKASHIMA, Mark M.",0,7,163,170
County of Hawaii,01-04,State Representative,1,R,"SHIN, Lorraine Pualani",0,17,69,86
County of Hawaii,01-04,Hawaii Resident Trustee,,,"LINDSEY, Keola",0,17,112,129
County of Hawaii,01-04,Hawaii Resident Trustee,,,"MANGAUIL, Lanakila",0,4,75,79
County of Hawaii,01-04,Molokai Resident Trustee,,,"ALAPA, Luana",0,10,97,107
County of Hawaii,01-04,Molokai Resident Trustee,,,"MACHADO, Colette (Piipii)",0,10,45,55
County of Hawaii,01-04,At-Large Trustee,,,"AKINA, Keli'i",0,12,118,130
County of Hawaii,01-04,At-Large Trustee,,,"SOUZA, Keoni",0,8,45,53
County of Hawaii,01-04,"Mayor, County of Hawaii",,,"MARZO, Ikaika",0,11,69,80
County of Hawaii,01-04,"Mayor, County of Hawaii",,,"ROTH, Mitch",0,13,166,179
County of Hawaii,01-04,Councilmember,"1, County of Hawaii",,"KIMBALL, Heather L.",0,13,165,178
County of Hawaii,01-04,Councilmember,"1, County of Hawaii",,"YAGONG, Dominic",0,10,62,72
County of Hawaii,01-04,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,YES,0,15,151,166
County of Hawaii,01-04,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,NO,0,9,56,65
County of Hawaii,01-04,HAWAI'I: Council Meeting Locations,,,YES,0,21,152,173
County of Hawaii,01-04,HAWAI'I: Council Meeting Locations,,,NO,0,3,62,65
County of Hawaii,01-04,HAWAI'I: Department of Research & Development,,,YES,0,22,187,209
County of Hawaii,01-04,HAWAI'I: Department of Research & Development,,,NO,0,2,27,29
County of Hawaii,01-04,HAWAI'I: Authority of Police & Fire Commissions,,,YES,0,23,172,195
County of Hawaii,01-04,HAWAI'I: Authority of Police & Fire Commissions,,,NO,0,0,40,40
County of Hawaii,01-04,HAWAI'I: Terms of Council Members,,,YES,0,10,94,104
County of Hawaii,01-04,HAWAI'I: Terms of Council Members,,,NO,0,13,120,133
County of Hawaii,01-04,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,YES,0,16,129,145
County of Hawaii,01-04,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,NO,0,7,79,86
County of Hawaii,01-04,HAWAI'I: Discipline of Council Members,,,YES,0,20,186,206
County of Hawaii,01-04,HAWAI'I: Discipline of Council Members,,,NO,0,3,26,29
County of Hawaii,01-04,HAWAI'I: Department of Information Technology,,,YES,0,9,90,99
County of Hawaii,01-04,HAWAI'I: Department of Information Technology,,,NO,0,11,104,115
County of Hawaii,01-04,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,YES,0,16,109,125
County of Hawaii,01-04,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,NO,0,7,98,105
County of Hawaii,01-04,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,YES,0,11,95,106
County of Hawaii,01-04,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,NO,0,11,107,118
County of Hawaii,01-04,HAWAI'I: Mandatory Charter Reviews,,,YES,0,18,161,179
County of Hawaii,01-04,HAWAI'I: Mandatory Charter Reviews,,,NO,0,3,37,40
County of Hawaii,01-04,HAWAI'I: Corporation Counsel,,,YES,0,14,165,179
County of Hawaii,01-04,HAWAI'I: Corporation Counsel,,,NO,0,8,37,45
County of Hawaii,01-04,HAWAI'I: Hawai'i Fire Department,,,YES,0,13,148,161
County of Hawaii,01-04,HAWAI'I: Hawai'i Fire Department,,,NO,0,7,52,59
County of Hawaii,01-04,HAWAI'I: Membership on Boards & Commissions,,,YES,0,10,114,124
County of Hawaii,01-04,HAWAI'I: Membership on Boards & Commissions,,,NO,0,11,83,94
County of Hawaii,01-04,HAWAI'I: Capital Budget & Capital Programs,,,YES,0,20,169,189
