town,ward,precinct,office,district,party,candidate,votes
Quincy,1,1,President,,Democratic,No Preference,3
Andover,,7,President,,Green-Rainbow,Kent Mesplay,0
Berkley,,2,President,,Libertarian,Adam Kokesh,0
Boston,19,10,President,,Green-Rainbow,All Others,0
Whately,,1,President,,Republican,Donald J. Trump,37
Tyngsborough,,2,President,,Libertarian,Samuel Joseph Robb,0
Boston,16,4,President,,Green-Rainbow,No Preference,0
Waltham,2,2,President,,Democratic,Julian Castro,0
Quincy,6,5,President,,Democratic,Cory Booker,0
Braintree,,3A,President,,Libertarian,Samuel Joseph Robb,0
Framingham,,7,President,,Democratic,John K. Delaney,0
Southampton,,1,President,,Republican,No Preference,6
Hardwick,,1,President,,Libertarian,Samuel Joseph Robb,0
Fall River,8,C,President,,Democratic,Tulsi Gabbard,2
Holbrook,,2,President,,Green-Rainbow,Howard Hawkins,1
Lawrence,E,4,President,,Green-Rainbow,Skcm Curry,0
Malden,8,1,President,,Green-Rainbow,All Others,0
Freetown,,3,President,,Democratic,John K. Delaney,0
Springfield,7,E,President,,Democratic,Amy Klobuchar,0
Westport,,A,President,,Democratic,Tom Steyer,1
Wakefield,,2,President,,Democratic,Elizabeth A. Warren,148
Lynn,1,3,President,,Democratic,No Preference,5
Braintree,,4A,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Boston,14,4,President,,Republican,Blanks,0
Swampscott,,4,President,,Democratic,Pete Buttigieg,30
Haverhill,6,2,President,,Libertarian,Samuel Joseph Robb,0
Taunton,7,A,President,,Green-Rainbow,Blanks,0
Leominster,4,C,President,,Republican,Donald J. Trump,77
Salem,5,1,President,,Green-Rainbow,Kent Mesplay,0
Hudson,,2,President,,Green-Rainbow,Total Votes Cast,1
Worcester,3,5,President,,Libertarian,Total Votes Cast,2
Boston,8,2,President,,Democratic,John K. Delaney,0
Beverly,3,1,President,,Green-Rainbow,Blanks,1
Sharon,,4,President,,Green-Rainbow,Total Votes Cast,1
Rutland,,3,President,,Democratic,Bernie Sanders,142
Framingham,,4,President,,Democratic,Pete Buttigieg,28
Westford,,4,President,,Democratic,Michael R. Bloomberg,159
Lynn,6,2,President,,Republican,No Preference,0
Brockton,1,C,President,,Democratic,Michael Bennet,0
Somerset,,3,President,,Libertarian,Jacob George Hornberger,0
Ashland,,3,President,,Libertarian,Samuel Joseph Robb,0
Everett,4,2,President,,Libertarian,Jacob George Hornberger,0
Marlborough,3,1,President,,Green-Rainbow,No Preference,2
Greenfield,,2,President,,Democratic,John K. Delaney,0
Dartmouth,,6,President,,Libertarian,Kenneth Reed Armstrong,1
Sharon,,1,President,,Green-Rainbow,Skcm Curry,0
New Bedford,4,F,President,,Libertarian,Total Votes Cast,2
Boston,13,10,President,,Libertarian,Adam Kokesh,0
Wellesley,,G,President,,Democratic,Marianne Williamson,0
Middleborough,,5,President,,Libertarian,Samuel Joseph Robb,0
Milton,,3,President,,Democratic,John K. Delaney,0
Chicopee,9,B,President,,Democratic,Andrew Yang,0
Chicopee,5,A,President,,Libertarian,Vermin Love Supreme,0
Groveland,,1,President,,Libertarian,Total Votes Cast,1
Douglas,,1,President,,Green-Rainbow,Howard Hawkins,0
Greenfield,,3,President,,Democratic,No Preference,0
Millis,,2,President,,Democratic,Amy Klobuchar,16
Quincy,5,4,President,,Democratic,Tulsi Gabbard,11
Stoughton,,6,President,,Democratic,All Others,1
Agawam,,5,President,,Democratic,Deval Patrick,4
Gosnold,,1,President,,Republican,Blanks,1
Boston,21,10,President,,Democratic,"Joseph R. Biden, Jr.",85
Springfield,3,A,President,,Green-Rainbow,Skcm Curry,0
Saugus,,9,President,,Democratic,Andrew Yang,0
Framingham,,10,President,,Democratic,Marianne Williamson,0
Worcester,2,3,President,,Republican,Blanks,3
Attleboro,4,B,President,,Libertarian,Samuel Joseph Robb,0
Taunton,7,B,President,,Libertarian,Dan Taxation Is Theft Behrman,1
Amherst,,10,President,,Green-Rainbow,Howard Hawkins,0
Springfield,3,D,President,,Green-Rainbow,Howard Hawkins,0
Barnstable,,3,President,,Democratic,Blanks,3
Shrewsbury,,7,President,,Democratic,Elizabeth A. Warren,127
New Bedford,1,E,President,,Libertarian,Adam Kokesh,0
Springfield,6,E,President,,Libertarian,Kenneth Reed Armstrong,0
Cambridge,8,1,President,,Democratic,Elizabeth A. Warren,434
Cohasset,,2,President,,Libertarian,Kenneth Reed Armstrong,0
Braintree,,4A,President,,Republican,Joe Walsh,2
Dartmouth,,4,President,,Republican,Donald J. Trump,109
Pepperell,,1,President,,Democratic,Pete Buttigieg,27
Conway,,1,President,,Libertarian,Jacob George Hornberger,0
Stow,,2,President,,Libertarian,Samuel Joseph Robb,0
Walpole,,7,President,,Libertarian,Vermin Love Supreme,0
Andover,,7,President,,Democratic,John K. Delaney,0
Arlington,,3,President,,Republican,Roque De La Fuente,0
Palmer,,2,President,,Democratic,All Others,0
Belmont,,2,President,,Democratic,Julian Castro,0
Orleans,,1,President,,Libertarian,Adam Kokesh,1
Plymouth,,3,President,,Democratic,Michael Bennet,1
Belmont,,6,President,,Republican,Total Votes Cast,73
Haverhill,1,1,President,,Green-Rainbow,Skcm Curry,0
