town,ward,precinct,office,district,party,candidate,votes
Newton,7,4,President,,Green-Rainbow,David Rolde,0
Springfield,3,A,President,,Democratic,Bernie Sanders,39
Montague,,2,President,,Democratic,Amy Klobuchar,1
Pittsfield,1,A,President,,Democratic,Marianne Williamson,0
Boston,6,4,President,,Libertarian,Arvin Vohra,0
Boston,19,7,President,,Libertarian,Kenneth Reed Armstrong,0
Royalston,,1,President,,Republican,William F. Weld,4
Somerville,1,3,President,,Republican,No Preference,0
Boston,16,2,President,,Republican,William F. Weld,4
Beverly,4,2,President,,Democratic,"Joseph R. Biden, Jr.",385
Boston,18,8,President,,Libertarian,Kimberly Margaret Ruff,0
Reading,,3,President,,Green-Rainbow,No Preference,0
Watertown,,3,President,,Green-Rainbow,Howard Hawkins,0
Plymouth,,11,President,,Democratic,John K. Delaney,0
Braintree,,4A,President,,Green-Rainbow,Dario Hunter,0
Brockton,2,C,President,,Republican,All Others,0
Bourne,,1,President,,Republican,Total Votes Cast,292
Norwood,,9,President,,Democratic,Tom Steyer,3
Worcester,4,2,President,,Libertarian,All Others,0
Lowell,6,1,President,,Democratic,Elizabeth A. Warren,65
Haverhill,1,2,President,,Green-Rainbow,Skcm Curry,0
Malden,7,2,President,,Republican,Blanks,0
Leominster,5,A,President,,Democratic,Elizabeth A. Warren,52
Acton,,6,President,,Green-Rainbow,All Others,0
Brockton,6,B,President,,Libertarian,Vermin Love Supreme,0
Hopedale,,1,President,,Libertarian,No Preference,1
Northborough,,1,President,,Libertarian,Arvin Vohra,0
Boston,18,11,President,,Republican,All Others,0
Peabody,5,2,President,,Green-Rainbow,Howard Hawkins,0
Brockton,5,A,President,,Libertarian,Samuel Joseph Robb,0
Tisbury,,1,President,,Republican,All Others,3
Andover,,3,President,,Libertarian,Vermin Love Supreme,0
Arlington,,8,President,,Republican,Joe Walsh,0
Springfield,6,H,President,,Democratic,Andrew Yang,0
Everett,6,1,President,,Libertarian,Max Abramson,0
Marlborough,4,2,President,,Libertarian,Adam Kokesh,0
Winchester,,5,President,,Democratic,Deval Patrick,2
Springfield,8,B,President,,Democratic,Deval Patrick,4
Boston,18,14,President,,Green-Rainbow,Blanks,0
Longmeadow,,E,President,,Democratic,Elizabeth A. Warren,112
Hamilton,,1,President,,Libertarian,Arvin Vohra,0
Quincy,3,4,President,,Democratic,Andrew Yang,2
Springfield,7,C,President,,Democratic,John K. Delaney,1
Georgetown,,3,President,,Republican,Donald J. Trump,140
Somerville,5,2,President,,Republican,Blanks,0
Lakeville,,3,President,,Libertarian,Arvin Vohra,0
Foxborough,,2,President,,Libertarian,Total Votes Cast,3
Cummington,,1,President,,Democratic,"Joseph R. Biden, Jr.",73
Lynnfield,,4,President,,Green-Rainbow,Blanks,0
Southbridge,,2,President,,Republican,Donald J. Trump,51
Fall River,7,C,President,,Green-Rainbow,Dario Hunter,0
Great Barrington,,B,President,,Libertarian,Kimberly Margaret Ruff,0
Sunderland,,1,President,,Libertarian,Vermin Love Supreme,0
Wilbraham,,B,President,,Democratic,Blanks,2
Holyoke,2,B,President,,Green-Rainbow,Skcm Curry,0
Winchendon,,2,President,,Democratic,Amy Klobuchar,12
Boston,21,12,President,,Republican,Joe Walsh,0
Gardner,1,A,President,,Democratic,Tulsi Gabbard,3
Brockton,3,D,President,,Libertarian,Adam Kokesh,0
Quincy,1,1,President,,Libertarian,All Others,0
Somerset,,1,President,,Democratic,All Others,3
Boston,4,5,President,,Republican,Blanks,0
Rockland,,4,President,,Democratic,Total Votes Cast,461
Worcester,1,3,President,,Democratic,Julian Castro,0
Malden,5,1,President,,Democratic,Tulsi Gabbard,2
Malden,4,2,President,,Green-Rainbow,Skcm Curry,0
Waltham,7,1,President,,Green-Rainbow,All Others,0
Arlington,,14,President,,Republican,Blanks,0
Boston,11,5,President,,Libertarian,Blanks,0
Cambridge,2,1,President,,Libertarian,No Preference,1
Burlington,,7,President,,Green-Rainbow,No Preference,0
Everett,6,1,President,,Republican,Donald J. Trump,73
Bellingham,,3,President,,Democratic,All Others,4
N. Attleborough,,8,President,,Republican,Blanks,3
Northampton,1,A,President,,Democratic,Bernie Sanders,299
Fall River,3,C,President,,Libertarian,Arvin Vohra,0
Lowell,8,2,President,,Green-Rainbow,Skcm Curry,0
Hancock,,1,President,,Republican,Donald J. Trump,45
Westborough,,3,President,,Green-Rainbow,Dario Hunter,0
Westwood,,3,President,,Green-Rainbow,All Others,1
Fitchburg,6,B,President,,Green-Rainbow,Total Votes Cast,1
Amherst,,2,President,,Republican,Roque De La Fuente,0
Sudbury,,3,President,,Democratic,Elizabeth A. Warren,281
Framingham,,11,President,,Green-Rainbow,Skcm Curry,0
New Bedford,4,B,President,,Republican,All Others,0
Haverhill,6,3,President,,Democratic,Michael Bennet,1
Arlington,,13,President,,Green-Rainbow,David Rolde,0
N. Attleborough,,1,President,,Green-Rainbow,Blanks,0
Melrose,7,2,President,,Republican,Joe Walsh,0
Holliston,,1,President,,Libertarian,Kenneth Reed Armstrong,0
Springfield,6,A,President,,Libertarian,Kimberly Margaret Ruff,0
Worcester,2,3,President,,Democratic,Michael R. Bloomberg,60
Templeton,,C,President,,Republican,William F. Weld,7
Marlborough,1,2,President,,Green-Rainbow,Dario Hunter,0
Norfolk,,1,President,,Green-Rainbow,No Preference,0
N. Attleborough,,8,President,,Libertarian,Samuel Joseph Robb,0
Needham,,E,President,,Democratic,Andrew Yang,3
Peabody,6,1,President,,Libertarian,Samuel Joseph Robb,0
Windsor,,1,President,,Democratic,Blanks,0
New Bedford,4,B,President,,Democratic,Amy Klobuchar,2
Wellfleet,,1,President,,Democratic,Michael Bennet,1
Franklin,,7,President,,Green-Rainbow,Dario Hunter,0
Holyoke,4,B,President,,Green-Rainbow,Blanks,0
Milton,,9,President,,Libertarian,Adam Kokesh,0
Amherst,,1,President,,Democratic,Total Votes Cast,622
Chicopee,3,A,President,,Libertarian,Vermin Love Supreme,0
Montague,,3,President,,Green-Rainbow,Kent Mesplay,0
N. Brookfield,,1,President,,Green-Rainbow,Howard Hawkins,1
Nantucket,,1,President,,Democratic,Michael R. Bloomberg,373
Chicopee,7,B,President,,Republican,Roque De La Fuente,0
Sturbridge,,2,President,,Libertarian,Blanks,0
Woburn,3,1,President,,Green-Rainbow,Howard Hawkins,0
Melrose,2,2,President,,Libertarian,Arvin Vohra,0
Newton,4,4,President,,Democratic,Deval Patrick,3
Worcester,5,3,President,,Libertarian,Adam Kokesh,0
Dracut,,2,President,,Democratic,Tom Steyer,4
Boston,8,7,President,,Green-Rainbow,Total Votes Cast,0
Wellesley,,A,President,,Libertarian,Vermin Love Supreme,0
Royalston,,2,President,,Democratic,Pete Buttigieg,1
Greenfield,,7,President,,Libertarian,No Preference,2
Somerville,3,3,President,,Green-Rainbow,Skcm Curry,1
Westfield,4,A,President,,Libertarian,No Preference,0
Boston,20,4,President,,Democratic,John K. Delaney,0
Barnstable,,7,President,,Democratic,Marianne Williamson,1
New Bedford,1,A,President,,Democratic,"Joseph R. Biden, Jr.",155
Andover,,4,President,,Democratic,Michael R. Bloomberg,146
Ipswich,,3,President,,Democratic,John K. Delaney,0
Worcester,2,2,President,,Republican,Roque De La Fuente,0
Boston,1,3,President,,Libertarian,Max Abramson,0
Webster,,1,President,,Green-Rainbow,Dario Hunter,0
Boston,9,1,President,,Libertarian,Total Votes Cast,1
Wellesley,,E,President,,Libertarian,Total Votes Cast,0
Brockton,6,B,President,,Republican,Roque De La Fuente,1
Leominster,4,A,President,,Republican,Total Votes Cast,160
Boston,22,1,President,,Republican,Roque De La Fuente,0
Millis,,2,President,,Democratic,Julian Castro,0
Wakefield,,3,President,,Democratic,Marianne Williamson,1
Beverly,3,1,President,,Republican,Blanks,2
Boston,19,6,President,,Republican,Roque De La Fuente,0
Groton,,2,President,,Green-Rainbow,Skcm Curry,1
Methuen,,3,President,,Libertarian,Max Abramson,0
Raynham,,1,President,,Libertarian,Arvin Vohra,0
Lowell,8,2,President,,Republican,No Preference,1
Weymouth,,11,President,,Democratic,Michael R. Bloomberg,88
Marshfield,,5,President,,Libertarian,Total Votes Cast,0
Hamilton,,2,President,,Democratic,Deval Patrick,4
Marlborough,7,2,President,,Green-Rainbow,Kent Mesplay,0
Montague,,4,President,,Republican,William F. Weld,3
Medford,5,2,President,,Libertarian,Jo Jorgensen,0
Millbury,,4,President,,Libertarian,All Others,1
Canton,,6,President,,Green-Rainbow,Dario Hunter,0
Taunton,4,A,President,,Green-Rainbow,Dario Hunter,0
Salem,6,2,President,,Democratic,Total Votes Cast,836
Gosnold,,1,President,,Libertarian,Kenneth Reed Armstrong,0
Melrose,6,2,President,,Republican,Blanks,0
Duxbury,,6,President,,Democratic,Michael R. Bloomberg,73
Boston,11,5,President,,Libertarian,Adam Kokesh,0
Tyngsborough,,2,President,,Green-Rainbow,David Rolde,0
Milton,,9,President,,Libertarian,Total Votes Cast,2
Winchester,,6,President,,Democratic,Bernie Sanders,126
N. Andover,,2,President,,Democratic,Michael R. Bloomberg,83
Norfolk,,2,President,,Democratic,Julian Castro,0
Somerville,7,2,President,,Libertarian,Blanks,0
Dracut,,8,President,,Democratic,No Preference,7
TOTALS,,,President,,Republican,All Others,2152
Boston,1,8,President,,Democratic,Deval Patrick,4
Boston,6,6,President,,Democratic,Amy Klobuchar,8
Springfield,6,E,President,,Democratic,No Preference,0
Reading,,4,President,,Democratic,Michael Bennet,0
Templeton,,C,President,,Republican,Donald J. Trump,114
Peru,,1,President,,Democratic,Tom Steyer,0
Reading,,8,President,,Libertarian,Jo Jorgensen,0
Milton,,5,President,,Libertarian,Jo Jorgensen,0
Boston,10,3,President,,Green-Rainbow,Howard Hawkins,0
Somerville,2,3,President,,Libertarian,All Others,2
Lowell,11,2,President,,Republican,Blanks,1
Falmouth,,9,President,,Democratic,Bernie Sanders,184
Marlborough,4,2,President,,Democratic,Elizabeth A. Warren,118
Marlborough,7,2,President,,Democratic,Tulsi Gabbard,1
Duxbury,,1,President,,Libertarian,All Others,0
Walpole,,5,President,,Libertarian,Blanks,0
Wilmington,,5,President,,Libertarian,Jacob George Hornberger,0
Swampscott,,1,President,,Green-Rainbow,Kent Mesplay,0
Warren,,B,President,,Green-Rainbow,Skcm Curry,0
Grafton,,5,President,,Libertarian,Vermin Love Supreme,0
Medford,7,2,President,,Green-Rainbow,No Preference,0
Rochester,,1,President,,Democratic,Michael R. Bloomberg,117
Boston,3,7,President,,Libertarian,No Preference,1
Peabody,2,3,President,,Libertarian,Kenneth Reed Armstrong,0
Shrewsbury,,7,President,,Libertarian,Samuel Joseph Robb,0
Boston,1,7,President,,Libertarian,Adam Kokesh,0
Fairhaven,,1,President,,Libertarian,Jacob George Hornberger,0
Winchendon,,3,President,,Libertarian,All Others,0
Chelsea,4,1,President,,Democratic,Andrew Yang,0
Arlington,,16,President,,Republican,Total Votes Cast,81
Lexington,,3,President,,Green-Rainbow,Dario Hunter,0
Weymouth,,10,President,,Green-Rainbow,David Rolde,0
Norwood,,2,President,,Democratic,Bernie Sanders,172
Sharon,,3,President,,Republican,No Preference,1
Burlington,,5,President,,Libertarian,Samuel Joseph Robb,0
Springfield,5,H,President,,Libertarian,All Others,0
Bedford,,4,President,,Green-Rainbow,Blanks,0
Leominster,1,A,President,,Green-Rainbow,All Others,0
Peru,,1,President,,Republican,All Others,0
Amherst,,1,President,,Green-Rainbow,Dario Hunter,0
Boston,19,11,President,,Libertarian,Adam Kokesh,0
Lawrence,B,1,President,,Republican,Joe Walsh,3
Swampscott,,6,President,,Democratic,Andrew Yang,1
Northfield,,1,President,,Libertarian,Arvin Vohra,0
Concord,,4,President,,Democratic,Tulsi Gabbard,2
Longmeadow,,B,President,,Democratic,No Preference,0
Boston,21,15,President,,Libertarian,No Preference,0
Quincy,2,3,President,,Republican,William F. Weld,5
Cambridge,4,3,President,,Democratic,Michael R. Bloomberg,23
Montague,,6,President,,Democratic,No Preference,0
Boston,8,1,President,,Libertarian,No Preference,0
Barnstable,,1,President,,Libertarian,Jacob George Hornberger,0
Weymouth,,3,President,,Republican,Total Votes Cast,201
Chelmsford,,5,President,,Democratic,Pete Buttigieg,64
Boston,5,5,President,,Democratic,Andrew Yang,0
Chelsea,2,2,President,,Democratic,Total Votes Cast,292
Townsend,,2,President,,Libertarian,Max Abramson,0
Marlborough,7,2,President,,Democratic,John K. Delaney,0
Easthampton,,1,President,,Green-Rainbow,Dario Hunter,0
Greenfield,,3,President,,Democratic,Marianne Williamson,0
Weymouth,,12,President,,Democratic,Pete Buttigieg,11
Sturbridge,,2,President,,Democratic,Blanks,0
Boston,21,7,President,,Libertarian,Vermin Love Supreme,0
Bedford,,4,President,,Democratic,Amy Klobuchar,22
Grafton,,4,President,,Republican,Total Votes Cast,153
Webster,,3,President,,Democratic,"Joseph R. Biden, Jr.",115
Worcester,4,2,President,,Republican,No Preference,0
Wakefield,,5,President,,Libertarian,Max Abramson,0
Hingham,,3,President,,Democratic,Deval Patrick,0
Salem,4,1,President,,Green-Rainbow,Skcm Curry,0
Falmouth,,3,President,,Libertarian,No Preference,0
Taunton,3,A,President,,Libertarian,Kimberly Margaret Ruff,0
Lawrence,D,3,President,,Libertarian,Jo Jorgensen,0
Braintree,,2B,President,,Libertarian,Jo Jorgensen,0
Boston,1,4,President,,Libertarian,All Others,0
Boston,3,4,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Leverett,,1,President,,Green-Rainbow,Howard Hawkins,0
Fall River,2,C,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Lawrence,D,4,President,,Democratic,Andrew Yang,0
Dartmouth,,8,President,,Libertarian,Total Votes Cast,3
Florida,,1,President,,Republican,Roque De La Fuente,0
Attleboro,1,A,President,,Democratic,All Others,1
Belchertown,,D,President,,Green-Rainbow,Howard Hawkins,0
Holyoke,5,A,President,,Green-Rainbow,Blanks,1
Woburn,5,2,President,,Green-Rainbow,Howard Hawkins,0
Brockton,1,B,President,,Republican,Total Votes Cast,97
Milford,,1,President,,Democratic,Tulsi Gabbard,3
Saugus,,7,President,,Republican,Total Votes Cast,223
Reading,,6,President,,Republican,Donald J. Trump,190
Nahant,,1,President,,Libertarian,Vermin Love Supreme,0
Sandisfield,,1,President,,Green-Rainbow,David Rolde,0
Andover,,1,President,,Libertarian,Kimberly Margaret Ruff,0
Fall River,6,C,President,,Democratic,Tom Steyer,1
Winchester,,5,President,,Democratic,All Others,0
Lynn,2,4,President,,Democratic,Julian Castro,0
Saugus,,5,President,,Democratic,Michael Bennet,2
New Bedford,3,E,President,,Democratic,Amy Klobuchar,2
Swampscott,,1,President,,Democratic,John K. Delaney,0
Warren,,A,President,,Democratic,Marianne Williamson,0
Somerville,2,2,President,,Republican,All Others,0
Walpole,,5,President,,Libertarian,Adam Kokesh,0
Shrewsbury,,5,President,,Libertarian,Adam Kokesh,1
Lowell,10,1,President,,Libertarian,Arvin Vohra,0
W. Springfield,,8,President,,Libertarian,Jo Jorgensen,0
Holbrook,,3,President,,Democratic,Bernie Sanders,124
Sudbury,,3,President,,Democratic,Total Votes Cast,1270
Beverly,2,1,President,,Republican,No Preference,4
Boston,13,6,President,,Republican,Donald J. Trump,27
Peabody,1,2,President,,Democratic,Pete Buttigieg,24
Brockton,2,D,President,,Libertarian,Jacob George Hornberger,0
Worcester,4,1,President,,Libertarian,Kimberly Margaret Ruff,0
Brookline,,2,President,,Green-Rainbow,No Preference,1
Woburn,6,1,President,,Democratic,Tom Steyer,0
Arlington,,17,President,,Democratic,Deval Patrick,1
Pittsfield,3,A,President,,Democratic,Amy Klobuchar,2
Middleborough,,4,President,,Democratic,Michael Bennet,1
Plainfield,,1,President,,Democratic,Michael R. Bloomberg,18
Boston,1,4,President,,Republican,Joe Walsh,1
Sharon,,1,President,,Libertarian,Jacob George Hornberger,0
Brockton,7,A,President,,Democratic,John K. Delaney,0
Saugus,,2,President,,Libertarian,Kenneth Reed Armstrong,0
New Bedford,4,B,President,,Libertarian,Max Abramson,0
Danvers,,8,President,,Democratic,Julian Castro,0
Methuen,,8,President,,Libertarian,Kenneth Reed Armstrong,0
Wakefield,,6,President,,Libertarian,No Preference,0
Chelsea,3,2,President,,Republican,All Others,0
Boston,3,4,President,,Republican,Joe Walsh,2
Natick,,4,President,,Green-Rainbow,Skcm Curry,0
Brookline,,4,President,,Democratic,Elizabeth A. Warren,374
Easton,,6,President,,Republican,Joe Walsh,2
Lowell,6,1,President,,Green-Rainbow,Blanks,0
Revere,5,3,President,,Green-Rainbow,Dario Hunter,0
Dracut,,6,President,,Green-Rainbow,Total Votes Cast,0
Brookline,,10,President,,Green-Rainbow,Skcm Curry,0
Newton,8,2,President,,Republican,All Others,2
Holliston,,1,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Springfield,2,D,President,,Green-Rainbow,Skcm Curry,0
Chelmsford,,8,President,,Democratic,Tom Steyer,5
Huntington,,1,President,,Green-Rainbow,Skcm Curry,0
Leominster,3,A,President,,Democratic,Total Votes Cast,317
Swampscott,,4,President,,Democratic,Elizabeth A. Warren,211
Chicopee,6,BW,President,,Green-Rainbow,No Preference,0
Franklin,,1,President,,Democratic,Marianne Williamson,0
Pittsfield,5,A,President,,Democratic,Amy Klobuchar,3
Dartmouth,,8,President,,Republican,William F. Weld,14
Northampton,6,B,President,,Democratic,Blanks,1
Seekonk,,4,President,,Libertarian,Kenneth Reed Armstrong,0
Watertown,,11,President,,Republican,Roque De La Fuente,0
Grafton,,3,President,,Libertarian,Kimberly Margaret Ruff,0
Peru,,1,President,,Libertarian,Blanks,0
Duxbury,,3,President,,Democratic,Michael R. Bloomberg,108
Chicopee,6,BE,President,,Libertarian,Total Votes Cast,1
Woburn,7,2,President,,Libertarian,Adam Kokesh,0
Brookline,,11,President,,Green-Rainbow,All Others,0
N. Andover,,7,President,,Republican,No Preference,2
Boston,15,7,President,,Green-Rainbow,David Rolde,0
Georgetown,,3,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Everett,3,2,President,,Democratic,Marianne Williamson,0
Taunton,5,A,President,,Republican,Donald J. Trump,104
Brockton,5,A,President,,Democratic,Julian Castro,1
Waltham,7,1,President,,Democratic,Blanks,0
Kingston,,2,President,,Libertarian,No Preference,0
Lowell,5,1,President,,Libertarian,Blanks,0
Williamsburg,,1,President,,Democratic,John K. Delaney,1
Attleboro,2,B,President,,Green-Rainbow,Total Votes Cast,0
Boston,11,3,President,,Green-Rainbow,No Preference,0
Lincoln,,2,President,,Republican,William F. Weld,16
Boston,17,6,President,,Democratic,Michael Bennet,1
S. Hadley,,E,President,,Green-Rainbow,Kent Mesplay,0
Northborough,,1,President,,Democratic,Elizabeth A. Warren,186
Fitchburg,5,A,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Arlington,,8,President,,Republican,Total Votes Cast,54
Boxford,,2,President,,Libertarian,Blanks,0
Newton,4,1,President,,Green-Rainbow,No Preference,0
Lawrence,F,4,President,,Libertarian,Jo Jorgensen,0
Holyoke,4,A,President,,Green-Rainbow,All Others,0
Boston,17,1,President,,Republican,Total Votes Cast,3
Gloucester,3,1,President,,Republican,All Others,1
Lakeville,,1,President,,Democratic,Marianne Williamson,0
Westport,,B,President,,Libertarian,Max Abramson,0
N. Attleborough,,6,President,,Democratic,Bernie Sanders,138
Barnstable,,13,President,,Green-Rainbow,Dario Hunter,0
Shrewsbury,,10,President,,Green-Rainbow,No Preference,0
Waltham,1,2,President,,Green-Rainbow,All Others,0
Boston,20,20,President,,Democratic,"Joseph R. Biden, Jr.",273
Leominster,1,B,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Revere,2,1,President,,Republican,William F. Weld,2
Lowell,2,1,President,,Libertarian,Jo Jorgensen,0
Peabody,2,1,President,,Libertarian,Kenneth Reed Armstrong,0
Bedford,,1,President,,Green-Rainbow,Howard Hawkins,0
Brookline,,10,President,,Republican,No Preference,1
New Bedford,3,C,President,,Republican,Joe Walsh,1
Boston,20,7,President,,Democratic,Cory Booker,0
Boston,8,6,President,,Democratic,Andrew Yang,0
Natick,,10,President,,Green-Rainbow,No Preference,0
Springfield,1,D,President,,Green-Rainbow,Howard Hawkins,0
Lowell,9,2,President,,Republican,William F. Weld,8
Attleboro,3,B,President,,Democratic,Amy Klobuchar,4
Quincy,6,2,President,,Democratic,John K. Delaney,0
Lynn,6,1,President,,Democratic,Bernie Sanders,129
Needham,,A,President,,Libertarian,No Preference,0
Chicopee,8,A,President,,Democratic,Marianne Williamson,0
Lynn,2,1,President,,Libertarian,No Preference,0
New Bedford,1,F,President,,Republican,Total Votes Cast,107
Boston,7,2,President,,Democratic,Cory Booker,0
Boston,9,3,President,,Democratic,Cory Booker,0
Oxford,,2,President,,Libertarian,No Preference,1
Brockton,4,C,President,,Libertarian,Kimberly Margaret Ruff,0
Shrewsbury,,6,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Holyoke,2,B,President,,Democratic,Julian Castro,3
Carlisle,,1,President,,Green-Rainbow,David Rolde,0
Blandford,,1,President,,Green-Rainbow,Blanks,0
Saugus,,10,President,,Democratic,No Preference,5
Agawam,,2,President,,Democratic,Total Votes Cast,576
Middleborough,,6,President,,Libertarian,Vermin Love Supreme,0
Worcester,9,5,President,,Democratic,Tom Steyer,3
Holliston,,1,President,,Republican,Total Votes Cast,181
Peabody,4,1,President,,Libertarian,Samuel Joseph Robb,0
Rockland,,4,President,,Republican,Roque De La Fuente,0
Royalston,,2,President,,Democratic,Tom Steyer,3
S. Hadley,,C,President,,Libertarian,Jacob George Hornberger,0
Rockport,,3,President,,Republican,Blanks,1
Auburn,,2,President,,Republican,Donald J. Trump,171
Boston,22,1,President,,Democratic,Bernie Sanders,385
Mansfield,,5,President,,Republican,Total Votes Cast,155
Boston,13,9,President,,Green-Rainbow,Howard Hawkins,1
Tewksbury,,1,President,,Republican,All Others,2
Northampton,6,B,President,,Democratic,Deval Patrick,3
Northborough,,4,President,,Democratic,Andrew Yang,0
Weston,,2,President,,Democratic,Cory Booker,0
Wayland,,1,President,,Republican,Donald J. Trump,94
N. Andover,,7,President,,Democratic,Marianne Williamson,0
Lunenburg,,D,President,,Democratic,Marianne Williamson,0
Boston,6,6,President,,Libertarian,Total Votes Cast,1
Methuen,,5,President,,Republican,William F. Weld,8
Arlington,,10,President,,Democratic,Elizabeth A. Warren,434
Boston,9,4,President,,Green-Rainbow,Dario Hunter,0
Dracut,,6,President,,Libertarian,Total Votes Cast,4
Winchester,,3,President,,Democratic,Bernie Sanders,164
Quincy,5,4,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Northampton,7,A,President,,Green-Rainbow,Skcm Curry,0
Shrewsbury,,6,President,,Green-Rainbow,Kent Mesplay,1
Wellesley,,F,President,,Green-Rainbow,Howard Hawkins,0
Ludlow,,6,President,,Libertarian,Samuel Joseph Robb,0
Ayer,,2,President,,Democratic,All Others,1
Lowell,5,1,President,,Libertarian,Adam Kokesh,0
Foxborough,,3,President,,Republican,Joe Walsh,4
Medford,6,1,President,,Republican,William F. Weld,11
Groton,,1,President,,Libertarian,Dan Taxation Is Theft Behrman,1
Amherst,,4,President,,Republican,All Others,0
Chelmsford,,7,President,,Democratic,Total Votes Cast,1130
Whitman,,2,President,,Democratic,All Others,0
Brockton,3,D,President,,Republican,All Others,1
Weston,,4,President,,Republican,All Others,1
Fairhaven,,1,President,,Democratic,Total Votes Cast,631
Fall River,5,B1,President,,Democratic,Michael Bennet,1
Arlington,,6,President,,Democratic,Elizabeth A. Warren,326
Boston,10,8,President,,Libertarian,Vermin Love Supreme,1
Falmouth,,2,President,,Libertarian,Arvin Vohra,0
Monson,,B,President,,Republican,Roque De La Fuente,2
Agawam,,3,President,,Democratic,No Preference,1
Tyngsborough,,4,President,,Green-Rainbow,Skcm Curry,0
Agawam,,7,President,,Libertarian,No Preference,1
Boston,5,1,President,,Green-Rainbow,No Preference,0
Littleton,,1,President,,Green-Rainbow,Howard Hawkins,0
Weymouth,,10,President,,Democratic,Cory Booker,0
Dracut,,9,President,,Democratic,Michael Bennet,1
Tewksbury,,1,President,,Green-Rainbow,Skcm Curry,0
Mansfield,,3,President,,Democratic,Elizabeth A. Warren,160
New Marlborough,,1,President,,Green-Rainbow,Howard Hawkins,0
Montague,,5,President,,Democratic,John K. Delaney,0
Webster,,5,President,,Libertarian,Jo Jorgensen,0
Quincy,6,4,President,,Democratic,Elizabeth A. Warren,109
Springfield,2,C,President,,Democratic,Elizabeth A. Warren,20
Medford,2,2,President,,Republican,Joe Walsh,0
Lynnfield,,2,President,,Republican,Total Votes Cast,184
Winchester,,7,President,,Green-Rainbow,Howard Hawkins,0
Leyden,,1,President,,Libertarian,No Preference,0
Townsend,,1,President,,Green-Rainbow,Dario Hunter,0
Boston,13,2,President,,Democratic,Julian Castro,0
Burlington,,3,President,,Democratic,All Others,0
Duxbury,,5,President,,Democratic,Total Votes Cast,652
Hopedale,,1,President,,Democratic,Michael R. Bloomberg,127
Georgetown,,1,President,,Green-Rainbow,Howard Hawkins,0
Lawrence,B,3,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Gardner,2,A,President,,Democratic,Andrew Yang,0
Revere,4,2,President,,Libertarian,Vermin Love Supreme,0
Boston,13,3,President,,Democratic,Pete Buttigieg,1
Sharon,,3,President,,Green-Rainbow,Skcm Curry,0
Boston,18,22,President,,Democratic,Amy Klobuchar,8
Cambridge,6,3,President,,Democratic,Andrew Yang,2
Sandwich,,6,President,,Democratic,Elizabeth A. Warren,81
Quincy,6,4,President,,Democratic,Total Votes Cast,504
Framingham,,13,President,,Libertarian,Samuel Joseph Robb,0
Ludlow,,2,President,,Democratic,No Preference,3
Lynnfield,,4,President,,Democratic,Pete Buttigieg,23
Raynham,,2,President,,Democratic,Amy Klobuchar,16
New Bedford,2,D,President,,Republican,All Others,0
Weymouth,,8,President,,Democratic,Deval Patrick,3
Worcester,4,2,President,,Democratic,Amy Klobuchar,3
Arlington,,4,President,,Democratic,Elizabeth A. Warren,370
Boston,11,4,President,,Democratic,Marianne Williamson,1
Brookline,,16,President,,Green-Rainbow,No Preference,0
Newton,2,1,President,,Green-Rainbow,Blanks,0
Gosnold,,1,President,,Democratic,Julian Castro,0
Brockton,2,D,President,,Democratic,"Joseph R. Biden, Jr.",136
Fitchburg,6,A,President,,Democratic,No Preference,3
W. Springfield,,2,President,,Democratic,"Joseph R. Biden, Jr.",94
Brookline,,15,President,,Republican,Blanks,0
Fall River,5,C,President,,Democratic,Marianne Williamson,0
Winchester,,6,President,,Democratic,Tulsi Gabbard,4
Lincoln,,2,President,,Libertarian,Blanks,0
Boston,13,6,President,,Republican,William F. Weld,1
Salem,1,1,President,,Libertarian,No Preference,0
Wakefield,,7,President,,Republican,No Preference,4
Lowell,8,1,President,,Democratic,Total Votes Cast,391
New Bedford,5,B,President,,Green-Rainbow,Blanks,0
Needham,,E,President,,Libertarian,Blanks,0
Andover,,4,President,,Libertarian,Arvin Vohra,0
Georgetown,,3,President,,Libertarian,Kimberly Margaret Ruff,0
Salem,3,1,President,,Libertarian,Vermin Love Supreme,2
Boston,20,12,President,,Democratic,Julian Castro,0
Waltham,2,2,President,,Libertarian,Vermin Love Supreme,0
Marblehead,,2,President,,Libertarian,Vermin Love Supreme,0
Westport,,A,President,,Democratic,Cory Booker,1
Cambridge,9,2,President,,Libertarian,Total Votes Cast,1
Methuen,,10,President,,Democratic,All Others,3
Taunton,1,A,President,,Democratic,Blanks,1
Newton,3,2,President,,Democratic,Deval Patrick,3
Cambridge,3,2,President,,Republican,Roque De La Fuente,0
Boston,9,1,President,,Libertarian,Samuel Joseph Robb,0
Dunstable,,1,President,,Libertarian,Max Abramson,1
Boston,4,4,President,,Democratic,Amy Klobuchar,2
Washington,,1,President,,Republican,Total Votes Cast,37
