precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
LONGBEARDS CREEK,57,0,15,0,1,9,0,43,0,0,1,3,0,0,20,0,107,307,18,390,72,184,307,390
LONGFAITH BAPTIST ANNEX,23,0,8,2,3,17,0,24,0,0,0,4,0,1,15,0,88,93,7,288,33,152,93,288
LONGNAN,264,4,113,5,13,79,2,249,0,1,2,20,0,3,143,1,639,1360,131,2626,386,1152,1360,2626
LONGNORTH LUDOWICI,51,2,16,0,4,12,0,47,0,1,0,4,0,1,35,0,116,289,36,460,69,220,289,460
LONGRYE PATCH/OAK DALE,57,1,33,2,1,29,0,78,0,0,0,8,0,0,45,0,152,332,39,739,93,313,332,739
LONGSOUTH LUDOWICI,59,0,22,0,0,5,1,16,0,0,1,1,0,1,9,0,44,245,15,235,81,78,245,235
LONGTIBET,6,1,11,1,1,5,1,31,0,0,0,0,0,0,8,1,73,63,10,382,19,120,63,382
LOWNDESCLYATTVILLE,203,0,75,4,4,57,1,204,0,0,1,13,0,0,96,1,433,661,45,1669,282,810,661,1669
LOWNDESDASHER,98,2,62,2,1,97,1,343,0,0,2,19,0,0,116,1,559,350,54,2020,164,1139,350,2020
LOWNDESHAHIRA,147,1,86,1,11,121,0,388,0,0,1,30,0,0,197,0,544,577,66,2431,235,1292,577,2431
LOWNDESMILDRED,547,3,98,3,1,8,0,28,0,0,0,1,0,1,8,1,61,1631,17,232,651,109,1631,232
LOWNDESNAN,4016,17,1900,25,76,974,6,3215,7,3,18,392,3,15,2005,5,5333,15064,929,21635,5958,12052,15064,21635
LOWNDESNORTHSIDE,1766,7,922,8,28,314,2,918,4,2,5,169,2,5,771,1,1470,7147,343,6179,2703,3691,7147,6179
LOWNDESRAINWATER,400,2,271,2,16,138,1,521,0,0,1,84,0,5,374,1,900,1605,149,3590,675,2041,1605,3590
LUMPKINDAHLONEGA,104,4,95,1,6,59,0,172,1,0,2,68,0,2,206,0,276,2220,495,9619,204,792,2220,9619
LUMPKINNAN,560,5,537,9,26,411,5,1654,4,2,10,298,0,18,1032,2,2470,2220,495,9619,1111,5932,2220,9619
MACONIDEAL,124,3,20,1,2,21,1,62,0,0,1,6,0,0,29,0,121,397,8,490,148,243,397,490
MACONMARSHALLVILLE,199,0,25,0,2,9,1,39,0,0,0,3,0,0,26,0,85,531,7,304,224,165,531,304
MACONMONTEZUMA 4,257,0,22,1,1,10,0,23,0,0,0,11,1,2,40,0,95,632,8,315,280,183,632,315
MACONMONTEZUMA 5,230,0,14,0,4,6,0,10,0,0,0,2,0,0,19,0,39,658,4,144,244,80,658,144
MACONNAN,977,3,105,2,9,68,3,162,0,0,1,28,1,2,135,0,415,2705,42,1540,1087,824,2705,1540
MACONOGLETHORPE,167,0,24,0,0,22,1,28,0,0,0,6,0,0,21,0,75,487,15,287,191,153,487,287
MADISONCOLBERT,125,0,74,2,8,54,1,224,2,0,3,25,0,1,162,0,341,465,47,1363,201,821,465,1363
MADISONCOLLINS,18,0,12,0,1,19,1,39,0,0,0,10,0,0,20,0,88,46,16,322,30,178,46,322
MADISONCOMER,72,0,46,2,6,27,0,90,0,0,2,14,0,0,54,1,136,240,23,562,120,330,240,562
MADISONDANIELSVILLE,65,0,72,0,10,73,4,218,0,1,4,20,0,2,122,0,415,257,47,1516,137,869,257,1516
MADISONFORK,41,0,18,1,0,10,0,37,0,0,0,2,0,1,13,0,62,112,11,233,60,125,112,233
MADISONHARRISON,5,0,15,0,3,13,1,46,0,0,0,5,0,0,22,0,115,35,7,326,20,205,35,326
MADISONHULL,189,2,107,3,1,69,0,309,1,0,4,25,0,5,157,1,390,669,76,1519,301,962,669,1519
MADISONILA,34,2,34,1,4,31,0,158,0,0,2,11,0,2,68,0,222,137,25,812,71,498,137,812
MADISONMILL,39,0,25,0,4,30,0,147,3,0,0,13,0,0,77,0,222,126,21,839,64,496,126,839
MADISONNAN,656,5,505,12,42,397,8,1579,6,1,18,147,0,14,853,2,2463,2425,328,9201,1178,5530,2425,9201
MADISONPAOLI,3,0,8,0,1,3,0,38,0,0,0,0,0,0,12,0,37,19,4,145,11,91,19,145
MADISONPITTMAN,39,0,69,1,2,43,0,192,0,0,2,19,0,3,119,0,280,231,34,993,109,660,231,993
MADISONPOCA,26,1,25,2,2,25,1,81,0,0,1,3,0,0,27,0,155,88,17,571,54,295,88,571
MARIONBRANTLEY,6,0,15,2,0,9,0,28,0,0,0,0,0,2,20,0,71,33,4,268,23,130,33,268
MARIONBUENA VISTA,348,4,63,3,3,20,0,67,0,2,1,8,0,0,44,0,137,962,20,602,418,282,962,602
MARIONFT. PERRY,31,2,17,0,0,5,0,48,0,0,2,2,0,0,7,0,77,100,10,363,50,141,100,363
MARIONNAN,431,7,120,5,6,55,0,228,0,2,5,15,0,2,95,1,473,1213,49,1921,563,882,1213,1921
MARIONPINEKNOT,27,1,20,0,0,15,0,61,0,0,2,5,0,0,15,0,120,69,9,499,48,218,69,499
MARIONTAZEWELL,19,0,5,0,3,6,0,24,0,0,0,0,0,0,9,1,68,49,6,189,24,111,49,189
MCDUFFIEAUGUSTA TECH,20,0,17,0,1,15,0,144,0,0,2,11,0,0,67,0,187,101,17,871,37,427,101,871
MCDUFFIEDEARING UMC,97,0,25,1,2,40,0,193,0,1,0,18,0,1,88,0,219,253,21,905,123,562,253,905
MCDUFFIEFORT CREEK,62,0,16,1,0,18,0,97,0,0,0,5,0,0,44,2,89,220,12,466,79,255,220,466
MCDUFFIEMARSHALL CHURCH,52,0,21,1,4,26,0,153,0,0,0,11,0,2,65,0,171,141,13,703,74,432,141,703
MCDUFFIENAN,1274,2,223,6,26,202,0,1046,2,1,6,88,0,4,503,2,1288,3699,137,5432,1505,3168,3699,5432
MCDUFFIEQUEEN OF ANGELS,197,1,28,0,2,2,0,31,0,0,1,3,0,0,11,0,46,527,8,134,226,96,527,134
MCDUFFIESWEETWATER ACTIVITY CENTER,194,0,36,3,9,54,0,223,1,0,0,20,0,0,132,0,310,610,29,1306,233,749,610,1306
MCDUFFIETHOMSON DEPOT,286,0,35,0,4,3,0,28,0,0,1,6,0,0,15,0,36,885,6,160,321,93,885,160
MCDUFFIEVANDERHORST,283,1,31,0,3,22,0,89,1,0,1,9,0,1,45,0,111,722,17,477,315,282,722,477
MCDUFFIEWHITEOAK,83,0,14,0,1,22,0,88,0,0,1,5,0,0,36,0,119,240,14,410,97,272,240,410
MCINTOSHCRESCENT,292,0,36,0,0,7,0,33,0,0,0,6,0,0,33,0,112,799,10,406,328,191,799,406
MCINTOSHDARIEN,267,3,48,2,16,35,2,100,0,1,4,19,0,3,63,0,328,582,29,925,320,571,582,925
MCINTOSHNAN,866,4,149,6,26,105,5,373,0,2,9,95,1,4,299,0,1080,2303,113,3487,1025,1999,2303,3487
MCINTOSHNORTH DARIEN,140,1,28,3,2,24,3,87,0,0,0,15,0,0,79,0,268,409,38,844,172,478,409,844
MCINTOSHSAPELO ISLAND,16,0,1,0,1,2,0,3,0,0,0,1,0,0,0,0,3,39,0,10,17,10,39,10
MCINTOSHSOUTH NEWPORT,124,0,29,1,7,34,0,124,0,1,2,53,1,1,119,0,315,358,35,1009,154,657,358,1009
MCINTOSHTOWNSEND,27,0,7,0,0,3,0,26,0,0,3,1,0,0,5,0,54,116,1,293,34,92,116,293
MERIWETHERALVATON,135,1,22,0,4,21,0,102,0,0,0,11,0,0,41,0,146,322,17,535,158,325,322,535
MERIWETHERCHALYBEATE,17,0,4,0,0,21,0,26,0,0,0,5,0,1,23,0,86,43,7,262,21,162,43,262
MERIWETHERCOVE,6,0,2,0,0,7,0,15,0,0,0,7,0,0,9,0,54,16,2,141,8,92,16,141
MERIWETHERDURAND,57,0,14,1,0,12,0,43,0,0,0,3,0,0,25,0,74,152,4,284,72,157,152,284
MERIWETHERGAY,25,0,4,0,1,7,0,23,0,0,0,2,0,0,25,0,49,66,10,182,29,107,66,182
MERIWETHERGREENVILLE,239,1,23,1,0,16,0,55,0,0,0,10,0,0,57,0,147,607,20,561,264,285,607,561
MERIWETHERLONE OAK,147,0,23,0,0,16,1,51,0,0,0,4,0,0,27,0,94,368,9,344,170,193,368,344
MERIWETHERLUTHERSVILLE,239,0,50,5,2,26,0,133,0,0,0,14,0,1,62,0,212,639,30,855,294,450,639,855
MERIWETHERMANCHESTER GILL I,101,0,22,0,1,26,1,93,0,0,0,19,0,1,71,1,165,299,25,624,123,378,299,624
MERIWETHERMANCHESTER GILL II,207,0,25,0,0,6,0,12,0,0,0,0,0,0,11,0,30,478,9,116,232,59,478,116
MERIWETHERNAN,1463,5,237,8,9,223,3,711,0,0,0,103,0,5,491,2,1436,3804,165,5222,1713,2983,3804,5222
MERIWETHERODESSADALE,37,1,2,0,0,1,0,15,0,0,0,4,0,0,13,0,25,76,1,114,40,58,76,114
MERIWETHERRALEIGH,18,0,5,0,0,18,0,32,0,0,0,4,0,0,21,1,77,66,3,266,23,153,66,266
MERIWETHERWARM SPRINGS,87,0,26,1,0,31,0,74,0,0,0,6,0,1,56,0,147,252,21,520,114,315,252,520
MERIWETHERWOODBURY,148,2,15,0,1,15,1,37,0,0,0,14,0,1,50,0,130,420,7,418,165,249,420,418
MILLERCOLQUITT-MILLER,159,6,37,3,11,42,2,152,0,0,2,15,0,2,139,0,556,623,30,1891,205,921,623,1891
MILLERNAN,159,6,37,3,11,42,2,152,0,0,2,15,0,2,139,0,556,623,30,1891,205,921,623,1891
MITCHELLBACONTON,131,0,12,0,1,9,0,49,0,0,2,6,0,0,28,0,89,294,9,342,143,184,294,342
MITCHELLBRANCHVILLE,24,0,13,1,3,10,1,36,0,0,0,6,0,0,24,0,98,71,4,327,38,178,71,327
MITCHELLCAMILLA NORTH,422,3,40,2,1,18,0,20,0,0,2,9,0,1,24,0,51,944,8,212,467,126,944,212
MITCHELLCAMILLA SOUTH,358,3,71,1,9,27,0,86,0,0,3,25,0,0,90,1,310,990,28,1087,433,551,990,1087
MITCHELLCOTTON,12,0,5,0,0,16,0,24,0,0,2,10,0,0,19,0,70,21,2,245,17,141,21,245
MITCHELLHISONTON,2,0,0,0,2,9,0,12,0,0,0,2,0,0,10,0,42,11,0,105,2,77,11,105
MITCHELLHOPEFUL,18,1,4,0,1,20,0,24,0,0,1,5,0,0,15,0,36,49,2,178,23,102,49,178
MITCHELLLESTER,47,0,9,2,2,10,0,75,0,0,0,8,0,0,25,0,178,140,8,599,58,298,140,599
MITCHELLNAN,1342,8,203,11,25,162,2,441,2,0,11,88,0,2,299,1,1246,3493,93,4279,1564,2279,3493,4279
MITCHELLPEBBLE CITY,4,0,2,0,0,9,0,6,0,0,0,3,0,0,7,0,38,14,1,107,6,63,14,107
MITCHELLPELHAM,294,0,43,4,5,29,1,90,2,0,1,13,0,1,52,0,259,907,28,879,341,453,907,879
MITCHELLSALE CITY,30,1,4,1,1,5,0,19,0,0,0,1,0,0,5,0,75,52,3,198,36,106,52,198
MONROEBENTONS,102,0,43,0,2,64,0,194,0,1,1,46,0,0,163,0,361,322,59,1266,145,832,322,1266
MONROEBRANTLEYS,20,0,15,0,1,32,0,106,0,0,4,20,0,1,69,0,138,92,14,592,35,371,92,592
MONROEBURGAYS,87,0,39,0,4,70,0,233,0,0,2,54,0,0,222,0,331,292,31,1328,126,916,292,1328
MONROECABANISS,62,1,6,2,0,11,0,52,1,0,0,4,0,0,21,0,97,107,6,315,71,186,107,315
MONROECOX,36,0,18,0,0,20,1,59,0,0,0,10,0,0,54,0,90,104,12,356,54,234,104,356
MONROECULLODEN,46,0,6,0,1,11,0,33,1,0,0,10,0,0,28,0,47,93,6,178,52,131,93,178
MONROEDILLARDS,35,0,15,0,5,22,0,79,0,0,1,17,0,0,58,1,119,113,11,483,50,302,113,483
MONROEEVERS,68,1,26,0,5,41,1,151,0,0,0,24,0,0,103,0,206,240,40,876,95,531,240,876
MONROEFORSYTH,525,1,70,1,4,72,0,150,0,2,1,45,0,1,134,0,236,1486,38,1044,597,645,1486,1044
MONROEHIGH FALLS,60,0,15,0,5,63,0,123,0,0,1,6,0,1,51,0,226,153,23,790,75,476,153,790
MONROEKELSEYS,101,0,9,0,0,8,0,47,0,0,0,5,0,1,11,0,74,209,4,235,110,146,209,235
MONROEMIDDLEBROOKS,48,0,20,0,1,34,0,117,0,0,0,14,0,2,47,1,154,140,22,706,68,370,140,706
MONROENAN,1251,7,301,4,29,483,2,1457,2,3,11,266,0,6,1015,2,2265,3571,284,8832,1563,5541,3571,8832
MONROEPROCTORS,50,4,14,1,1,28,0,74,0,0,1,10,0,0,37,0,115,168,17,439,69,266,168,439
MONROERUSSELLVILLE,11,0,5,0,0,7,0,39,0,0,0,1,0,0,17,0,71,52,1,224,16,135,52,224
MONTGOMERYAILEY,46,0,17,1,0,12,0,24,0,0,0,6,0,0,12,0,60,89,1,219,64,114,89,219
MONTGOMERYALSTON,13,0,4,0,2,24,0,50,0,0,1,3,0,0,16,0,76,36,4,293,17,172,36,293
MONTGOMERYHIGGSTON,41,0,18,0,2,46,1,108,0,0,1,0,0,4,52,0,172,157,15,690,59,386,157,690
MONTGOMERYKIBBEE,4,0,8,1,1,17,0,37,0,0,0,6,0,0,38,0,85,33,5,307,13,184,33,307
MONTGOMERYMOUNT VERNON,127,0,18,1,0,22,1,60,0,0,0,8,0,0,43,0,127,368,13,500,146,261,368,500
MONTGOMERYNAN,287,2,72,6,6,148,2,342,0,0,3,35,0,7,200,0,712,847,45,2670,367,1455,847,2670
MONTGOMERYTARRYTOWN,3,0,1,0,0,12,0,26,0,0,1,3,0,0,12,0,65,16,1,207,4,119,16,207
MONTGOMERYUVALDA,53,2,6,3,1,15,0,37,0,0,0,9,0,3,27,0,127,148,6,454,64,219,148,454
MORGANBETH/SPRINGFIELD,31,0,7,0,1,15,1,81,0,0,1,4,0,0,43,0,100,112,15,430,38,246,112,430
MORGANCENTRAL MORGAN,141,1,62,2,6,58,3,236,2,0,1,72,1,2,226,0,307,461,43,1345,206,914,461,1345
MORGANCLACKS CHAPEL,27,0,6,0,1,11,0,65,0,0,0,6,0,0,45,0,128,63,11,412,33,256,63,412
MORGANEAST MORGAN,97,0,33,0,4,40,0,150,1,0,2,29,0,1,175,1,254,298,29,1022,130,657,298,1022
MORGANNAN,910,3,259,2,20,235,6,1151,4,2,7,184,1,6,873,3,1659,2663,218,6559,1174,4151,2663,6559
MORGANNORTH MORGAN,109,0,44,0,3,47,2,263,0,0,3,12,0,1,120,1,375,376,46,1276,153,827,376,1276
MORGANNORTHEAST MORGAN,409,1,72,0,1,30,0,110,0,2,0,42,0,1,115,0,185,1026,45,744,482,486,1026,744
MORGANWEST MORGAN,96,1,35,0,4,34,0,246,1,0,0,19,0,1,149,1,310,327,29,1330,132,765,327,1330
MURRAYCARTERS-DOOLITTLE,38,0,49,0,1,29,0,109,0,0,1,9,0,2,51,1,293,151,23,979,87,496,151,979
MURRAYMCDONALD,43,0,64,0,1,51,0,94,0,0,1,14,0,0,70,0,339,175,29,1123,107,570,175,1123
MURRAYNAN,444,6,407,11,31,411,4,1028,1,2,17,119,0,13,673,4,3085,1800,283,10341,868,5388,1800,10341
MURRAYNORTH,33,0,38,2,2,42,0,111,0,0,1,7,0,0,62,0,313,134,29,1084,73,538,134,1084
MURRAYSHUCK PEN,53,0,48,3,4,56,2,143,1,1,0,15,0,2,66,0,410,257,38,1333,104,700,257,1333
MURRAYSOUTHWEST,54,0,46,1,4,28,0,139,0,1,2,8,0,3,56,1,405,214,44,1368,101,647,214,1368
MURRAYSPRING PLACE,75,1,58,1,4,70,0,161,0,0,2,22,0,3,109,0,483,326,50,1700,135,854,326,1700
MURRAYTOWN,148,5,104,4,15,135,2,271,0,0,10,44,0,3,259,2,842,543,70,2754,261,1583,543,2754
MUSCOGEEBRITT DAVID BAPT CH,117,2,76,2,6,42,2,150,0,1,2,21,0,0,87,0,201,485,52,914,197,512,485,914
MUSCOGEECARVER/MACK,809,1,106,0,0,2,0,7,0,0,2,1,0,0,4,0,10,2095,26,80,916,26,2095,80
MUSCOGEECOLUMBUS TECH,186,0,88,3,4,34,0,162,1,0,1,9,0,1,57,2,203,764,65,1012,277,474,764,1012
MUSCOGEECORNERSTONE CHURCH,291,1,141,1,13,97,2,286,0,0,1,44,0,2,263,0,406,1230,111,2172,434,1114,1230,2172
MUSCOGEECUSSETA RD,748,1,88,2,0,13,0,12,0,0,1,2,1,0,4,0,26,2420,32,126,839,59,2420,126
MUSCOGEEEDDY/KEY,354,1,72,1,4,9,1,49,1,0,0,4,0,0,15,1,95,1334,27,371,428,179,1334,371
MUSCOGEEEDGEWOOD BAPTIST,388,0,106,0,4,22,1,106,0,0,2,14,0,1,56,0,115,1088,44,625,494,321,1088,625
MUSCOGEEEPWORTH-02,19,0,9,0,0,6,0,6,0,0,0,1,0,0,4,0,4,67,3,44,28,21,67,44
MUSCOGEEEPWORTH-03,150,2,119,1,10,62,2,212,0,2,3,25,0,3,124,0,265,760,89,1224,272,708,760,1224
MUSCOGEEFAITH TABERNACLE,832,1,115,2,1,9,0,18,0,1,0,6,0,0,14,0,45,2169,34,179,950,94,2169,179
MUSCOGEEFIRST AFRICAN,130,0,77,0,0,6,0,32,0,0,0,20,0,0,33,0,33,579,33,208,207,124,579,208
MUSCOGEEFORT/WADDELL,993,3,171,5,2,23,0,63,0,0,1,18,0,0,42,0,103,2721,61,535,1172,252,2721,535
MUSCOGEEGALLOPS/HANNAN,241,2,85,1,3,15,0,45,0,0,0,14,0,0,29,1,79,848,44,328,329,186,848,328
MUSCOGEEGENTIAN/REESE @LDS,375,2,188,1,7,90,1,286,1,2,3,53,0,2,206,0,344,1395,108,1609,566,995,1395,1609
MUSCOGEEMOON/MORNINGSIDE,281,3,155,2,6,77,3,345,3,0,2,61,0,1,232,0,391,973,115,2079,441,1121,973,2079
MUSCOGEEMT. PILGRIM,1154,4,161,0,2,16,0,13,1,0,0,4,0,1,12,0,17,2941,55,142,1319,66,2941,142
MUSCOGEENAN,12862,32,3342,28,140,1181,26,4185,19,12,31,1112,3,26,3440,8,5334,39851,1831,26976,16264,15517,39851,26976
MUSCOGEENATIONAL INFANTRY,486,1,60,0,2,6,0,25,0,1,0,1,0,2,15,0,23,1866,40,316,547,75,1866,316
MUSCOGEEPSALMOND/MATHEWS,587,0,194,0,7,99,1,435,1,1,2,112,0,3,311,0,490,1834,124,2505,781,1462,1834,2505
MUSCOGEEROTHSCHILD,1038,1,182,0,5,12,1,64,0,1,1,13,0,0,28,0,90,3213,72,483,1221,215,3213,483
MUSCOGEESALVATION ARMY,207,2,84,0,2,47,1,159,1,0,2,33,1,1,105,1,180,820,59,924,293,533,820,924
MUSCOGEEST JOHN/BELVEDERE,1230,1,150,2,2,10,0,15,1,0,0,7,0,1,9,0,20,2852,34,179,1383,65,2852,179
MUSCOGEEST PAUL U.M.C.-02,203,0,162,0,12,56,3,218,1,0,1,117,0,1,282,1,312,824,96,1569,365,1004,824,1569
MUSCOGEEST PAUL U.M.C.-03,111,1,74,0,2,27,1,59,1,0,0,49,0,1,82,0,101,412,37,498,186,323,412,498
MUSCOGEEST PETER U. M. C.,195,0,100,2,8,80,1,240,0,0,4,56,0,0,189,1,288,629,60,1330,297,867,629,1330
MUSCOGEEST. ANDREWS/MIDLAND,557,0,201,1,13,92,1,380,1,1,2,140,0,3,343,1,488,1838,173,2566,759,1465,1838,2566
MUSCOGEEST. MARK/HEIFERHORN,312,1,175,1,8,138,2,507,2,2,0,129,0,2,462,0,578,1129,106,2934,489,1830,1129,2934
MUSCOGEEWYNNBROOK,138,1,60,0,10,67,2,186,2,0,1,115,1,0,332,0,311,516,58,1402,199,1027,516,1402
MUSCOGEEWYNNTON,730,1,143,1,7,24,1,105,2,0,0,43,0,1,100,0,116,2049,73,622,875,399,2049,622
NEWTONALCOVY-10,8,1,15,0,1,4,0,28,0,0,0,4,0,0,24,0,65,46,7,211,24,126,46,211
NEWTONALCOVY-4,259,1,93,1,3,44,0,168,2,0,1,42,0,2,214,1,345,989,72,1228,354,822,989,1228
NEWTONALMON,627,0,151,0,3,23,1,116,2,0,0,14,0,1,81,0,171,1963,49,706,778,412,1963,706
NEWTONBEAVERDAM,713,0,192,0,2,25,0,100,1,3,0,11,0,1,55,0,177,2068,39,617,905,375,2068,617
NEWTONBREWERS,162,2,71,1,4,45,0,207,0,0,2,11,0,1,136,1,465,500,47,1512,236,872,500,1512
NEWTONBRICK STORE,125,1,48,0,8,55,1,231,1,0,1,30,0,1,212,1,343,394,44,1283,174,884,394,1283
NEWTONBUCK CREEK,476,2,116,4,4,42,0,227,1,2,1,11,0,4,139,0,333,1365,72,1357,598,764,1365,1357
NEWTONCEDAR SHOALS,234,1,76,1,2,26,0,91,0,0,2,8,0,1,75,0,192,743,51,629,312,397,743,629
NEWTONCITY POND,214,0,34,1,3,10,1,37,1,0,0,10,0,0,33,1,78,552,17,310,249,174,552,310
NEWTONCOVINGTON MILLS,260,0,76,0,3,28,0,88,0,0,0,23,0,3,115,0,225,803,43,762,336,485,803,762
NEWTONCROWELL,683,2,148,2,3,16,1,54,1,0,0,9,0,1,34,0,112,2109,28,367,835,231,2109,367
NEWTONDOWNS,547,2,150,4,4,63,2,328,1,0,2,19,0,1,156,1,480,1619,83,1884,703,1057,1619,1884
NEWTONFAIRVIEW,328,2,79,1,0,13,0,35,0,0,0,8,0,0,18,0,68,1155,19,217,410,142,1155,217
NEWTONGUM CREEK,260,0,91,0,5,70,4,380,0,0,2,45,0,3,263,0,580,654,65,2072,351,1352,654,2072
NEWTONHUB,72,0,52,0,0,61,0,280,1,0,2,26,0,4,207,0,325,267,40,1331,124,906,267,1331
NEWTONLEGUINN,88,0,35,0,2,31,0,195,1,0,1,12,0,0,103,2,264,268,27,1064,123,611,268,1064
NEWTONLIVINGSTON,535,2,131,1,3,27,1,116,1,0,0,9,0,2,61,0,168,1649,42,722,669,388,1649,722
NEWTONMANSFIELD,33,0,22,0,2,32,2,191,0,0,0,9,0,0,97,1,239,114,19,877,55,573,114,877
NEWTONNAN,7273,24,2002,22,62,736,17,3492,14,6,20,356,0,29,2427,11,5626,21943,947,20913,9321,12796,21943,20913
NEWTONNEWBORN,31,0,26,0,1,10,0,80,0,0,1,6,0,0,46,0,116,105,16,425,57,260,105,425
NEWTONOXFORD,164,1,63,0,2,33,1,156,0,1,3,17,0,1,125,1,290,417,49,1009,228,630,417,1009
NEWTONROCKY PLAINS-10,239,3,81,1,1,30,1,166,0,0,1,8,0,0,90,1,257,676,32,976,324,555,676,976
NEWTONROCKY PLAINS-4,39,0,8,0,0,4,0,34,0,0,0,3,0,1,7,0,32,138,6,140,47,81,138,140
NEWTONSTANSELLS,540,0,140,3,4,25,1,102,1,0,1,17,0,2,82,0,188,1662,41,726,683,423,1662,726
NEWTONTOWN,636,4,104,2,2,19,1,82,0,0,0,4,0,0,54,1,113,1687,39,488,746,276,1687,488
OCONEEANNEX,113,1,96,2,2,32,2,172,1,0,2,52,0,3,232,0,224,499,72,950,212,722,499,950
OCONEEANTIOCH,48,1,49,0,4,35,0,122,0,0,1,27,0,1,80,0,164,204,33,685,98,434,204,685
OCONEEATHENS ACADEMY,162,0,110,0,4,39,0,162,1,0,0,103,0,3,277,0,236,639,91,1105,272,825,639,1105
OCONEEBISHOP,75,0,64,1,3,44,0,145,3,0,2,44,0,0,164,0,166,319,64,931,140,571,319,931
OCONEEBOGART,71,0,97,1,6,58,1,203,1,0,0,42,0,0,188,0,223,412,94,1122,169,722,412,1122
OCONEECITY HALL,103,0,96,0,4,47,0,126,0,0,0,36,0,2,166,0,127,445,78,693,199,508,445,693
OCONEECIVIC CENTER,217,2,177,1,7,63,1,360,2,1,0,106,0,4,429,0,416,925,126,1883,397,1389,925,1883
OCONEECOLHAM FERRY,67,0,89,0,4,32,1,176,0,0,0,42,0,1,138,0,180,333,41,837,156,574,333,837
OCONEEDARK CORNER,68,1,74,0,4,70,0,270,0,0,0,39,1,1,242,0,332,369,72,1511,143,959,369,1511
OCONEEFARMINGTON,40,0,27,0,1,16,0,75,0,0,0,9,0,0,34,0,83,125,16,327,67,218,125,327
OCONEEHIGH SHOALS,73,0,66,0,1,42,1,183,0,0,0,36,0,1,187,0,228,320,56,965,139,679,320,965
OCONEEMALCOM BRIDGE,162,0,125,0,8,80,1,263,0,0,3,103,0,5,369,0,380,821,140,1822,287,1212,821,1822
OCONEENAN,1225,5,1102,5,50,581,7,2356,8,1,8,667,1,22,2583,0,2877,5581,925,13425,2337,9161,5581,13425
OCONEENORTH OCONEE,26,0,32,0,2,23,0,99,0,0,0,28,0,1,77,0,118,170,42,594,58,348,170,594
OGLETHORPEBEAVERDAM,103,2,132,1,3,53,3,250,1,0,1,38,0,2,161,0,390,483,63,1471,238,902,483,1471
OGLETHORPELEXINGTON,297,1,113,2,18,91,2,300,1,0,5,36,1,6,183,1,540,809,76,1940,413,1184,809,1940
OGLETHORPENAN,562,3,358,5,30,197,5,764,2,1,7,115,1,10,439,1,1231,1831,199,4625,928,2803,1831,4625
PAULDINGAUSTIN MIDDLE SCHOOL,361,1,180,1,5,131,2,619,0,0,2,43,0,3,344,1,783,1508,166,3768,543,1933,1508,3768
PAULDINGCARL SCOGGINS MID SC,99,2,64,0,4,75,1,428,0,0,3,21,0,7,193,1,581,392,66,2344,165,1314,392,2344
PAULDINGHIRAM HIGH SCHOOL,420,0,151,0,6,65,3,312,0,2,2,30,1,7,226,1,566,1704,97,2275,571,1221,1704,2275
PAULDINGMOSES MIDDLE SCHOOL,174,2,144,0,9,100,0,435,2,0,1,50,0,3,349,0,581,971,120,2893,320,1530,971,2893
PAULDINGMT TABOR PARK,292,3,183,4,12,144,4,588,2,0,6,84,0,6,542,0,1023,1351,201,4231,482,2411,1351,4231
PAULDINGNAN,4123,19,2123,22,115,1385,22,6789,9,5,55,658,4,61,5044,8,10022,18025,1954,44662,6287,24177,18025,44662
PAULDINGNEBO ELEMENTARY SCH,234,2,163,3,12,130,1,627,0,0,1,51,1,3,320,1,856,1054,143,3606,402,2003,1054,3606
PAULDINGNORTHSIDE ELEM SCH,58,0,39,0,5,34,1,161,0,0,1,17,0,0,126,1,375,268,36,1242,97,721,268,1242
PAULDINGP B RITCH MIDD SCH,446,2,197,1,6,80,2,369,0,1,9,35,0,3,330,1,589,1945,128,2531,646,1425,1945,2531
PAULDINGPAULDING CO HIGH SC,227,1,127,2,6,70,1,379,1,0,5,34,0,6,203,1,511,999,119,2235,357,1217,999,2235
PAULDINGRUSSOM ELEM SCH,365,0,193,2,5,126,3,636,1,0,2,78,0,5,654,0,850,1781,225,4527,560,2360,1781,4527
PAULDINGSAMMY MCCLURE MID SC,263,0,149,2,12,145,2,712,1,0,7,102,0,3,823,0,1192,1303,224,5443,414,2999,1303,5443
PAULDINGSARA RAGSDALE ELM SC,169,0,104,2,2,90,1,473,1,0,8,26,0,4,236,0,713,725,109,3038,275,1554,725,3038
PAULDINGTAYLOR FARM PARK,629,3,248,5,19,103,0,641,0,0,5,46,2,3,388,1,744,2350,168,3532,885,1952,2350,3532
PAULDINGWATSON GOVT COMPLEX,386,3,181,0,12,92,1,409,1,2,3,41,0,8,310,0,658,1674,152,2997,570,1537,1674,2997
