precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
FAYETTEOAK GROVE,65,0,45,0,2,19,1,111,2,0,0,50,0,0,149,0,150,266,55,661,110,484,266,661
FAYETTEOAK RIDGE,285,1,114,0,3,38,0,120,0,0,0,16,0,2,126,0,165,777,40,636,400,470,777,636
FAYETTERAREOVER,149,0,71,0,8,66,2,255,0,0,5,65,0,2,286,2,307,550,76,1387,220,998,550,1387
FAYETTERISING STAR,123,0,96,0,5,55,1,255,0,0,3,75,0,3,363,0,332,643,123,1711,219,1092,643,1711
FAYETTESANDY CREEK-03,426,0,112,0,2,30,0,125,2,0,1,45,0,1,199,0,153,1208,53,765,538,558,1208,765
FAYETTESANDY CREEK-13,149,0,45,1,1,30,0,79,0,0,0,17,0,1,108,1,97,415,20,472,195,334,415,472
FAYETTESHAKERAG EAST,70,0,76,0,4,36,2,126,0,0,1,34,0,0,119,0,166,316,53,687,146,488,316,687
FAYETTESHAKERAG WEST,64,0,45,0,3,28,0,83,0,0,1,52,0,1,161,0,151,271,43,622,109,480,271,622
FAYETTESPRING HILL,342,0,130,0,4,29,0,197,2,0,1,43,0,0,221,0,215,1029,63,1005,472,712,1029,1005
FAYETTESTARRSMILL,125,0,76,0,6,95,0,321,1,0,2,89,0,2,395,1,416,525,76,1902,201,1328,525,1902
FAYETTEWHITEWATER,135,1,76,0,7,74,1,257,1,0,0,81,0,2,369,0,363,616,88,1786,212,1155,616,1786
FAYETTEWILLOW POND,165,0,113,1,1,40,0,210,2,0,1,42,0,0,224,0,235,785,72,1051,279,755,785,1051
