precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
POLK3A COPPER BASIN,51,7,59,2,9,0,53,0,0,0,2,11,0,0,19,0,131,77,0,0,1,0,10,0,0,0,0,1,0,471,0,117,227,77,471
POLK3B TURTLETOWN,78,6,41,0,11,0,55,0,0,0,1,9,0,0,20,0,120,108,0,0,1,0,10,0,0,0,0,1,1,473,0,125,216,108,473
PUTNAM10A PAVILION,50,2,91,3,55,1,169,0,0,0,1,14,0,1,87,0,162,250,5,0,1,0,27,1,0,6,0,5,10,865,0,143,493,250,865
PUTNAM10B SYCAMORE,85,0,84,3,31,0,73,0,0,0,3,17,0,2,62,0,97,306,0,0,1,0,42,0,0,5,0,6,14,523,0,169,288,306,523
PUTNAM11A BANGHAM,79,1,60,0,63,0,169,0,1,0,3,26,1,1,109,1,257,282,5,0,0,0,34,1,0,6,0,4,4,1101,0,140,631,282,1101
PUTNAM11B COOKEVILLE HIGH,81,3,69,4,33,0,107,0,0,0,1,22,1,1,79,1,199,325,0,0,0,0,38,2,0,1,0,3,11,829,0,153,448,325,829
PUTNAM12A ALGOOD INSIDE,108,3,78,4,67,0,138,0,0,1,1,25,0,2,78,0,197,373,0,0,1,0,38,0,0,4,0,8,14,1020,0,189,513,373,1020
PUTNAM12B ALGOOD OUTSIDE,50,0,33,1,53,0,130,0,0,0,1,19,0,0,101,0,166,173,5,0,1,2,17,1,0,1,0,3,2,759,0,83,471,173,759
PUTNAM12C BROTHERTON,13,2,14,0,19,0,55,0,0,1,1,3,0,0,35,0,46,55,0,0,1,0,9,0,0,0,0,0,1,249,0,29,160,55,249
PUTNAM1A CAPSHAW,232,3,213,12,81,3,212,0,0,0,3,51,0,1,215,0,349,794,0,0,3,0,78,1,0,10,0,2,26,1511,0,448,927,794,1511
PUTNAM2A NORTHEAST,221,3,192,4,86,2,187,1,0,1,2,68,0,1,213,0,275,814,0,0,2,1,77,1,0,4,0,6,22,1415,0,416,840,814,1415
PUTNAM3A UNIVERSITY,47,1,121,0,12,0,39,0,0,0,0,4,0,0,32,0,80,294,0,0,2,0,38,1,0,3,0,4,25,365,0,169,167,294,365
PUTNAM4A BURKS,67,0,54,1,39,1,111,0,0,0,2,7,0,1,62,0,213,217,0,0,3,0,21,0,0,2,0,5,3,904,0,121,437,217,904
