precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Marengo-NICHOLSVILLE BAP CH,77,0,0,115,50,2,0,14,0,2,0,4,0,0,0,0,1,1,0,20,192,28,66
Marengo-PROVIDENCE TOWN HALL,304,0,6,455,233,3,7,68,1,6,0,20,0,0,0,4,0,15,0,53,765,99,311
Marengo-PROVISIONAL,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Marengo-PUTNAM VOTING BOOTH,93,0,1,37,78,0,2,7,0,1,0,3,0,0,2,0,0,4,0,3,131,13,87
Marengo-RANGELINE VOTING BOOTH,24,0,3,165,21,2,4,31,1,11,0,17,0,0,0,1,0,1,0,20,192,51,58
Marengo-SURGINER COMM CTR,144,0,3,243,89,1,4,33,3,6,0,24,0,1,0,2,0,10,0,42,390,88,127
Marengo-SWEET WATER TOWN ,202,0,2,282,157,1,7,42,1,12,0,23,0,0,0,0,0,5,0,52,486,93,207
Marengo-TAYLORVILLE,87,1,1,13,65,0,0,5,0,0,0,1,0,0,0,0,0,0,0,4,102,5,70
Marengo-THOMASTON LUNCH ROOM,258,0,3,244,188,4,9,68,0,2,0,10,0,0,0,1,0,5,0,28,505,46,269
Marion-ABSENTEE,57,0,5,368,9,0,0,2,6,4,0,23,0,0,1,6,0,12,0,40,430,92,11
Marion-BACCUS UNION HALL,11,0,4,219,2,0,0,3,1,11,0,42,0,0,0,0,0,14,1,80,234,149,5
Marion-BARNSVILLE TRAILER HWY 11,41,1,1,253,18,0,0,9,1,18,0,25,0,0,0,8,2,19,0,70,296,143,27
Marion-BEAR CREEK CITY HALL,106,0,30,935,49,0,1,23,0,42,1,86,0,1,2,9,2,69,3,282,1071,497,73
Marion-BEXAR BEHIND OLD POST ,56,0,6,203,36,0,0,8,3,10,1,15,0,0,1,2,0,13,0,68,265,113,44
Marion-BRILLIANT COMM CTR,60,0,9,550,29,1,0,7,0,16,1,50,0,0,0,4,0,34,0,160,619,265,37
Marion-CLARK BLDG 129,32,1,6,286,12,0,0,9,1,24,0,23,0,0,2,4,1,18,0,109,325,182,21
Marion-ET SIMS JR BLDG,381,10,41,2838,119,1,1,74,8,130,0,368,1,2,13,56,3,279,2,894,3270,1756,195
Marion-GUIN CITY HALL,176,0,17,1137,76,1,1,30,5,74,2,181,0,2,6,16,1,114,0,324,1330,725,108
Marion-HACKLEBURG CITY HALL,62,0,11,637,18,0,1,11,3,28,1,55,0,0,4,5,0,28,0,199,710,323,30
Marion-HOWELL SULLINS CH,17,1,0,187,3,0,0,6,0,11,0,30,0,0,0,2,0,17,1,68,205,129,9
Marion-KEMP PLEASANT SITE CH,5,0,0,50,2,0,0,0,1,4,0,7,0,0,0,1,0,2,0,18,55,33,2
Marion-KIMBROUGH CRAFT COMM BLDG,19,0,1,172,25,1,0,9,0,27,1,17,1,0,1,5,0,15,0,131,192,198,35
Marion-PEARCES MILL PEA RIDGE FD,15,1,3,176,3,0,0,5,0,9,0,25,0,0,1,2,1,15,0,65,195,118,8
Marion-PIKEVILLE TRAILER,6,0,0,98,6,0,0,1,0,11,0,3,0,0,1,0,0,2,1,47,104,65,7
Marion-PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion-RYE BYRD VOL FIRE DEPT,18,0,4,190,14,0,1,3,1,16,0,23,0,0,0,4,1,13,0,59,212,117,18
Marion-SHILOH COMM BLDG,35,1,3,313,9,0,0,4,0,22,0,43,0,0,0,1,0,15,0,101,352,182,13
Marion-SHOTTSVILLE FIRE DEPT,22,0,11,364,12,0,0,8,5,16,0,43,1,1,2,2,0,21,0,132,397,223,20
Marion-WIGINTON COMM BLDG HWY 53,22,0,1,109,8,0,0,1,0,6,0,21,0,0,0,0,0,12,0,26,132,65,9
Marion-WINFIELD COMM CTR,245,9,21,1818,110,2,0,38,2,97,0,172,3,0,5,37,2,194,3,581,2093,1096,150
Marshall-1ST BAP CH,426,8,58,2086,124,0,0,75,5,120,1,203,1,0,1,35,1,270,0,576,2578,1213,199
Marshall-ABSENTEE,210,4,18,901,19,0,1,6,6,7,1,31,0,0,0,4,0,38,0,63,1133,150,26
Marshall-ALBERTVILLE REC CTR,585,15,67,3733,160,0,0,96,9,232,1,332,1,0,7,62,3,474,2,1054,4400,2177,256
Marshall-ALDER SPRINGS COMM CTR,75,7,19,643,23,0,0,14,0,29,0,55,1,0,0,6,0,80,1,227,744,399,37
Marshall-ARAB COMM CTR,334,18,58,2297,92,0,0,71,3,180,0,250,0,1,5,42,5,361,1,733,2707,1581,163
Marshall-ARAB REC CTR,207,9,38,1587,59,1,2,52,3,129,1,164,0,0,1,34,4,207,2,501,1841,1046,114
Marshall-ASBURY FIRE,75,4,11,637,28,0,0,17,0,32,1,36,1,0,0,1,0,51,0,212,727,334,45
Marshall-BOAZ REC CTR,443,14,58,2773,126,1,4,66,1,181,2,237,3,0,8,43,5,327,2,761,3288,1570,197
Marshall-BOSHART PROSPECT CEMETARY,91,1,6,379,40,0,0,8,0,19,0,38,0,0,0,13,0,67,0,161,477,298,48
Marshall-BUCKSNORT COMM CTR,48,4,14,371,21,0,0,9,0,20,1,49,0,0,2,9,1,41,0,159,437,282,30
Marshall-CRANFORD RUTH VFD,79,2,9,694,21,0,0,11,0,48,0,61,0,0,1,9,0,87,1,220,784,427,32
Marshall-DIST 1 COUNTY SHOP,152,8,15,968,43,0,0,39,5,51,0,91,0,0,3,18,1,105,0,310,1143,584,82
Marshall-DIST 4 COUNTY SHOP,81,2,8,559,43,0,0,11,0,34,0,45,0,1,0,5,1,48,0,195,650,329,54
Marshall-DOUGLAS CITY HALL,65,3,6,517,24,0,0,18,3,36,0,55,0,0,3,5,0,60,0,174,591,336,42
Marshall-GEORGIA MOUNTAIN REC,83,4,8,466,23,0,0,16,0,26,1,48,0,0,0,10,0,52,0,171,561,308,39
Marshall-GRANT CITY HALL,53,1,14,363,17,0,0,14,1,27,1,49,0,0,1,3,1,62,0,137,431,282,31
Marshall-GUNTERSVILLE REC CTR,735,14,82,2690,267,2,0,96,2,178,1,278,5,0,7,116,4,540,4,862,3521,1997,365
Marshall-HEBRON COMM CTR,51,1,6,233,14,0,0,9,2,8,0,19,0,0,0,9,0,28,0,109,291,175,23
Marshall-HENRYVILLE METH,75,1,10,479,32,0,0,17,0,30,0,38,0,1,1,14,0,62,0,180,565,326,49
Marshall-HONEYCOMB BAP,76,3,6,247,14,0,0,22,1,18,0,25,0,0,0,17,0,47,1,89,332,198,36
Marshall-LATTIWOOD COMM CTR,67,4,10,522,16,0,0,10,4,37,0,39,0,0,0,9,0,47,1,173,603,310,26
Marshall-LIBERTY HILL,116,6,15,773,27,0,0,17,1,55,1,81,0,0,1,6,0,72,1,286,910,504,44
Marshall-MIDWAY COMM CTR,142,5,25,909,44,0,0,23,1,61,0,104,0,0,3,20,1,140,1,275,1081,606,67
Marshall-MT HEBRON FIRE DEPT,49,2,14,363,14,0,0,11,1,20,0,35,0,0,0,5,0,54,0,124,428,239,25
Marshall-NORTH MARSHALL UTILITIES,93,3,13,740,32,0,0,22,1,42,1,74,0,0,2,20,0,87,0,292,849,519,54
Marshall-PROVISIONAL,4,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
Marshall-SWEARENGIN COMM CTR,109,8,21,491,39,0,0,18,1,15,0,52,0,0,0,11,0,48,0,188,629,315,57
Marshall-UNION GROVE COMM CTR,105,2,22,801,41,0,0,16,0,45,1,90,0,0,3,14,2,69,1,267,930,492,57
Marshall-WAKEFIELD VFD,38,1,8,263,13,0,1,2,0,10,1,31,0,0,1,4,1,35,0,87,310,170,16
Marshall-WARRENTON COMM CTR,108,1,17,682,47,0,0,21,3,43,1,55,0,0,0,37,0,109,0,230,808,478,68
Mobile-1ST BAP CH IRVINGTON #1,223,4,23,945,47,0,0,13,2,30,1,88,1,0,2,10,1,64,0,210,1195,409,60
Mobile-1ST BAP CH IRVINGTON #2,182,1,15,676,70,0,0,37,6,30,0,136,0,0,2,12,1,61,2,296,874,546,107
Mobile-1ST BAP CH ST ELMO #1,193,5,13,758,77,0,0,20,3,43,0,99,0,0,0,7,1,58,0,238,969,449,97
Mobile-1ST BAP CH ST ELMO #2,118,3,12,454,40,0,0,14,4,19,0,50,0,0,2,5,0,29,0,102,587,211,54
Mobile-1ST BAP WILMER GYM #1,92,4,6,540,26,0,1,11,1,37,1,87,0,0,2,0,0,34,2,134,642,298,38
Mobile-1ST BAP WILMER GYM #2,95,2,5,640,31,0,0,9,1,30,1,107,0,0,0,13,0,45,1,174,742,372,40
Mobile-APOSTOLIC CH GOD #1,533,8,24,294,347,1,0,52,4,30,1,84,0,0,3,22,0,74,0,182,859,400,400
Mobile-APOSTOLIC CH GOD #2,785,8,20,396,116,1,0,23,0,10,0,24,0,0,2,4,1,26,0,72,1209,139,140
Mobile-AZALEA CITY CH CHRIST #1,367,2,8,528,158,1,0,24,3,36,0,110,0,0,0,9,2,51,0,198,905,409,183
Mobile-AZALEA CITY CH CHRIST #2,311,2,7,443,118,0,0,14,1,17,0,54,0,0,1,4,0,31,0,135,763,243,132
Mobile-BAYOU LA BATRE COMM CTR #1,228,6,19,817,66,0,0,13,4,26,1,82,0,0,0,4,1,54,0,207,1070,379,79
Mobile-BAYOU LA BATRE COMM CTR #2,271,3,14,918,94,1,0,20,2,26,0,116,2,0,3,8,0,89,1,358,1206,605,115
Mobile-BISHOP STN COMM COLLEGE #1,585,5,8,60,253,1,0,32,0,3,0,3,0,0,0,2,0,10,0,15,658,33,286
Mobile-BISHOP STN COMM COLLEGE #2,456,1,7,47,210,0,0,27,0,2,0,9,0,0,0,5,1,9,0,19,511,45,237
Mobile-BOYS & GIRLS CLUB #1,386,0,0,14,284,0,1,19,0,0,0,6,0,0,0,0,0,0,0,3,400,9,304
Mobile-BOYS & GIRLS CLUB #2,524,3,0,12,240,1,0,24,0,0,0,0,0,0,0,0,0,0,0,7,539,7,265
Mobile-CALLAHAN BOYS & GIRLS #1,216,7,12,869,50,0,0,22,3,23,0,122,2,0,1,8,0,68,1,259,1104,487,72
Mobile-CALLAHAN BOYS & GIRLS #2,118,3,22,459,39,0,0,17,2,19,0,86,0,0,0,15,0,31,1,203,602,357,56
Mobile-CARVER CAMPUS BISHOP STN #1,508,2,6,12,342,1,1,30,0,3,0,5,0,0,0,4,0,4,0,2,528,18,374
Mobile-CARVER CAMPUS BISHOP STN #2,604,1,5,24,352,0,0,33,0,2,0,3,0,0,0,1,0,4,0,4,634,14,385
Mobile-CH BAP CH #1,140,1,6,436,55,0,0,15,0,27,0,57,0,2,0,4,1,29,0,162,583,282,70
Mobile-CH BAP CH #2,61,2,4,202,28,0,0,4,0,13,0,26,0,0,0,2,0,14,0,57,269,112,32
Mobile-CHRIST ANGLICAN CH #1,936,8,12,272,457,1,0,52,1,9,0,44,0,0,3,23,0,39,0,112,1228,231,510
Mobile-CHRIST ANGLICAN CH #2,427,1,3,143,124,0,0,14,0,6,0,16,0,0,1,3,0,20,0,31,574,77,138
Mobile-CITRONELLE REC CTR #1,251,1,8,669,147,0,1,19,1,52,2,118,0,0,1,9,2,68,0,232,929,485,167
Mobile-CITRONELLE REC CTR #2,236,1,8,720,68,0,1,14,1,39,1,86,0,0,1,5,1,45,0,155,965,334,83
Mobile-CITY CH MOBILE #1,515,6,31,417,182,1,0,62,3,32,0,51,0,0,1,14,0,48,0,95,969,244,245
Mobile-CITY CH MOBILE #2,458,7,34,352,115,0,2,43,2,21,0,65,0,0,0,16,2,63,0,154,851,323,160
Mobile-COLLINS RHODES ELEM #1,959,0,6,193,492,1,1,37,1,13,0,28,0,0,0,4,0,14,0,60,1158,120,531
Mobile-COLLINS RHODES ELEM #2,941,4,11,209,469,0,0,57,1,10,0,22,0,0,0,4,0,12,0,65,1165,114,526
Mobile-CREEKWOOD CH CHRIST #1,443,10,41,1295,139,0,0,52,2,68,0,181,2,0,0,40,1,197,0,351,1789,842,191
Mobile-CREEKWOOD CH CHRIST #2,330,2,34,1018,123,0,0,48,1,79,0,202,1,0,0,26,4,186,0,302,1384,801,171
Mobile-CREEKWOOD CH CHRIST #3,246,7,16,716,79,0,1,28,1,52,0,105,0,0,3,20,1,96,1,198,985,477,108
Mobile-CREOLA SR CITIZENS #1,175,2,15,618,95,0,0,15,0,37,0,76,0,0,2,7,1,58,1,257,810,439,110
Mobile-CREOLA SR CITIZENS #2,167,1,15,588,63,1,0,7,1,17,0,55,0,0,0,7,1,19,0,171,771,271,71
Mobile-CYPRESS SHORES BAP #1,73,3,10,507,33,0,0,12,4,40,0,128,0,0,1,18,2,110,0,352,593,655,45
Mobile-CYPRESS SHORES BAP #2,59,3,7,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0
Mobile-DAUPHIN ISLAND METH #1,47,1,6,324,13,0,0,9,0,7,0,31,0,0,0,13,0,29,1,84,378,165,22
Mobile-DAUPHIN ISLAND METH #2,101,2,11,363,30,0,0,19,3,11,1,61,0,0,0,28,1,40,0,169,477,314,49
Mobile-DODGE ELEM #1,407,9,31,579,120,0,0,34,1,33,0,77,1,0,2,27,2,73,2,180,1026,398,154
Mobile-DODGE ELEM #2,264,4,24,495,118,0,0,44,3,30,0,96,0,0,0,19,2,90,0,185,787,425,162
Mobile-EICHOLDMERTZ ELEM #1,333,3,1,91,145,0,1,13,1,5,0,7,0,0,0,1,1,2,0,27,428,44,159
Mobile-EICHOLDMERTZ ELEM #2,490,3,3,100,224,0,0,22,0,4,0,9,0,0,1,0,0,12,0,44,596,70,246
Mobile-ER DICKSON ELEM #1,432,11,48,1026,77,0,0,62,5,57,0,133,0,0,0,117,5,329,1,284,1517,931,139
Mobile-ER DICKSON ELEM #2,238,5,56,675,34,0,0,41,3,34,0,70,2,0,0,58,1,184,0,174,974,526,75
Mobile-FIGURES REC CTR #1,926,4,4,14,590,0,0,35,2,2,0,0,0,1,0,0,0,0,0,1,948,6,625
Mobile-FIGURES REC CTR #2,1070,3,5,7,475,3,0,33,0,2,0,1,0,0,0,0,0,1,0,3,1085,7,511
Mobile-FOREST HILL ELEM SCH #1,940,6,14,351,363,0,2,65,3,22,0,42,0,0,1,3,1,53,0,96,1311,221,430
Mobile-FOREST HILL ELEM SCH #2,884,7,20,317,475,0,0,73,2,29,1,57,0,1,2,15,0,53,0,141,1228,301,548
Mobile-FRIENDSHIP BAP CH #1,175,2,19,846,55,0,1,19,2,47,0,146,0,0,3,9,0,70,0,252,1042,529,75
Mobile-FRIENDSHIP BAP CH #2,135,4,12,657,32,0,0,15,1,47,0,91,0,0,0,10,0,55,0,177,808,381,47
Mobile-FRIENDSHIP MISSIONARY BAP #1,463,4,5,88,388,0,1,50,1,8,0,20,0,0,0,4,0,17,0,58,560,108,439
Mobile-FRIENDSHIP MISSIONARY BAP #2,738,5,5,106,121,0,0,23,0,5,0,5,0,0,1,0,0,6,0,9,854,26,144
Mobile-GEORGETOWN BAP CH #1,92,0,13,708,48,0,0,10,1,32,1,151,0,0,0,13,1,44,0,270,813,513,58
Mobile-GEORGETOWN BAP CH #2,65,0,9,468,14,0,0,3,0,6,1,37,0,0,1,4,1,21,0,82,542,153,17
Mobile-GRACE POINT CH GOD #1,497,12,29,640,134,1,0,76,4,51,1,101,1,0,0,56,4,163,0,254,1178,635,211
Mobile-GRACE POINT CH GOD #2,428,4,33,623,97,0,1,41,1,24,0,57,0,0,0,37,0,104,1,147,1088,371,139
Mobile-GRAND BAY MIDDLE SCH #1,68,2,12,545,36,0,0,15,1,22,1,104,0,0,0,9,1,71,2,196,627,407,51
Mobile-GRAND BAY MIDDLE SCH #2,120,1,14,712,29,1,0,9,5,13,0,76,0,0,0,6,0,39,0,157,847,296,39
Mobile-HAVENWOOD BAP CH #1,47,3,9,783,17,0,0,5,2,30,1,86,0,0,1,3,0,23,0,201,842,347,22
Mobile-HAVENWOOD BAP CH #2,15,0,2,275,5,0,0,4,1,20,0,53,0,0,1,2,0,13,1,124,292,215,9
Mobile-HILLCREST BAP CH #1,319,4,27,702,110,0,1,58,6,60,1,128,0,0,1,39,3,184,1,206,1052,629,169
Mobile-HILLCREST BAP CH #2,318,4,36,689,126,0,2,38,2,41,3,125,3,0,2,42,0,176,1,194,1047,589,166
Mobile-HILLCREST BAP CH #3,342,9,24,646,55,0,0,18,1,19,0,58,0,0,0,22,1,71,0,88,1021,260,73
Mobile-HOLLINGERS ISLAND #1,72,4,9,491,23,0,0,13,1,20,0,46,0,0,0,23,0,55,0,168,576,313,36
Mobile-HOLLINGERS ISLAND #2,72,1,14,494,14,0,0,5,1,19,0,60,0,0,0,16,2,53,0,169,581,320,19
Mobile-HOLY NAME JESUS CH #1,180,3,36,1092,45,1,0,30,3,44,1,138,0,0,1,9,3,110,0,353,1311,662,76
Mobile-HOLY NAME JESUS CH #2,242,7,37,1419,73,0,0,44,2,78,0,190,1,0,2,15,2,94,0,419,1705,803,117
Mobile-HOPE CHAPEL AMEZ #1,651,1,3,22,260,0,1,25,0,2,0,3,0,0,0,0,0,0,0,4,677,9,286
Mobile-HOPE CHAPEL AMEZ #2,650,4,2,21,381,0,0,27,0,0,0,0,0,0,0,0,0,0,0,8,677,8,408
Mobile-INDIAN SPRINGS BAP CH #1,145,3,4,425,63,0,0,15,1,23,0,59,0,0,1,6,1,34,0,180,577,305,78
Mobile-INDIAN SPRINGS BAP CH #2,130,2,9,398,57,0,0,6,2,13,1,49,0,0,2,1,1,18,0,95,539,182,63
Mobile-JAMES SEALS JR PK REC #1,350,2,5,43,236,0,1,19,1,2,0,5,0,0,0,3,1,10,0,14,400,36,256
Mobile-JAMES SEALS JR PK REC #2,391,3,3,49,206,1,0,21,0,2,0,4,1,0,0,4,1,9,0,9,446,30,228
Mobile-JC DAVIS AUDITORIUM #1,413,5,13,655,125,0,1,34,3,30,0,77,1,0,0,12,0,69,1,223,1086,416,160
Mobile-JC DAVIS AUDITORIUM #2,374,3,16,632,121,0,0,41,6,34,0,92,0,0,0,13,1,76,0,244,1025,466,162
Mobile-JOSEPH DOTCH COMM CTR #1,657,2,1,3,342,0,1,35,0,1,0,0,0,0,0,0,0,0,0,1,663,2,378
Mobile-JOSEPH DOTCH COMM CTR #2,654,2,2,10,307,0,2,34,0,1,0,0,0,0,0,0,0,2,0,0,668,3,343
Mobile-KATE SHEPARD SCH #1,163,5,16,623,27,0,0,22,1,17,0,83,0,1,1,27,6,76,0,131,807,343,49
Mobile-KATE SHEPARD SCH #2,77,4,15,315,35,0,0,28,2,30,1,97,0,0,0,36,1,132,1,172,411,472,63
Mobile-LAFITTE BAP CH #1,339,7,28,1343,141,0,0,40,2,95,0,211,0,0,3,20,1,154,0,407,1717,893,181
Mobile-LAFITTE BAP CH #2,237,5,21,995,112,0,1,24,6,65,2,154,0,0,1,16,3,110,0,288,1258,645,137
Mobile-LIVING WORD CH #1,250,5,33,925,72,0,0,20,2,52,0,130,0,0,0,34,4,95,0,202,1213,519,92
Mobile-LIVING WORD CH #2,299,6,35,1022,111,0,0,52,2,92,2,194,1,0,1,32,1,175,2,318,1362,820,163
Mobile-LIVING WORD CH #3,289,7,36,1110,78,0,0,29,4,56,0,174,0,0,0,28,4,142,1,275,1442,684,107
Mobile-MEADOWLAKE ELEM #1,254,9,35,1014,89,1,2,23,0,41,0,181,1,0,0,18,2,108,0,392,1312,743,115
Mobile-MEADOWLAKE ELEM #2,212,5,20,853,120,0,0,33,0,56,0,176,0,0,2,11,1,105,1,376,1090,728,153
Mobile-MOBILE MUSEUM ART #1,246,5,25,584,84,0,0,54,0,50,1,83,1,1,0,61,4,185,0,178,860,564,138
Mobile-MOBILE MUSEUM ART #2,255,4,28,572,60,0,0,41,1,31,0,55,0,0,1,44,1,105,0,127,859,365,101
Mobile-MOBILE REGIONAL SR COMM #1,345,4,26,581,162,0,1,42,1,55,1,131,0,0,0,43,2,121,0,240,956,594,205
Mobile-MOBILE REGIONAL SR COMM #2,417,5,27,652,237,0,0,69,2,62,0,168,1,1,0,40,1,164,0,298,1101,737,306
Mobile-MOBILE REGIONAL SR COMM #3,470,9,25,757,235,0,1,88,0,69,1,180,1,0,0,45,2,191,0,296,1261,785,324
Mobile-MOFFETT RD ASSEM GOD #1,989,7,23,439,490,0,0,63,2,26,1,67,0,0,0,11,0,61,1,138,1458,307,553
Mobile-MOFFETT RD ASSEM GOD #2,1060,2,19,374,509,0,0,73,1,25,0,66,0,0,0,11,0,49,0,131,1455,283,582
Mobile-MT ARARAT BAP CH #1,392,2,10,184,246,0,0,27,0,10,0,19,0,0,0,2,1,16,0,38,588,86,273
Mobile-MT ARARAT BAP CH #2,502,1,6,153,210,0,0,18,0,8,0,16,0,0,0,3,0,8,0,36,662,71,228
Mobile-MT VERNON CIVIC CTR #1,345,2,4,296,146,0,1,12,0,8,0,15,0,0,0,3,0,13,0,65,647,104,159
Mobile-MT VERNON CIVIC CTR #2,187,1,1,122,83,0,0,15,0,10,0,17,0,0,1,1,1,13,0,37,311,80,98
Mobile-MT VERNON COMM CTR #1,228,1,1,19,136,0,0,13,0,3,0,0,0,0,0,0,0,4,0,10,249,17,149
Mobile-MT VERNON COMM CTR #2,209,0,2,18,67,0,0,3,0,1,0,0,0,0,1,0,0,3,0,5,229,10,70
Mobile-NEW SHILOH MISSIONARY #1,558,14,50,599,131,0,0,67,3,31,1,60,0,0,3,64,2,152,0,127,1221,443,198
Mobile-NEW SHILOH MISSIONARY #2,333,9,32,401,171,0,0,58,4,26,1,68,0,0,0,49,4,127,1,128,775,408,229
Mobile-OUR SAVIOR CATHOLIC CH #1,531,8,49,1095,177,0,0,69,10,47,2,195,1,0,0,66,2,209,0,311,1683,843,246
Mobile-OUR SAVIOR CATHOLIC CH #2,356,4,37,724,124,0,0,52,3,41,1,145,0,1,2,56,3,162,1,199,1121,614,176
Mobile-OUR SAVIOR CATHOLIC CH #3,132,2,18,280,23,0,0,13,1,13,0,33,0,0,0,19,0,33,0,51,432,150,36
Mobile-PALMER PILLIANS MIDDLE SCH #1,157,4,5,142,176,1,0,35,0,14,0,51,0,0,3,9,1,20,0,136,308,234,212
Mobile-PALMER PILLIANS MIDDLE SCH #2,367,3,10,331,62,0,1,7,1,5,0,12,0,0,0,3,0,14,0,51,711,86,70
Mobile-PILGRIM REST AME #1,328,1,2,38,152,0,0,16,0,0,0,4,0,0,0,1,0,0,0,19,369,24,168
Mobile-PILGRIM REST AME #2,254,0,1,26,143,1,0,16,1,2,0,2,0,0,0,1,0,0,0,9,281,15,160
Mobile-PLATEAU COMM CTR #1,671,7,1,13,435,0,1,26,0,1,0,1,0,0,0,0,0,0,0,2,692,4,462
Mobile-PLATEAU COMM CTR #2,413,2,1,4,177,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,420,0,191
Mobile-PRICHARD COMM CTR #1,542,0,1,6,262,0,0,13,1,0,0,0,0,0,0,0,0,0,0,3,549,4,275
Mobile-PRICHARD COMM CTR #2,425,0,0,6,217,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,431,0,238
Mobile-RIVERSIDE BAP CH #1,486,5,11,366,314,0,1,47,3,15,1,59,0,0,1,13,0,70,1,188,868,351,362
Mobile-RIVERSIDE BAP CH #2,361,6,11,241,211,0,0,45,1,24,0,37,0,0,0,9,0,49,1,160,619,281,256
Mobile-RIVERSIDE BAP CH #3,749,2,19,500,213,0,0,40,3,17,0,48,0,1,0,11,1,35,0,117,1270,233,253
Mobile-ROCK FAITH BAP #1,993,1,1,5,464,1,0,32,0,0,0,2,0,0,0,0,0,0,0,2,1000,4,497
Mobile-ROCK FAITH BAP #2,919,1,1,8,481,1,1,43,1,0,0,3,0,0,0,0,0,1,0,1,929,6,526
Mobile-SARALAND CIVIC CTR #1,188,5,27,911,81,1,1,25,5,51,0,161,0,0,1,7,3,96,1,384,1131,709,108
Mobile-SARALAND CIVIC CTR #2,95,6,15,553,14,0,0,11,1,22,0,41,1,0,0,6,0,33,0,101,669,205,25
Mobile-SATSUMA HIGH SCH ANNEX #1,144,3,23,825,85,1,0,22,2,53,1,158,1,0,1,16,2,91,0,375,995,700,108
Mobile-SATSUMA HIGH SCH ANNEX #2,124,3,23,926,112,0,1,25,3,89,1,263,0,0,3,25,3,156,1,557,1076,1101,138
Mobile-SAVING GRACE LUTHERN CH #1,383,4,21,1100,165,0,1,70,0,70,0,254,1,0,3,34,2,172,0,363,1508,899,236
Mobile-SAVING GRACE LUTHERN CH #2,426,4,44,1205,112,0,0,45,1,58,0,162,0,0,0,30,0,105,0,260,1679,616,157
Mobile-SEMMES COMM CTR #1,85,4,21,777,25,0,0,18,3,29,1,125,1,0,1,5,2,72,0,202,887,441,43
Mobile-SEMMES COMM CTR #2,96,4,18,865,17,0,0,15,2,34,1,103,0,0,2,9,2,69,0,215,983,437,32
Mobile-SEMMES FIRST BAP CH #1,425,6,35,1014,135,1,0,49,1,66,0,177,1,1,0,9,0,94,1,295,1480,645,185
Mobile-SEMMES FIRST BAP CH #2,465,5,31,945,134,1,0,38,2,42,1,105,1,0,3,14,0,67,0,243,1446,478,173
Mobile-SEVEN HILLS CENTRAL FIRE #1,64,1,11,443,14,0,0,10,2,22,0,79,0,0,0,8,0,52,0,111,519,274,24
Mobile-SEVEN HILLS CENTRAL FIRE #2,60,1,7,452,18,0,0,7,0,21,0,83,0,0,0,8,0,40,0,130,520,282,25
Mobile-SHELTON BEACH RD BAP #1,217,6,10,504,87,0,1,21,1,35,0,57,2,0,2,4,1,37,0,146,737,285,109
Mobile-SHELTON BEACH RD BAP #2,256,3,12,527,91,0,2,15,1,18,0,58,0,0,2,11,0,51,1,189,798,331,108
Mobile-SONRISE BAP CH #1,169,5,8,512,62,0,0,13,1,22,0,61,0,0,0,8,1,67,0,135,694,295,75
Mobile-SONRISE BAP CH #2,123,3,21,388,52,0,0,25,1,30,0,77,0,0,0,11,1,46,0,117,535,283,77
Mobile-ST IGNATIUS MARION CTR #1,175,2,28,637,40,0,0,21,2,44,3,55,1,2,0,59,1,167,0,152,842,486,61
Mobile-ST IGNATIUS MARION CTR #2,200,5,28,717,53,0,0,26,3,36,0,103,0,0,0,82,2,253,1,238,950,718,79
Mobile-ST JOAN ARC CATHOLIC #1,760,11,32,282,308,0,1,66,0,16,2,47,2,0,0,51,1,93,0,99,1085,311,375
Mobile-ST JOAN ARC CATHOLIC #2,780,8,38,266,335,0,0,113,1,11,0,32,0,0,0,41,2,76,0,74,1092,237,448
Mobile-ST JOHNS EPISCOPAL CH #1,1036,8,19,162,532,0,0,69,1,4,0,14,1,0,0,12,1,24,2,55,1225,114,601
Mobile-ST JOHNS EPISCOPAL CH #2,554,6,10,101,346,0,0,46,0,11,0,15,0,0,0,4,1,25,0,46,671,102,392
Mobile-ST JOHNS EPISCOPAL CH #3,691,0,8,94,244,0,0,32,2,4,0,9,0,0,0,6,0,11,0,25,793,57,276
Mobile-ST MICH CATHOLIC CH #1,54,0,8,315,14,0,0,8,0,13,0,43,0,0,0,6,0,21,0,130,377,213,22
Mobile-ST MICH CATHOLIC CH #2,49,2,3,347,6,0,0,10,2,10,0,46,0,0,0,6,0,35,0,123,401,222,16
