precinct_code,gen_dem_CLINTON,gen_ind_CLINTON,gen_ind_JOHNSON,gen_ind_STEIN,gen_ind_TRUMP,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_ind_CLINTON,pri_ind_CRUZ,pri_ind_KASICH,pri_ind_SANDERS,pri_ind_TRUMP,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Lincoln-4104122 Sunset West,689.0,0.0,54.0,23.0,0.0,566.0,230.0,217.0,0.0,0.0,0.0,0.0,0.0,31.0,64.0,200.0,1332.0,295.0,447.0
Lincoln-4104123 Sunset East,341.0,0.0,42.0,17.0,0.0,409.0,100.0,126.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,130.0,809.0,168.0,226.0
Lincoln-4104124 Rose Lodge,219.0,0.0,31.0,20.0,0.0,299.0,64.0,86.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,71.0,569.0,97.0,150.0
Lincoln-4104125 Big Elk,30.0,0.0,1.0,3.0,0.0,42.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,14.0,76.0,25.0,19.0
Lincoln-4104126 Elk City,20.0,0.0,3.0,2.0,0.0,43.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,68.0,11.0,13.0
Lincoln-4104127 Fruitvale,233.0,0.0,37.0,15.0,0.0,336.0,84.0,92.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,112.0,621.0,151.0,176.0
Lincoln-4104128 Eddyville,120.0,0.0,16.0,16.0,0.0,147.0,29.0,61.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,48.0,299.0,65.0,90.0
Lincoln-4104129 SiIetz,460.0,0.0,54.0,29.0,0.0,453.0,162.0,186.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,153.0,996.0,196.0,348.0
Lincoln-4104130 Rock Creek,105.0,0.0,8.0,10.0,0.0,74.0,32.0,43.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,23.0,197.0,34.0,75.0
Lincoln-4104131 East Toledo,372.0,0.0,61.0,34.0,0.0,476.0,109.0,161.0,0.0,0.0,0.0,0.0,0.0,21.0,32.0,118.0,943.0,171.0,270.0
Lincoln-4104132 South Toledo,323.0,0.0,68.0,26.0,0.0,417.0,106.0,148.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,106.0,834.0,154.0,254.0
Linn-410431,298.0,0.0,28.0,19.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,63.0,345.0,96.0,113.0
Linn-41043100,421.0,0.0,109.0,29.0,0.0,627.0,130.0,179.0,0.0,0.0,0.0,0.0,0.0,63.0,45.0,208.0,1186.0,316.0,309.0
