precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
49RUSH,35,1,37,2,1,72,30,1,130,5,132,2,8,411,73,236,132,411
49SHAMOKIN,103,3,91,0,3,112,33,3,350,2,237,5,33,901,197,501,237,901
49SHAMOKIN1,38,1,50,1,0,10,15,0,103,0,94,9,6,270,89,129,94,270
49SHAMOKIN2,19,4,29,0,0,8,10,1,60,0,55,2,6,189,52,79,55,189
49SHAMOKIN3,23,0,23,0,0,4,6,0,38,0,41,2,5,98,46,48,41,98
49SHAMOKIN4,43,0,48,2,1,15,8,2,75,3,114,8,13,257,91,103,114,257
49SHAMOKIN5,45,2,49,0,2,6,5,0,69,4,122,3,9,202,96,82,122,202
49SHAMOKIN6,25,0,41,0,1,8,9,0,49,1,72,3,6,166,66,67,72,166
49SHAMOKIN7,31,2,37,0,1,10,6,0,49,1,85,4,4,147,70,66,85,147
49SHAMOKIN8,13,0,12,0,0,2,1,0,19,0,25,1,2,54,25,22,25,54
49SNYDERTOWN,16,0,17,0,0,14,7,1,51,4,32,0,3,121,33,73,32,121
49SUNBURY1,69,2,76,3,0,32,15,1,101,1,220,11,8,319,147,152,220,319
49SUNBURY2,52,0,55,3,3,37,15,0,100,2,194,3,7,303,107,158,194,303
49SUNBURY3,52,0,70,1,3,72,19,1,167,8,221,17,27,438,122,263,221,438
49SUNBURY4,49,0,58,4,0,57,30,1,102,5,171,9,21,299,107,194,171,299
49SUNBURY5,56,1,41,1,1,43,17,0,78,5,170,7,7,239,98,140,170,239
49SUNBURY6,38,0,46,1,1,18,9,0,48,0,137,4,12,178,84,77,137,178
49TURBOT,63,0,55,3,2,92,39,4,180,2,212,6,22,597,118,320,212,597
49TURBOTVILLE,32,2,32,1,2,35,13,2,56,2,98,1,7,223,66,109,98,223
49UPPERAUGUSTANORTHEAST,66,3,61,0,3,74,42,0,188,2,183,7,21,559,130,307,183,559
49UPPERAUGUSTANORTHWEST,42,0,44,0,1,52,37,4,131,2,145,2,10,374,86,225,145,374
49UPPERMAHANOY,15,0,23,0,1,21,12,1,71,1,46,2,1,237,38,106,46,237
49WASHINGTON,21,3,24,0,3,36,25,1,79,1,50,2,9,246,48,144,50,246
49WATSONTOWN1,21,1,24,0,1,28,9,1,64,1,89,2,9,210,46,103,89,210
49WATSONTOWN2,44,1,53,2,1,56,24,2,134,2,164,1,18,382,98,219,164,382
49WESTCAMERON,13,0,11,0,1,17,3,0,75,1,28,0,3,183,24,96,28,183
49WESTCHILLISQUAQUE,63,0,69,3,5,112,43,7,204,1,202,7,15,683,132,374,202,683
49ZERBE,50,2,64,2,4,44,19,1,150,8,123,3,16,514,116,220,123,514
4ALIQUIPPA1,47,1,44,0,0,5,1,0,23,2,99,4,7,117,92,29,99,117
4ALIQUIPPA2,225,0,51,0,0,0,0,0,2,0,525,2,3,37,276,2,525,37
4ALIQUIPPA3,126,0,20,0,0,0,0,0,1,0,279,1,0,3,146,1,279,3
4ALIQUIPPA4,52,2,27,0,0,3,2,0,9,0,156,2,2,47,81,14,156,47
4ALIQUIPPA5,120,0,46,1,1,5,2,0,15,0,299,1,2,105,166,24,299,105
4ALIQUIPPA6,220,4,102,0,0,23,14,1,70,3,578,3,23,302,326,108,578,302
4ALIQUIPPA7,216,7,115,0,0,29,12,1,69,3,383,7,17,359,338,111,383,359
4ALIQUIPPA8,113,2,84,0,2,20,5,0,66,3,307,1,22,275,199,93,307,275
4ALIQUIPPA9,96,0,34,0,0,0,1,0,7,6,256,0,1,23,130,8,256,23
4AMBRIDGE1,73,3,80,0,1,21,11,0,32,4,265,6,9,175,156,65,265,175
4AMBRIDGE2,88,1,92,0,1,22,12,0,46,3,282,10,16,224,181,81,282,224
4AMBRIDGE3,129,1,111,1,2,34,19,1,46,4,323,4,20,279,241,103,323,279
4AMBRIDGE4,77,2,89,1,0,16,9,0,44,1,290,6,13,215,168,70,290,215
4AMBRIDGE5,84,2,70,0,1,15,8,0,31,0,234,1,10,176,156,55,234,176
4BADEN1,134,5,69,0,1,15,18,1,55,1,254,3,11,273,208,90,254,273
4BADEN2,144,8,92,0,1,26,27,0,98,3,326,6,17,411,244,152,326,411
4BADEN3,125,6,102,2,0,28,23,0,88,7,285,4,24,429,233,141,285,429
4BEAVER1,89,0,83,0,2,66,66,2,104,3,316,12,17,406,172,240,316,406
4BEAVER2,143,4,127,4,4,59,100,3,139,3,407,5,38,494,274,309,407,494
4BEAVER31,135,0,112,1,2,72,96,4,138,4,334,6,27,524,247,313,334,524
4BEAVERFALLS1,134,1,55,6,0,17,14,1,34,1,376,4,12,181,190,72,376,181
4BEAVERFALLS2,127,3,74,0,0,10,11,2,40,4,356,3,4,168,204,63,356,168
4BEAVERFALLS3,120,1,75,1,0,19,12,0,43,6,311,6,13,192,196,75,311,192
4BEAVERFALLS4,71,1,44,0,0,7,4,0,26,0,215,1,7,146,116,37,215,146
4BEAVERFALLS5,60,2,56,1,5,86,31,1,51,16,215,7,51,309,118,175,215,309
4BEAVERFALLS6,102,4,75,0,0,40,25,0,66,9,253,5,18,270,181,131,253,270
4BIGBEAVER,153,4,114,1,3,63,36,0,178,9,331,8,18,633,271,281,331,633
4BRIDGEWATER,55,1,53,0,2,11,19,1,68,3,134,3,15,207,109,101,134,207
4BRIGHTON1,101,2,90,3,5,54,70,1,135,4,318,4,21,498,193,268,318,498
4BRIGHTON2,144,2,101,0,3,56,69,0,162,9,291,3,29,575,247,290,291,575
4BRIGHTON3,116,4,85,2,1,46,31,1,123,7,258,3,23,484,205,204,258,484
4BRIGHTON4,96,3,77,0,1,51,62,1,128,4,266,4,31,517,176,243,266,517
4BRIGHTON5,121,2,107,5,4,76,109,3,241,1,384,6,44,849,230,438,384,849
4CENTER1,140,0,99,0,2,41,21,2,108,5,311,3,14,445,239,174,311,445
4CENTER2,82,2,77,0,1,25,14,1,51,2,207,6,13,272,161,92,207,272
4CENTER3,95,4,58,0,0,19,8,0,45,4,164,1,7,240,157,72,164,240
4CENTER4,251,6,163,1,3,47,71,1,178,5,523,3,29,795,420,301,523,795
4CENTER5,168,6,147,0,2,43,47,1,136,2,431,3,23,663,321,229,431,663
4CENTER6,176,5,117,1,2,36,33,0,110,3,388,7,22,489,298,182,388,489
4CENTER7,136,4,91,1,1,24,22,3,110,4,298,2,19,419,231,161,298,419
4CENTER8,106,9,80,0,2,27,31,0,73,3,244,1,6,382,195,133,244,382
4CHIPPEWA1,170,3,124,4,1,104,122,2,222,7,418,9,27,874,297,455,418,874
4CHIPPEWA2,106,2,85,1,2,90,53,0,162,7,317,5,28,599,193,308,317,599
4CHIPPEWA3,180,11,140,2,4,99,75,5,204,5,432,5,31,794,331,389,432,794
4CHIPPEWA4,70,4,66,3,1,63,46,1,142,0,277,4,20,553,140,256,277,553
4CONWAY1,81,4,42,0,0,28,14,1,33,1,170,4,16,218,127,76,170,218
4CONWAY2,129,8,83,0,3,27,38,3,91,2,268,1,19,395,220,162,268,395
4DARLINGTON,88,3,78,1,3,80,48,1,181,8,243,6,21,667,169,314,243,667
4DAUGHERTY1,115,7,104,1,3,58,37,0,128,5,266,4,13,581,226,227,266,581
4DAUGHERTY2,121,2,111,2,2,56,51,2,137,2,278,5,25,577,234,250,278,577
4EASTROCHESTER,48,0,45,1,0,7,8,0,36,1,111,0,8,156,93,52,111,156
4EASTVALE,9,0,18,0,0,1,1,0,15,0,21,2,1,58,27,17,21,58
4ECONOMY1,153,7,120,0,3,109,78,2,248,0,430,6,40,865,280,440,430,865
4ECONOMY2,156,1,116,0,1,69,67,1,211,2,351,5,35,714,273,349,351,714
4ECONOMY3,171,8,99,0,1,52,86,0,149,6,396,5,25,594,278,288,396,594
4ECONOMY4,168,6,121,1,1,58,44,4,134,3,391,8,25,615,295,242,391,615
4ECONOMY5,144,16,128,1,0,46,38,0,130,2,331,2,20,530,288,215,331,530
4FALLSTON,36,0,15,0,0,8,7,0,11,4,59,2,7,61,51,26,59,61
4FRANKFORTSPRINGS,12,0,6,0,0,5,7,0,16,0,23,0,0,51,18,28,23,51
4FRANKLINEAST,59,4,62,1,3,68,57,0,152,4,150,7,10,568,125,281,150,568
4FRANKLINWEST,160,5,93,4,3,67,50,2,231,6,317,6,23,749,258,357,317,749
4FREEDOM,92,2,74,0,2,15,10,0,58,2,238,5,14,345,168,85,238,345
4GEORGETOWN,7,0,6,0,0,9,4,0,21,0,13,1,6,77,13,34,13,77
4GLASGOW,10,0,9,0,0,0,0,0,1,0,19,2,0,14,19,1,19,14
4GREENE,120,6,97,3,1,78,52,4,240,7,323,6,19,834,223,378,323,834
4HANOVEREAST,107,8,92,0,3,95,48,1,198,3,278,3,28,784,207,345,278,784
4HANOVERWEST,58,0,50,0,1,61,28,0,122,4,153,2,24,450,108,212,153,450
4HARMONY1,150,3,120,0,1,34,39,1,95,4,327,6,18,431,273,170,327,431
4HARMONY2,60,0,69,1,1,17,14,1,40,1,146,2,12,194,129,74,146,194
4HARMONY3,99,5,91,1,0,10,18,1,53,2,220,7,17,287,195,83,220,287
4HOMEWOOD,17,0,11,0,0,4,0,0,5,1,27,1,1,29,28,9,27,29
4HOOKSTOWN,7,0,9,1,0,4,4,0,20,0,20,1,1,48,16,29,20,48
