precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
SHERIDAN5 PLENTYWOOD RURAL WEST,11,10,2,4,7,0,74,0,34,2,10,163,21,87,34,163
SHERIDAN6 PLENTYWOOD RURAL EAST,23,21,7,5,5,2,54,0,67,1,15,134,44,73,67,134
SILVER BOWPREC_1,43,53,0,4,0,1,39,1,104,7,14,86,96,44,104,86
SILVER BOWPREC_10N,35,33,0,1,1,2,16,3,63,5,14,37,68,20,63,37
SILVER BOWPREC_10S,52,54,0,1,0,1,25,1,106,7,13,52,106,27,106,52
SILVER BOWPREC_11,46,49,1,1,2,2,18,1,97,4,11,64,95,24,97,64
SILVER BOWPREC_12E,61,49,1,10,4,0,41,0,113,2,10,100,110,56,113,100
SILVER BOWPREC_12W,50,37,0,2,1,0,20,4,98,1,17,54,87,23,98,54
SILVER BOWPREC_14,260,277,3,17,8,10,70,2,639,25,88,307,537,108,639,307
SILVER BOWPREC_16,246,250,3,18,19,6,155,8,631,30,65,363,496,201,631,363
SILVER BOWPREC_17,163,223,2,11,6,7,90,5,464,36,65,308,386,116,464,308
SILVER BOWPREC_18,123,135,0,10,1,1,73,4,312,16,42,230,258,85,312,230
SILVER BOWPREC_19N,87,66,1,2,5,3,55,0,173,7,20,101,153,66,173,101
SILVER BOWPREC_19S,62,30,0,6,6,1,33,1,113,3,10,83,92,46,113,83
SILVER BOWPREC_19W,16,21,0,2,5,0,26,0,46,0,9,45,37,33,46,45
