state,county,rep_general_total,dem_general_total,rep_primary_total,dem_primary_total,rep_primary_share,rep_general_share,primary_total_votes,general_total_votes
GA,Mcduffie,5400.0,3989.0,2505.0,2200.0,0.5324123273113709,0.5751411225902652,4705.0,9389.0
GA,Mcintosh,3282.0,2905.0,1492.0,1865.0,0.4444444444444444,0.5304671084532083,3357.0,6187.0
GA,Meriwether,4982.0,4465.0,2202.0,2795.0,0.4406643986391835,0.527363184079602,4997.0,9447.0
GA,Miller,1899.0,818.0,580.0,510.0,0.5321100917431193,0.6989326463010673,1090.0,2717.0
GA,Mitchell,4201.0,3872.0,1621.0,2384.0,0.40474406991260925,0.5203765638548247,4005.0,8073.0
GA,Monroe,7933.0,4106.0,3740.0,2639.0,0.5862987929142499,0.6589417725724728,6379.0,12039.0
GA,Montgomery,2521.0,1045.0,930.0,724.0,0.562273276904474,0.7069545709478408,1654.0,3566.0
GA,Morgan,5987.0,3091.0,3064.0,1992.0,0.6060126582278481,0.659506499228905,5056.0,9078.0
GA,Murray,8180.0,3026.0,3198.0,2273.0,0.5845366477791994,0.7299660895948599,5471.0,11206.0
GA,Muscogee,29568.0,44158.0,12598.0,24063.0,0.34363492539756146,0.40105254591324635,36661.0,73726.0
GA,Newton,20337.0,20827.0,9732.0,11397.0,0.46059917648729237,0.49404819745408607,21129.0,41164.0
GA,Oconee,12120.0,4825.0,6519.0,3302.0,0.6637816922920273,0.7152552375331956,9821.0,16945.0
GA,Oglethorpe,4144.0,2232.0,1896.0,1390.0,0.5769933049300061,0.6499372647427855,3286.0,6376.0
GA,Paulding,39192.0,17229.0,17186.0,10334.0,0.6244912790697674,0.6946349763385973,27520.0,56421.0
GA,Peach,5173.0,5927.0,2319.0,2880.0,0.4460473167916907,0.46603603603603605,5199.0,11100.0
GA,Pickens,10004.0,2595.0,5073.0,2187.0,0.6987603305785124,0.7940312723232003,7260.0,12599.0
GA,Pierce,5500.0,1253.0,2278.0,773.0,0.74664044575549,0.8144528357766918,3051.0,6753.0
GA,Pike,6547.0,1575.0,3161.0,1322.0,0.7051081864822664,0.8060822457522777,4483.0,8122.0
GA,Polk,9850.0,4052.0,4086.0,3514.0,0.5376315789473685,0.7085311465976118,7600.0,13902.0
GA,Pulaski,2553.0,1377.0,975.0,815.0,0.5446927374301676,0.649618320610687,1790.0,3930.0
GA,Putnam,5966.0,3102.0,2753.0,2056.0,0.5724682886254938,0.6579179532421703,4809.0,9068.0
GA,Quitman,509.0,597.0,161.0,366.0,0.3055028462998102,0.4602169981916817,527.0,1106.0
GA,Rabun,5487.0,2001.0,2600.0,1683.0,0.6070511323838431,0.7327724358974359,4283.0,7488.0
GA,Randolph,1370.0,1833.0,426.0,1042.0,0.2901907356948229,0.42772400874180455,1468.0,3203.0
GA,Richmond,26842.0,52100.0,13072.0,26875.0,0.32723358449946177,0.34002178814826073,39947.0,78942.0
